frame_index,timestamp,request_id,source_node,target_node,area_id,upload_type,planned_bytes,rlc_tx_count,rlc_rx_count,rlc_drop_count,phy_schedule_count,pscch_ok_count,pscch_fail_count,pssch_ok_count,pssch_fail_count,harq_ack_count,harq_nack_count,harq_timeout_count,cam_received,terminal_state
0,000060,1,20,5,12_9,member_to_leader,10000,0,0,0,0,0,0,0,0,0,0,0,0,planned_only
0,000060,2,5,21,12_9,leader_to_rsu,2000,0,0,0,0,0,0,0,0,0,0,0,0,planned_only
0,000060,3,2,11,13_2,member_to_leader,10000,0,0,0,0,0,0,0,0,0,0,0,0,planned_only
0,000060,4,11,21,13_2,leader_to_rsu,2000,0,0,0,0,0,0,0,0,0,0,0,0,planned_only
0,000060,5,2,21,13_0,leader_to_rsu,2000,0,0,0,0,0,0,0,0,0,0,0,0,planned_only
0,000060,6,10,9,11_7,member_to_leader,10000,0,0,0,0,0,0,0,0,0,0,0,0,planned_only
0,000060,7,9,21,11_7,leader_to_rsu,2000,0,0,0,0,0,0,0,0,0,0,0,0,planned_only
0,000060,8,11,21,13_3,leader_to_rsu,2000,0,0,0,0,0,0,0,0,0,0,0,0,planned_only
0,000060,9,16,7,14_11,member_to_leader,10000,0,0,0,0,0,0,0,0,0,0,0,0,planned_only
0,000060,10,7,21,14_11,leader_to_rsu,2000,0,0,0,0,0,0,0,0,0,0,0,0,planned_only
0,000060,11,1,21,14_1,leader_to_rsu,2000,0,0,0,0,0,0,0,0,0,0,0,0,planned_only
0,000060,12,8,21,15_4,leader_to_rsu,2000,0,0,0,0,0,0,0,0,0,0,0,0,planned_only
0,000060,13,10,21,12_4,leader_to_rsu,2000,0,0,0,0,0,0,0,0,0,0,0,0,planned_only
0,000060,14,8,1,14_3,member_to_leader,10000,0,0,0,0,0,0,0,0,0,0,0,0,planned_only
0,000060,15,1,21,14_3,leader_to_rsu,2000,0,0,0,0,0,0,0,0,0,0,0,0,planned_only
0,000060,16,4,12,17_5,member_to_leader,10000,0,0,0,0,0,0,0,0,0,0,0,0,planned_only
0,000060,17,12,21,17_5,leader_to_rsu,2000,0,0,0,0,0,0,0,0,0,0,0,0,planned_only
0,000060,18,12,21,18_7,leader_to_rsu,2000,0,0,0,0,0,0,0,0,0,0,0,0,planned_only
0,000060,19,1,8,15_3,member_to_leader,10000,0,0,0,0,0,0,0,0,0,0,0,0,planned_only
0,000060,20,8,21,15_3,leader_to_rsu,2000,0,0,0,0,0,0,0,0,0,0,0,0,planned_only
0,000060,21,12,21,17_7,leader_to_rsu,2000,0,0,0,0,0,0,0,0,0,0,0,0,planned_only
0,000060,22,12,21,16_7,leader_to_rsu,2000,0,0,0,0,0,0,0,0,0,0,0,0,planned_only
0,000060,23,7,21,14_9,leader_to_rsu,2000,0,0,0,0,0,0,0,0,0,0,0,0,planned_only
0,000060,24,20,16,12_10,member_to_leader,10000,0,0,0,0,0,0,0,0,0,0,0,0,planned_only
0,000060,25,16,21,12_10,leader_to_rsu,2000,0,0,0,0,0,0,0,0,0,0,0,0,planned_only
0,000060,26,7,21,14_10,leader_to_rsu,2000,0,0,0,0,0,0,0,0,0,0,0,0,planned_only
0,000060,27,10,21,12_5,leader_to_rsu,2000,0,0,0,0,0,0,0,0,0,0,0,0,planned_only
0,000060,28,4,21,15_6,leader_to_rsu,2000,0,0,0,0,0,0,0,0,0,0,0,0,planned_only
0,000060,29,9,10,11_5,member_to_leader,10000,0,0,0,0,0,0,0,0,0,0,0,0,planned_only
0,000060,30,10,21,11_5,leader_to_rsu,2000,0,0,0,0,0,0,0,0,0,0,0,0,planned_only
0,000060,31,7,20,13_9,member_to_leader,10000,0,0,0,0,0,0,0,0,0,0,0,0,planned_only
0,000060,32,20,21,13_9,leader_to_rsu,2000,0,0,0,0,0,0,0,0,0,0,0,0,planned_only
0,000060,33,12,4,16_8,member_to_leader,10000,0,0,0,0,0,0,0,0,0,0,0,0,planned_only
0,000060,34,4,21,16_8,leader_to_rsu,2000,0,0,0,0,0,0,0,0,0,0,0,0,planned_only
0,000060,35,8,1,15_2,member_to_leader,10000,0,0,0,0,0,0,0,0,0,0,0,0,planned_only
0,000060,36,1,21,15_2,leader_to_rsu,2000,0,0,0,0,0,0,0,0,0,0,0,0,planned_only
0,000060,37,9,19,11_8,member_to_leader,10000,0,0,0,0,0,0,0,0,0,0,0,0,planned_only
0,000060,38,19,21,11_8,leader_to_rsu,2000,0,0,0,0,0,0,0,0,0,0,0,0,planned_only
0,000060,39,10,21,11_4,leader_to_rsu,2000,0,0,0,0,0,0,0,0,0,0,0,0,planned_only
0,000060,40,11,21,12_3,leader_to_rsu,2000,0,0,0,0,0,0,0,0,0,0,0,0,planned_only
