scenario_id,timestamp,area_id,leader_id,group_members,group_size,area_center_x,area_center_y,leader_lidar_x,leader_lidar_y,leader_lidar_yaw,local_center_x,local_center_y,voxel_ix_min,voxel_ix_max,voxel_iy_min,voxel_iy_max,feature_ix_min,feature_ix_max,feature_iy_min,feature_iy_max,in_lidar_range,scatter_grid_w,scatter_grid_h,fused_grid_w,fused_grid_h,scatter_slice_cells,fused_slice_cells,scatter_slice_float32_bytes_per_cav,scatter_slice_float32_bytes_for_group,fused_slice_float32_bytes,scatter_spatial_features_shape,backbone_spatial_features_2d_shape
2026_07_15_02_33_21,000060,12_9,5,5;20,2,-15.000,17.000,-18.373043,15.286464,47.703888,3.536631,-1.341982,346,375,82,111,173,188,41,56,1,704,200,352,100,841,225,215296,430592,345600,2x64x200x704,1x384x100x352
2026_07_15_02_33_21,000060,13_2,11,11;2,2,-5.000,-25.000,-8.707603,-25.900993,112.825188,-0.607818,-3.766785,338,363,76,106,169,182,38,53,1,704,200,352,100,750,195,192000,384000,299520,2x64x200x704,1x384x100x352
2026_07_15_02_33_21,000060,13_0,2,2,1,-5.000,-37.000,-6.646089,-38.519516,94.182877,1.394691,-1.752543,347,364,82,109,173,182,41,55,1,704,200,352,100,459,126,117504,117504,193536,1x64x200x704,1x384x100x352
2026_07_15_02_33_21,000060,11_7,9,9;10,2,-25.000,5.000,-28.601233,3.049568,26.953032,4.094130,0.106261,347,377,87,113,173,189,43,57,1,704,200,352,100,780,224,199680,399360,344064,2x64x200x704,1x384x100x352
2026_07_15_02_33_21,000060,13_3,11,11,1,-5.000,-19.000,-8.707603,-25.900993,112.825188,4.922339,-6.094310,352,377,70,100,176,189,35,50,1,704,200,352,100,750,195,192000,192000,299520,1x64x200x704,1x384x100x352
