timestamp,area_id,leader_id,group_members,group_size,group_confidence,area_quality,confidence_weighted_quality,gt_count,pred_count,member_count_check
000060,12_9,5,5;20,2,0.993232,1.000000,0.993232,3.000000,3.000000,2
000060,13_2,11,11;2,2,0.982015,1.000000,0.982015,3.000000,3.000000,2
000060,13_0,2,2,1,0.956185,1.000000,0.956185,2.000000,2.000000,1
000060,11_7,9,9;10,2,0.982406,1.000000,0.982406,2.000000,2.000000,2
000060,13_3,11,11,1,0.854979,1.000000,0.854979,2.000000,2.000000,1
000060,14_11,7,7;16,2,0.872718,1.000000,0.872718,2.000000,2.000000,2
000060,14_1,1,1,1,0.937491,0.500000,0.468745,2.000000,1.000000,1
000060,15_4,8,8,1,0.924505,0.500000,0.462253,2.000000,1.000000,1
000060,12_4,10,10,1,0.853059,0.500000,0.426530,2.000000,1.000000,1
000060,14_3,1,1;8,2,0.943908,0.500000,0.471954,2.000000,1.000000,2
000060,17_5,12,12;4,2,0.698251,0.500000,0.349125,2.000000,1.000000,2
000060,18_7,12,12,1,0.133370,0.000000,0.000000,2.000000,1.000000,1
000060,15_3,8,8;1,2,0.962842,0.000000,0.000000,2.000000,0.000000,2
000060,17_7,12,12,1,0.814292,1.000000,0.814292,1.000000,2.000000,1
000060,16_7,12,12,1,0.985045,1.000000,0.985045,1.000000,1.000000,1
000060,14_9,7,7,1,0.952979,1.000000,0.952979,1.000000,1.000000,1
000060,12_10,16,16;20,2,0.993124,1.000000,0.993124,1.000000,1.000000,2
000060,14_10,7,7,1,0.925101,1.000000,0.925101,1.000000,1.000000,1
000060,12_5,10,10,1,0.918068,1.000000,0.918068,1.000000,1.000000,1
000060,15_6,4,4,1,0.901514,1.000000,0.901514,1.000000,1.000000,1
000060,11_5,10,10;9,2,0.978816,1.000000,0.978816,1.000000,1.000000,2
000060,13_9,20,20;7,2,0.976751,1.000000,0.976751,1.000000,1.000000,2
000060,16_8,4,12;4,2,0.975639,1.000000,0.975639,1.000000,1.000000,2
000060,15_2,1,1;8,2,0.970775,1.000000,0.970775,1.000000,1.000000,2
000060,11_8,19,9;19,2,0.956574,1.000000,0.956574,1.000000,1.000000,2
000060,11_4,10,10,1,0.837188,1.000000,0.837188,1.000000,1.000000,1
000060,12_3,11,11,1,0.829625,1.000000,0.829625,1.000000,1.000000,1
000060,15_8,4,4;7,2,0.960140,1.000000,0.960140,1.000000,1.000000,2
000060,16_5,4,4;12,2,0.961737,1.000000,0.961737,1.000000,1.000000,2
000060,16_4,12,4;12,2,0.920460,1.000000,0.920460,1.000000,1.000000,2
000060,12_7,20,10;20;9,3,0.776017,1.000000,0.776017,1.000000,1.000000,3
000060,12_13,3,16;3,2,0.201729,1.000000,0.201729,1.000000,1.000000,2
000060,15_9,7,7,1,0.829675,0.000000,0.000000,1.000000,0.000000,1
000060,6_13,14,14,1,0.944570,0.000000,0.000000,0.000000,0.000000,1
000060,10_6,19,19,1,0.944274,0.000000,0.000000,0.000000,0.000000,1
000060,9_6,13,13,1,0.909034,0.000000,0.000000,0.000000,0.000000,1
000060,12_11,16,16,1,0.905405,0.000000,0.000000,0.000000,0.000000,1
000060,16_6,12,12;4,2,0.988053,0.000000,0.000000,0.000000,0.000000,2
000060,15_7,4,4;12,2,0.981905,0.000000,0.000000,0.000000,0.000000,2
000060,11_6,9,9;10,2,0.985123,0.000000,0.000000,0.000000,0.000000,2
000062,12_9,5,5;20,2,0.993232,1.000000,0.993232,3.000000,3.000000,2
000062,13_2,11,11;2,2,0.982724,1.000000,0.982724,3.000000,3.000000,2
000062,13_0,2,2,1,0.958680,1.000000,0.958680,2.000000,2.000000,1
000062,14_1,1,1,1,0.937491,1.000000,0.937491,2.000000,2.000000,1
000062,11_7,9,9;10,2,0.982762,1.000000,0.982762,2.000000,2.000000,2
000062,13_3,11,11,1,0.854979,1.000000,0.854979,2.000000,2.000000,1
000062,14_11,7,7;20,2,0.871409,1.000000,0.871409,2.000000,2.000000,2
000062,14_3,8,1;8,2,0.943908,1.000000,0.943908,2.000000,2.000000,2
000062,18_7,12,12;4,2,0.221179,0.000000,0.000000,2.000000,2.000000,2
000062,15_4,8,8,1,0.924505,0.500000,0.462253,2.000000,1.000000,1
000062,12_4,10,10,1,0.848175,0.500000,0.424088,2.000000,1.000000,1
000062,17_5,4,12;4,2,0.730052,0.500000,0.365026,2.000000,1.000000,2
000062,15_3,1,8;1,2,0.962842,0.000000,0.000000,2.000000,0.000000,2
000062,16_7,12,12,1,0.984728,1.000000,0.984728,1.000000,1.000000,1
000062,14_9,7,7,1,0.952888,1.000000,0.952888,1.000000,1.000000,1
000062,12_10,16,16;20,2,0.992401,1.000000,0.992401,1.000000,1.000000,2
000062,14_10,7,7,1,0.923954,1.000000,0.923954,1.000000,1.000000,1
000062,12_5,10,10,1,0.915200,1.000000,0.915200,1.000000,1.000000,1
000062,15_6,4,4,1,0.903990,1.000000,0.903990,1.000000,1.000000,1
000062,11_5,10,10;9,2,0.979025,1.000000,0.979025,1.000000,1.000000,2
000062,13_9,20,20;7,2,0.976586,1.000000,0.976586,1.000000,1.000000,2
000062,16_8,12,12;4,2,0.974962,1.000000,0.974962,1.000000,1.000000,2
000062,15_2,1,1;8,2,0.970775,1.000000,0.970775,1.000000,1.000000,2
000062,11_8,19,9;19,2,0.956832,1.000000,0.956832,1.000000,1.000000,2
000062,11_4,10,10,1,0.834784,1.000000,0.834784,1.000000,1.000000,1
000062,15_9,7,7,1,0.831415,1.000000,0.831415,1.000000,1.000000,1
000062,12_3,11,11,1,0.829625,1.000000,0.829625,1.000000,1.000000,1
000062,17_7,12,12,1,0.817678,1.000000,0.817678,1.000000,1.000000,1
000062,16_5,4,4;12,2,0.962788,1.000000,0.962788,1.000000,1.000000,2
000062,15_8,4,4;7,2,0.959429,1.000000,0.959429,1.000000,1.000000,2
000062,16_4,12,4;12,2,0.921921,1.000000,0.921921,1.000000,1.000000,2
000062,12_7,20,10;20,2,0.787197,1.000000,0.787197,1.000000,1.000000,2
000062,6_13,14,14,1,0.954044,0.000000,0.000000,0.000000,0.000000,1
000062,10_6,19,19,1,0.945958,0.000000,0.000000,0.000000,0.000000,1
000062,12_11,16,16,1,0.910282,0.000000,0.000000,0.000000,0.000000,1
000062,9_6,13,13,1,0.909034,0.000000,0.000000,0.000000,0.000000,1
000062,16_6,4,12;4,2,0.988453,0.000000,0.000000,0.000000,0.000000,2
000062,11_6,9,9;10,2,0.985580,0.000000,0.000000,0.000000,0.000000,2
000062,15_7,12,4;12,2,0.980887,0.000000,0.000000,0.000000,0.000000,2
000062,14_2,8,1;8,2,0.951940,0.000000,0.000000,0.000000,0.000000,2
000064,12_9,5,5;20,2,0.993232,1.000000,0.993232,3.000000,3.000000,2
000064,13_2,11,11;2,2,0.983002,1.000000,0.983002,3.000000,3.000000,2
000064,13_0,2,2,1,0.961149,1.000000,0.961149,2.000000,2.000000,1
000064,14_1,1,1,1,0.937491,1.000000,0.937491,2.000000,2.000000,1
000064,11_7,9,9;10,2,0.983101,1.000000,0.983101,2.000000,2.000000,2
000064,13_3,11,11,1,0.854979,1.000000,0.854979,2.000000,2.000000,1
000064,12_4,10,10,1,0.843568,1.000000,0.843568,2.000000,2.000000,1
000064,14_11,7,7;20,2,0.871685,1.000000,0.871685,2.000000,2.000000,2
000064,15_4,8,8,1,0.924505,0.500000,0.462253,2.000000,1.000000,1
000064,14_3,1,1;8,2,0.943908,0.500000,0.471954,2.000000,1.000000,2
000064,17_5,12,12;4,2,0.754498,0.500000,0.377249,2.000000,1.000000,2
000064,18_7,4,12;4,2,0.236480,0.000000,0.000000,2.000000,1.000000,2
000064,15_3,8,8;1,2,0.962842,0.000000,0.000000,2.000000,0.000000,2
000064,16_7,12,12,1,0.982989,1.000000,0.982989,1.000000,1.000000,1
000064,14_9,7,7,1,0.952645,1.000000,0.952645,1.000000,1.000000,1
000064,14_10,7,7,1,0.922401,1.000000,0.922401,1.000000,1.000000,1
000064,12_11,16,16,1,0.914691,1.000000,0.914691,1.000000,1.000000,1
000064,12_5,10,10,1,0.912312,1.000000,0.912312,1.000000,1.000000,1
000064,15_6,4,4,1,0.906174,1.000000,0.906174,1.000000,1.000000,1
000064,11_5,10,10;9,2,0.979166,1.000000,0.979166,1.000000,1.000000,2
000064,16_8,12,12;4,2,0.974245,1.000000,0.974245,1.000000,1.000000,2
000064,15_2,1,1;8,2,0.970775,1.000000,0.970775,1.000000,1.000000,2
000064,11_8,19,9;19,2,0.956930,1.000000,0.956930,1.000000,1.000000,2
000064,15_9,7,7,1,0.833692,1.000000,0.833692,1.000000,1.000000,1
000064,11_4,10,10,1,0.832349,1.000000,0.832349,1.000000,1.000000,1
000064,12_3,11,11,1,0.829625,1.000000,0.829625,1.000000,1.000000,1
000064,17_7,12,12,1,0.821586,1.000000,0.821586,1.000000,1.000000,1
000064,16_5,4,4;12,2,0.963789,1.000000,0.963789,1.000000,1.000000,2
000064,15_8,4,4;7,2,0.958875,1.000000,0.958875,1.000000,1.000000,2
000064,12_7,20,10;20,2,0.809337,1.000000,0.809337,1.000000,1.000000,2
000064,16_4,12,4;12,2,0.923333,1.000000,0.923333,1.000000,1.000000,2
000064,13_9,20,20;7,2,0.976370,0.000000,0.000000,1.000000,0.000000,2
000064,6_13,14,14,1,0.960771,0.000000,0.000000,0.000000,0.000000,1
000064,10_6,19,19,1,0.946567,0.000000,0.000000,0.000000,0.000000,1
000064,12_10,16,16;20,2,0.991664,0.000000,0.000000,0.000000,0.000000,2
000064,9_6,13,13,1,0.909034,0.000000,0.000000,0.000000,0.000000,1
000064,16_6,4,12;4,2,0.988804,0.000000,0.000000,0.000000,0.000000,2
000064,11_6,9,9;10,2,0.986009,0.000000,0.000000,0.000000,0.000000,2
000064,14_2,8,1;8,2,0.947716,0.000000,0.000000,0.000000,0.000000,2
000064,15_7,12,4;12,2,0.979801,0.000000,0.000000,0.000000,0.000000,2
000066,12_9,5,5;20,2,0.993232,1.000000,0.993232,3.000000,3.000000,2
000066,13_2,11,11;2,2,0.983314,1.000000,0.983314,3.000000,3.000000,2
000066,13_0,2,2,1,0.963340,1.000000,0.963340,2.000000,2.000000,1
000066,14_1,1,1,1,0.937491,1.000000,0.937491,2.000000,2.000000,1
000066,15_4,8,8,1,0.924505,0.500000,0.462253,2.000000,2.000000,1
000066,11_7,9,9;10,2,0.983428,1.000000,0.983428,2.000000,2.000000,2
000066,13_3,11,11,1,0.854979,1.000000,0.854979,2.000000,2.000000,1
000066,12_4,10,10,1,0.839165,1.000000,0.839165,2.000000,2.000000,1
000066,14_11,7,7;16,2,0.870033,1.000000,0.870033,2.000000,2.000000,2
000066,14_3,1,1;8,2,0.943908,0.500000,0.471954,2.000000,1.000000,2
000066,17_5,12,12;4,2,0.752944,0.500000,0.376472,2.000000,1.000000,2
000066,18_7,4,12;4,2,0.255875,0.500000,0.127938,2.000000,1.000000,2
000066,15_3,8,8;1,2,0.962842,0.000000,0.000000,2.000000,0.000000,2
000066,16_7,12,12,1,0.979800,1.000000,0.979800,1.000000,1.000000,1
000066,14_9,7,7,1,0.952164,1.000000,0.952164,1.000000,1.000000,1
000066,14_10,7,7,1,0.920432,1.000000,0.920432,1.000000,1.000000,1
000066,12_11,16,16,1,0.918601,1.000000,0.918601,1.000000,1.000000,1
000066,12_5,10,10,1,0.909398,1.000000,0.909398,1.000000,1.000000,1
000066,15_6,4,4,1,0.908097,1.000000,0.908097,1.000000,1.000000,1
000066,11_5,10,10;9,2,0.979248,1.000000,0.979248,1.000000,1.000000,2
000066,13_9,20,20;7,2,0.976108,1.000000,0.976108,1.000000,1.000000,2
000066,16_8,12,12;4,2,0.973483,1.000000,0.973483,1.000000,1.000000,2
000066,15_2,1,1;8,2,0.970775,1.000000,0.970775,1.000000,1.000000,2
000066,11_8,19,9;19,2,0.956929,1.000000,0.956929,1.000000,1.000000,2
000066,15_9,7,7,1,0.836471,1.000000,0.836471,1.000000,1.000000,1
000066,11_4,10,10,1,0.829876,1.000000,0.829876,1.000000,1.000000,1
000066,12_3,11,11,1,0.829625,1.000000,0.829625,1.000000,1.000000,1
000066,17_7,12,12,1,0.825994,1.000000,0.825994,1.000000,1.000000,1
000066,16_5,4,4;12,2,0.964731,1.000000,0.964731,1.000000,1.000000,2
000066,15_8,4,4;7,2,0.958469,1.000000,0.958469,1.000000,1.000000,2
000066,12_7,20,10;20,2,0.811570,1.000000,0.811570,1.000000,1.000000,2
000066,16_4,12,4;12,2,0.924688,0.000000,0.000000,1.000000,0.000000,2
000066,6_13,14,14,1,0.963004,0.000000,0.000000,0.000000,0.000000,1
000066,10_6,19,19,1,0.946562,0.000000,0.000000,0.000000,0.000000,1
000066,12_10,16,16;20,2,0.990913,0.000000,0.000000,0.000000,0.000000,2
000066,9_6,13,13,1,0.909034,0.000000,0.000000,0.000000,0.000000,1
000066,16_6,4,12;4,2,0.989096,0.000000,0.000000,0.000000,0.000000,2
000066,11_6,9,9;10,2,0.986416,0.000000,0.000000,0.000000,0.000000,2
000066,14_2,8,1;8,2,0.947716,0.000000,0.000000,0.000000,0.000000,2
000066,15_7,12,4;12,2,0.978647,0.000000,0.000000,0.000000,0.000000,2
000068,12_9,5,5;20,2,0.993232,1.000000,0.993232,3.000000,3.000000,2
000068,13_2,11,11;2,2,0.983658,1.000000,0.983658,3.000000,3.000000,2
000068,13_0,2,2,1,0.964914,1.000000,0.964914,2.000000,2.000000,1
000068,14_1,1,1,1,0.937491,1.000000,0.937491,2.000000,2.000000,1
000068,11_7,9,9;10,2,0.983747,1.000000,0.983747,2.000000,2.000000,2
000068,13_3,11,11,1,0.854979,1.000000,0.854979,2.000000,2.000000,1
000068,14_11,7,7;16,2,0.872330,1.000000,0.872330,2.000000,2.000000,2
000068,18_7,12,12;4,2,0.227782,1.000000,0.227782,2.000000,2.000000,2
000068,15_4,8,8,1,0.924505,0.500000,0.462253,2.000000,1.000000,1
000068,12_4,10,10,1,0.834918,0.500000,0.417459,2.000000,1.000000,1
000068,14_3,1,1;8,2,0.943908,0.500000,0.471954,2.000000,1.000000,2
000068,17_5,4,12;4,2,0.806034,0.500000,0.403017,2.000000,1.000000,2
000068,15_3,8,8;1,2,0.962842,0.000000,0.000000,2.000000,0.000000,2
000068,16_7,12,12,1,0.975384,1.000000,0.975384,1.000000,1.000000,1
000068,14_9,7,7,1,0.951349,1.000000,0.951349,1.000000,1.000000,1
000068,12_11,16,16,1,0.921921,1.000000,0.921921,1.000000,1.000000,1
000068,14_10,7,7,1,0.918024,1.000000,0.918024,1.000000,1.000000,1
000068,15_6,4,4,1,0.909782,1.000000,0.909782,1.000000,1.000000,1
000068,12_5,10,10,1,0.906464,1.000000,0.906464,1.000000,1.000000,1
000068,11_5,10,10;9,2,0.979275,1.000000,0.979275,1.000000,1.000000,2
000068,13_9,20,20;7,2,0.975800,1.000000,0.975800,1.000000,1.000000,2
000068,16_8,12,12;4,2,0.972669,1.000000,0.972669,1.000000,1.000000,2
000068,15_2,1,1;8,2,0.970775,1.000000,0.970775,1.000000,1.000000,2
000068,11_8,19,9;19,2,0.956921,1.000000,0.956921,1.000000,1.000000,2
000068,15_9,7,7,1,0.839737,1.000000,0.839737,1.000000,1.000000,1
000068,17_7,12,12,1,0.830916,1.000000,0.830916,1.000000,1.000000,1
000068,12_3,11,11,1,0.829625,1.000000,0.829625,1.000000,1.000000,1
000068,12_7,10,10,1,0.799222,1.000000,0.799222,1.000000,1.000000,1
000068,15_8,4,4;7,2,0.958201,1.000000,0.958201,1.000000,1.000000,2
000068,16_4,4,4;12,2,0.925981,1.000000,0.925981,1.000000,1.000000,2
000068,11_4,10,10,1,0.827353,0.000000,0.000000,1.000000,0.000000,1
000068,16_5,12,4;12,2,0.965609,0.000000,0.000000,1.000000,0.000000,2
000068,6_13,14,14,1,0.959941,0.000000,0.000000,0.000000,0.000000,1
000068,10_6,19,19,1,0.946514,0.000000,0.000000,0.000000,0.000000,1
000068,9_6,13,13,1,0.909034,0.000000,0.000000,0.000000,0.000000,1
000068,12_10,16,16;20,2,0.990154,0.000000,0.000000,0.000000,0.000000,2
000068,16_6,4,12;4,2,0.989316,0.000000,0.000000,0.000000,0.000000,2
000068,11_6,9,9;10,2,0.986805,0.000000,0.000000,0.000000,0.000000,2
000068,14_2,8,1;8,2,0.947716,0.000000,0.000000,0.000000,0.000000,2
000068,6_12,14,14,1,0.887644,0.000000,0.000000,0.000000,0.000000,1
000070,12_9,5,5;20,2,0.993256,1.000000,0.993256,3.000000,3.000000,2
000070,13_2,11,11;2,2,0.984002,1.000000,0.984002,3.000000,3.000000,2
000070,13_0,2,2,1,0.965489,1.000000,0.965489,2.000000,2.000000,1
000070,11_7,9,9;10,2,0.984060,1.000000,0.984060,2.000000,2.000000,2
000070,13_3,11,11,1,0.854979,1.000000,0.854979,2.000000,2.000000,1
000070,18_7,12,12;4,2,0.252776,1.000000,0.252776,2.000000,2.000000,2
000070,14_1,1,1,1,0.937491,0.500000,0.468745,2.000000,1.000000,1
000070,15_4,8,8,1,0.924505,0.000000,0.000000,2.000000,1.000000,1
000070,14_10,7,7,1,0.915152,0.500000,0.457576,2.000000,1.000000,1
000070,12_4,10,10,1,0.830790,0.500000,0.415395,2.000000,1.000000,1
000070,14_3,1,1;8,2,0.943908,0.500000,0.471954,2.000000,1.000000,2
000070,17_5,4,12;4,2,0.828985,0.500000,0.414492,2.000000,1.000000,2
000070,15_3,8,8;1,2,0.962842,0.000000,0.000000,2.000000,0.000000,2
000070,14_11,16,7;16,2,0.872283,1.000000,0.872283,1.000000,2.000000,2
000070,16_7,12,12,1,0.969957,1.000000,0.969957,1.000000,1.000000,1
