timestamp,area_id,source_id,target_id,upload_type,bytes
000060,12_9,20,5,member_to_leader,10000
000060,12_9,5,RSU,leader_to_rsu,2000
000060,13_2,2,11,member_to_leader,10000
000060,13_2,11,RSU,leader_to_rsu,2000
000060,13_0,2,RSU,leader_to_rsu,2000
000060,11_7,10,9,member_to_leader,10000
000060,11_7,9,RSU,leader_to_rsu,2000
000060,13_3,11,RSU,leader_to_rsu,2000
000060,14_11,16,7,member_to_leader,10000
000060,14_11,7,RSU,leader_to_rsu,2000
000060,14_1,1,RSU,leader_to_rsu,2000
000060,15_4,8,RSU,leader_to_rsu,2000
000060,12_4,10,RSU,leader_to_rsu,2000
000060,14_3,8,1,member_to_leader,10000
000060,14_3,1,RSU,leader_to_rsu,2000
000060,17_5,4,12,member_to_leader,10000
000060,17_5,12,RSU,leader_to_rsu,2000
000060,18_7,12,RSU,leader_to_rsu,2000
000060,15_3,1,8,member_to_leader,10000
000060,15_3,8,RSU,leader_to_rsu,2000
000060,17_7,12,RSU,leader_to_rsu,2000
000060,16_7,12,RSU,leader_to_rsu,2000
000060,14_9,7,RSU,leader_to_rsu,2000
000060,12_10,20,16,member_to_leader,10000
000060,12_10,16,RSU,leader_to_rsu,2000
000060,14_10,7,RSU,leader_to_rsu,2000
000060,12_5,10,RSU,leader_to_rsu,2000
000060,15_6,4,RSU,leader_to_rsu,2000
000060,11_5,9,10,member_to_leader,10000
000060,11_5,10,RSU,leader_to_rsu,2000
000060,13_9,7,20,member_to_leader,10000
000060,13_9,20,RSU,leader_to_rsu,2000
000060,16_8,12,4,member_to_leader,10000
000060,16_8,4,RSU,leader_to_rsu,2000
000060,15_2,8,1,member_to_leader,10000
000060,15_2,1,RSU,leader_to_rsu,2000
000060,11_8,9,19,member_to_leader,10000
000060,11_8,19,RSU,leader_to_rsu,2000
000060,11_4,10,RSU,leader_to_rsu,2000
000060,12_3,11,RSU,leader_to_rsu,2000
000060,15_8,7,4,member_to_leader,10000
000060,15_8,4,RSU,leader_to_rsu,2000
000060,16_5,12,4,member_to_leader,10000
000060,16_5,4,RSU,leader_to_rsu,2000
000060,16_4,4,12,member_to_leader,10000
000060,16_4,12,RSU,leader_to_rsu,2000
000060,12_7,10,20,member_to_leader,10000
000060,12_7,9,20,member_to_leader,10000
000060,12_7,20,RSU,leader_to_rsu,2000
000060,12_13,16,3,member_to_leader,10000
000060,12_13,3,RSU,leader_to_rsu,2000
000060,15_9,7,RSU,leader_to_rsu,2000
000060,6_13,14,RSU,leader_to_rsu,2000
000060,10_6,19,RSU,leader_to_rsu,2000
000060,9_6,13,RSU,leader_to_rsu,2000
000060,12_11,16,RSU,leader_to_rsu,2000
000060,16_6,4,12,member_to_leader,10000
000060,16_6,12,RSU,leader_to_rsu,2000
000060,15_7,12,4,member_to_leader,10000
000060,15_7,4,RSU,leader_to_rsu,2000
000060,11_6,10,9,member_to_leader,10000
000060,11_6,9,RSU,leader_to_rsu,2000
000062,12_9,20,5,member_to_leader,10000
000062,12_9,5,RSU,leader_to_rsu,2000
000062,13_2,2,11,member_to_leader,10000
000062,13_2,11,RSU,leader_to_rsu,2000
000062,13_0,2,RSU,leader_to_rsu,2000
000062,14_1,1,RSU,leader_to_rsu,2000
000062,11_7,10,9,member_to_leader,10000
000062,11_7,9,RSU,leader_to_rsu,2000
000062,13_3,11,RSU,leader_to_rsu,2000
000062,14_11,20,7,member_to_leader,10000
000062,14_11,7,RSU,leader_to_rsu,2000
000062,14_3,1,8,member_to_leader,10000
000062,14_3,8,RSU,leader_to_rsu,2000
000062,18_7,4,12,member_to_leader,10000
000062,18_7,12,RSU,leader_to_rsu,2000
000062,15_4,8,RSU,leader_to_rsu,2000
000062,12_4,10,RSU,leader_to_rsu,2000
000062,17_5,12,4,member_to_leader,10000
000062,17_5,4,RSU,leader_to_rsu,2000
000062,15_3,8,1,member_to_leader,10000
000062,15_3,1,RSU,leader_to_rsu,2000
000062,16_7,12,RSU,leader_to_rsu,2000
000062,14_9,7,RSU,leader_to_rsu,2000
000062,12_10,20,16,member_to_leader,10000
000062,12_10,16,RSU,leader_to_rsu,2000
000062,14_10,7,RSU,leader_to_rsu,2000
000062,12_5,10,RSU,leader_to_rsu,2000
000062,15_6,4,RSU,leader_to_rsu,2000
000062,11_5,9,10,member_to_leader,10000
000062,11_5,10,RSU,leader_to_rsu,2000
000062,13_9,7,20,member_to_leader,10000
000062,13_9,20,RSU,leader_to_rsu,2000
000062,16_8,4,12,member_to_leader,10000
000062,16_8,12,RSU,leader_to_rsu,2000
000062,15_2,8,1,member_to_leader,10000
000062,15_2,1,RSU,leader_to_rsu,2000
000062,11_8,9,19,member_to_leader,10000
000062,11_8,19,RSU,leader_to_rsu,2000
000062,11_4,10,RSU,leader_to_rsu,2000
000062,15_9,7,RSU,leader_to_rsu,2000
000062,12_3,11,RSU,leader_to_rsu,2000
000062,17_7,12,RSU,leader_to_rsu,2000
000062,16_5,12,4,member_to_leader,10000
000062,16_5,4,RSU,leader_to_rsu,2000
000062,15_8,7,4,member_to_leader,10000
000062,15_8,4,RSU,leader_to_rsu,2000
000062,16_4,4,12,member_to_leader,10000
000062,16_4,12,RSU,leader_to_rsu,2000
000062,12_7,10,20,member_to_leader,10000
000062,12_7,20,RSU,leader_to_rsu,2000
000062,6_13,14,RSU,leader_to_rsu,2000
000062,10_6,19,RSU,leader_to_rsu,2000
000062,12_11,16,RSU,leader_to_rsu,2000
000062,9_6,13,RSU,leader_to_rsu,2000
000062,16_6,12,4,member_to_leader,10000
000062,16_6,4,RSU,leader_to_rsu,2000
000062,11_6,10,9,member_to_leader,10000
000062,11_6,9,RSU,leader_to_rsu,2000
000062,15_7,4,12,member_to_leader,10000
000062,15_7,12,RSU,leader_to_rsu,2000
000062,14_2,1,8,member_to_leader,10000
000062,14_2,8,RSU,leader_to_rsu,2000
000064,12_9,20,5,member_to_leader,10000
000064,12_9,5,RSU,leader_to_rsu,2000
000064,13_2,2,11,member_to_leader,10000
000064,13_2,11,RSU,leader_to_rsu,2000
000064,13_0,2,RSU,leader_to_rsu,2000
000064,14_1,1,RSU,leader_to_rsu,2000
000064,11_7,10,9,member_to_leader,10000
000064,11_7,9,RSU,leader_to_rsu,2000
000064,13_3,11,RSU,leader_to_rsu,2000
000064,12_4,10,RSU,leader_to_rsu,2000
000064,14_11,20,7,member_to_leader,10000
000064,14_11,7,RSU,leader_to_rsu,2000
000064,15_4,8,RSU,leader_to_rsu,2000
000064,14_3,8,1,member_to_leader,10000
000064,14_3,1,RSU,leader_to_rsu,2000
000064,17_5,4,12,member_to_leader,10000
000064,17_5,12,RSU,leader_to_rsu,2000
000064,18_7,12,4,member_to_leader,10000
000064,18_7,4,RSU,leader_to_rsu,2000
000064,15_3,1,8,member_to_leader,10000
000064,15_3,8,RSU,leader_to_rsu,2000
000064,16_7,12,RSU,leader_to_rsu,2000
000064,14_9,7,RSU,leader_to_rsu,2000
000064,14_10,7,RSU,leader_to_rsu,2000
000064,12_11,16,RSU,leader_to_rsu,2000
000064,12_5,10,RSU,leader_to_rsu,2000
000064,15_6,4,RSU,leader_to_rsu,2000
000064,11_5,9,10,member_to_leader,10000
000064,11_5,10,RSU,leader_to_rsu,2000
000064,16_8,4,12,member_to_leader,10000
000064,16_8,12,RSU,leader_to_rsu,2000
000064,15_2,8,1,member_to_leader,10000
000064,15_2,1,RSU,leader_to_rsu,2000
000064,11_8,9,19,member_to_leader,10000
000064,11_8,19,RSU,leader_to_rsu,2000
000064,15_9,7,RSU,leader_to_rsu,2000
000064,11_4,10,RSU,leader_to_rsu,2000
000064,12_3,11,RSU,leader_to_rsu,2000
000064,17_7,12,RSU,leader_to_rsu,2000
000064,16_5,12,4,member_to_leader,10000
000064,16_5,4,RSU,leader_to_rsu,2000
000064,15_8,7,4,member_to_leader,10000
000064,15_8,4,RSU,leader_to_rsu,2000
000064,12_7,10,20,member_to_leader,10000
000064,12_7,20,RSU,leader_to_rsu,2000
000064,16_4,4,12,member_to_leader,10000
000064,16_4,12,RSU,leader_to_rsu,2000
000064,13_9,7,20,member_to_leader,10000
000064,13_9,20,RSU,leader_to_rsu,2000
000064,6_13,14,RSU,leader_to_rsu,2000
000064,10_6,19,RSU,leader_to_rsu,2000
000064,12_10,20,16,member_to_leader,10000
000064,12_10,16,RSU,leader_to_rsu,2000
000064,9_6,13,RSU,leader_to_rsu,2000
000064,16_6,12,4,member_to_leader,10000
000064,16_6,4,RSU,leader_to_rsu,2000
000064,11_6,10,9,member_to_leader,10000
000064,11_6,9,RSU,leader_to_rsu,2000
000064,14_2,1,8,member_to_leader,10000
000064,14_2,8,RSU,leader_to_rsu,2000
000064,15_7,4,12,member_to_leader,10000
000064,15_7,12,RSU,leader_to_rsu,2000
000066,12_9,20,5,member_to_leader,10000
000066,12_9,5,RSU,leader_to_rsu,2000
000066,13_2,2,11,member_to_leader,10000
000066,13_2,11,RSU,leader_to_rsu,2000
000066,13_0,2,RSU,leader_to_rsu,2000
000066,14_1,1,RSU,leader_to_rsu,2000
000066,15_4,8,RSU,leader_to_rsu,2000
000066,11_7,10,9,member_to_leader,10000
000066,11_7,9,RSU,leader_to_rsu,2000
000066,13_3,11,RSU,leader_to_rsu,2000
000066,12_4,10,RSU,leader_to_rsu,2000
000066,14_11,16,7,member_to_leader,10000
000066,14_11,7,RSU,leader_to_rsu,2000
000066,14_3,8,1,member_to_leader,10000
000066,14_3,1,RSU,leader_to_rsu,2000
000066,17_5,4,12,member_to_leader,10000
000066,17_5,12,RSU,leader_to_rsu,2000
000066,18_7,12,4,member_to_leader,10000
000066,18_7,4,RSU,leader_to_rsu,2000
000066,15_3,1,8,member_to_leader,10000
000066,15_3,8,RSU,leader_to_rsu,2000
000066,16_7,12,RSU,leader_to_rsu,2000
000066,14_9,7,RSU,leader_to_rsu,2000
000066,14_10,7,RSU,leader_to_rsu,2000
000066,12_11,16,RSU,leader_to_rsu,2000
000066,12_5,10,RSU,leader_to_rsu,2000
000066,15_6,4,RSU,leader_to_rsu,2000
000066,11_5,9,10,member_to_leader,10000
000066,11_5,10,RSU,leader_to_rsu,2000
000066,13_9,7,20,member_to_leader,10000
000066,13_9,20,RSU,leader_to_rsu,2000
000066,16_8,4,12,member_to_leader,10000
000066,16_8,12,RSU,leader_to_rsu,2000
000066,15_2,8,1,member_to_leader,10000
000066,15_2,1,RSU,leader_to_rsu,2000
000066,11_8,9,19,member_to_leader,10000
000066,11_8,19,RSU,leader_to_rsu,2000
000066,15_9,7,RSU,leader_to_rsu,2000
000066,11_4,10,RSU,leader_to_rsu,2000
000066,12_3,11,RSU,leader_to_rsu,2000
000066,17_7,12,RSU,leader_to_rsu,2000
000066,16_5,12,4,member_to_leader,10000
000066,16_5,4,RSU,leader_to_rsu,2000
000066,15_8,7,4,member_to_leader,10000
000066,15_8,4,RSU,leader_to_rsu,2000
000066,12_7,10,20,member_to_leader,10000
000066,12_7,20,RSU,leader_to_rsu,2000
000066,16_4,4,12,member_to_leader,10000
000066,16_4,12,RSU,leader_to_rsu,2000
000066,6_13,14,RSU,leader_to_rsu,2000
000066,10_6,19,RSU,leader_to_rsu,2000
000066,12_10,20,16,member_to_leader,10000
000066,12_10,16,RSU,leader_to_rsu,2000
000066,9_6,13,RSU,leader_to_rsu,2000
000066,16_6,12,4,member_to_leader,10000
000066,16_6,4,RSU,leader_to_rsu,2000
000066,11_6,10,9,member_to_leader,10000
000066,11_6,9,RSU,leader_to_rsu,2000
000066,14_2,1,8,member_to_leader,10000
000066,14_2,8,RSU,leader_to_rsu,2000
000066,15_7,4,12,member_to_leader,10000
000066,15_7,12,RSU,leader_to_rsu,2000
000068,12_9,20,5,member_to_leader,10000
000068,12_9,5,RSU,leader_to_rsu,2000
000068,13_2,2,11,member_to_leader,10000
000068,13_2,11,RSU,leader_to_rsu,2000
000068,13_0,2,RSU,leader_to_rsu,2000
000068,14_1,1,RSU,leader_to_rsu,2000
000068,11_7,10,9,member_to_leader,10000
000068,11_7,9,RSU,leader_to_rsu,2000
000068,13_3,11,RSU,leader_to_rsu,2000
000068,14_11,16,7,member_to_leader,10000
000068,14_11,7,RSU,leader_to_rsu,2000
000068,18_7,4,12,member_to_leader,10000
000068,18_7,12,RSU,leader_to_rsu,2000
000068,15_4,8,RSU,leader_to_rsu,2000
000068,12_4,10,RSU,leader_to_rsu,2000
000068,14_3,8,1,member_to_leader,10000
000068,14_3,1,RSU,leader_to_rsu,2000
000068,17_5,12,4,member_to_leader,10000
000068,17_5,4,RSU,leader_to_rsu,2000
000068,15_3,1,8,member_to_leader,10000
000068,15_3,8,RSU,leader_to_rsu,2000
000068,16_7,12,RSU,leader_to_rsu,2000
000068,14_9,7,RSU,leader_to_rsu,2000
000068,12_11,16,RSU,leader_to_rsu,2000
000068,14_10,7,RSU,leader_to_rsu,2000
000068,15_6,4,RSU,leader_to_rsu,2000
000068,12_5,10,RSU,leader_to_rsu,2000
000068,11_5,9,10,member_to_leader,10000
000068,11_5,10,RSU,leader_to_rsu,2000
000068,13_9,7,20,member_to_leader,10000
000068,13_9,20,RSU,leader_to_rsu,2000
000068,16_8,4,12,member_to_leader,10000
000068,16_8,12,RSU,leader_to_rsu,2000
000068,15_2,8,1,member_to_leader,10000
000068,15_2,1,RSU,leader_to_rsu,2000
000068,11_8,9,19,member_to_leader,10000
000068,11_8,19,RSU,leader_to_rsu,2000
000068,15_9,7,RSU,leader_to_rsu,2000
000068,17_7,12,RSU,leader_to_rsu,2000
000068,12_3,11,RSU,leader_to_rsu,2000
000068,12_7,10,RSU,leader_to_rsu,2000
000068,15_8,7,4,member_to_leader,10000
000068,15_8,4,RSU,leader_to_rsu,2000
000068,16_4,12,4,member_to_leader,10000
000068,16_4,4,RSU,leader_to_rsu,2000
000068,11_4,10,RSU,leader_to_rsu,2000
000068,16_5,4,12,member_to_leader,10000
000068,16_5,12,RSU,leader_to_rsu,2000
000068,6_13,14,RSU,leader_to_rsu,2000
000068,10_6,19,RSU,leader_to_rsu,2000
000068,9_6,13,RSU,leader_to_rsu,2000
000068,12_10,20,16,member_to_leader,10000
000068,12_10,16,RSU,leader_to_rsu,2000
000068,16_6,12,4,member_to_leader,10000
000068,16_6,4,RSU,leader_to_rsu,2000
000068,11_6,10,9,member_to_leader,10000
000068,11_6,9,RSU,leader_to_rsu,2000
000068,14_2,1,8,member_to_leader,10000
000068,14_2,8,RSU,leader_to_rsu,2000
000068,6_12,14,RSU,leader_to_rsu,2000
000070,12_9,20,5,member_to_leader,10000
000070,12_9,5,RSU,leader_to_rsu,2000
000070,13_2,2,11,member_to_leader,10000
000070,13_2,11,RSU,leader_to_rsu,2000
000070,13_0,2,RSU,leader_to_rsu,2000
000070,11_7,10,9,member_to_leader,10000
000070,11_7,9,RSU,leader_to_rsu,2000
000070,13_3,11,RSU,leader_to_rsu,2000
000070,18_7,4,12,member_to_leader,10000
000070,18_7,12,RSU,leader_to_rsu,2000
000070,14_1,1,RSU,leader_to_rsu,2000
000070,15_4,8,RSU,leader_to_rsu,2000
000070,14_10,7,RSU,leader_to_rsu,2000
000070,12_4,10,RSU,leader_to_rsu,2000
000070,14_3,8,1,member_to_leader,10000
000070,14_3,1,RSU,leader_to_rsu,2000
000070,17_5,12,4,member_to_leader,10000
000070,17_5,4,RSU,leader_to_rsu,2000
000070,15_3,1,8,member_to_leader,10000
000070,15_3,8,RSU,leader_to_rsu,2000
000070,14_11,7,16,member_to_leader,10000
000070,14_11,16,RSU,leader_to_rsu,2000
000070,16_7,12,RSU,leader_to_rsu,2000
000070,14_9,7,RSU,leader_to_rsu,2000
000070,12_11,16,20,member_to_leader,10000
000070,12_11,20,RSU,leader_to_rsu,2000
000070,15_6,4,RSU,leader_to_rsu,2000
000070,12_5,10,RSU,leader_to_rsu,2000
000070,11_5,9,10,member_to_leader,10000
000070,11_5,10,RSU,leader_to_rsu,2000
000070,13_9,7,20,member_to_leader,10000
000070,13_9,20,RSU,leader_to_rsu,2000
000070,16_8,4,12,member_to_leader,10000
000070,16_8,12,RSU,leader_to_rsu,2000
000070,15_2,8,1,member_to_leader,10000
000070,15_2,1,RSU,leader_to_rsu,2000
000070,15_9,7,RSU,leader_to_rsu,2000
000070,11_8,9,19,member_to_leader,10000
000070,11_8,19,RSU,leader_to_rsu,2000
000070,17_7,12,RSU,leader_to_rsu,2000
000070,12_3,11,RSU,leader_to_rsu,2000
000070,11_4,10,RSU,leader_to_rsu,2000
000070,12_7,10,RSU,leader_to_rsu,2000
000070,15_8,7,4,member_to_leader,10000
000070,15_8,4,RSU,leader_to_rsu,2000
000070,16_5,12,4,member_to_leader,10000
000070,16_5,4,RSU,leader_to_rsu,2000
000070,16_4,4,12,member_to_leader,10000
000070,16_4,12,RSU,leader_to_rsu,2000
000070,15_5,4,RSU,leader_to_rsu,2000
000070,6_13,14,RSU,leader_to_rsu,2000
000070,10_6,19,RSU,leader_to_rsu,2000
000070,9_6,13,RSU,leader_to_rsu,2000
000070,16_6,4,12,member_to_leader,10000
000070,16_6,12,RSU,leader_to_rsu,2000
000070,12_10,20,16,member_to_leader,10000
000070,12_10,16,RSU,leader_to_rsu,2000
000070,6_12,14,RSU,leader_to_rsu,2000
000070,11_6,10,9,member_to_leader,10000
000070,11_6,9,RSU,leader_to_rsu,2000
000072,12_9,20,5,member_to_leader,10000
000072,12_9,5,RSU,leader_to_rsu,2000
000072,13_2,2,11,member_to_leader,10000
000072,13_2,11,RSU,leader_to_rsu,2000
000072,13_0,2,RSU,leader_to_rsu,2000
000072,14_1,1,RSU,leader_to_rsu,2000
000072,11_7,10,9,member_to_leader,10000
000072,11_7,9,RSU,leader_to_rsu,2000
000072,13_3,11,RSU,leader_to_rsu,2000
000072,14_3,1,8,member_to_leader,10000
000072,14_3,8,RSU,leader_to_rsu,2000
000072,15_4,8,RSU,leader_to_rsu,2000
000072,14_10,7,RSU,leader_to_rsu,2000
000072,12_4,10,RSU,leader_to_rsu,2000
000072,17_5,4,12,member_to_leader,10000
000072,17_5,12,RSU,leader_to_rsu,2000
000072,15_3,8,1,member_to_leader,10000
000072,15_3,1,RSU,leader_to_rsu,2000
000072,14_11,7,16,member_to_leader,10000
000072,14_11,16,RSU,leader_to_rsu,2000
000072,16_7,12,RSU,leader_to_rsu,2000
000072,14_9,7,RSU,leader_to_rsu,2000
000072,12_11,16,20,member_to_leader,10000
000072,12_11,20,RSU,leader_to_rsu,2000
000072,15_6,4,RSU,leader_to_rsu,2000
000072,12_5,10,RSU,leader_to_rsu,2000
000072,11_5,9,10,member_to_leader,10000
000072,11_5,10,RSU,leader_to_rsu,2000
000072,16_8,12,4,member_to_leader,10000
000072,16_8,4,RSU,leader_to_rsu,2000
000072,15_2,8,1,member_to_leader,10000
000072,15_2,1,RSU,leader_to_rsu,2000
000072,17_7,12,RSU,leader_to_rsu,2000
000072,11_8,9,19,member_to_leader,10000
