rho_bin_left,rho_bin_right,rho_mid,grid_count,grid_ratio,f_rho_sigmoid_th_0.5,f_rho_sigmoid_th_1,f_rho_sigmoid_th_2,f_rho_sigmoid_th_3,f_rho_sigmoid_th_4
16.250000,16.500000,16.375000,4,0.000005,1.000000,1.000000,0.999999,0.999998,0.999996
16.500000,16.750000,16.625000,5,0.000006,1.000000,1.000000,1.000000,0.999999,0.999997
16.750000,17.000000,16.875000,3,0.000004,1.000000,1.000000,1.000000,0.999999,0.999997
17.000000,17.250000,17.125000,3,0.000004,1.000000,1.000000,1.000000,0.999999,0.999998
17.250000,17.500000,17.375000,8,0.000010,1.000000,1.000000,1.000000,0.999999,0.999998
17.500000,17.750000,17.625000,24,0.000030,1.000000,1.000000,1.000000,1.000000,0.999999
17.750000,18.000000,17.875000,13,0.000016,1.000000,1.000000,1.000000,1.000000,0.999999
18.000000,18.250000,18.125000,4,0.000005,1.000000,1.000000,1.000000,1.000000,0.999999
18.250000,18.500000,18.375000,4,0.000005,1.000000,1.000000,1.000000,1.000000,0.999999
18.500000,18.750000,18.625000,1,0.000001,1.000000,1.000000,1.000000,1.000000,1.000000
18.750000,19.000000,18.875000,2,0.000003,1.000000,1.000000,1.000000,1.000000,1.000000
19.000000,19.250000,19.125000,0,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
19.250000,19.500000,19.375000,1,0.000001,1.000000,1.000000,1.000000,1.000000,1.000000
19.500000,19.750000,19.625000,1,0.000001,1.000000,1.000000,1.000000,1.000000,1.000000
19.750000,20.000000,19.875000,0,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
20.000000,20.250000,20.125000,1,0.000001,1.000000,1.000000,1.000000,1.000000,1.000000
20.250000,20.500000,20.375000,1,0.000001,1.000000,1.000000,1.000000,1.000000,1.000000
20.500000,20.750000,20.625000,1,0.000001,1.000000,1.000000,1.000000,1.000000,1.000000
20.750000,21.000000,20.875000,1,0.000001,1.000000,1.000000,1.000000,1.000000,1.000000
21.000000,21.250000,21.125000,0,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
21.250000,21.500000,21.375000,1,0.000001,1.000000,1.000000,1.000000,1.000000,1.000000
21.500000,21.750000,21.625000,0,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
21.750000,22.000000,21.875000,0,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
22.000000,22.250000,22.125000,1,0.000001,1.000000,1.000000,1.000000,1.000000,1.000000
22.250000,22.500000,22.375000,1,0.000001,1.000000,1.000000,1.000000,1.000000,1.000000
22.500000,22.750000,22.625000,0,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
22.750000,23.000000,22.875000,0,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
23.000000,23.250000,23.125000,0,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
23.250000,23.500000,23.375000,0,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
