scenario_id,timestamp,planned_areas,unique_group_inference_calls,leader_local_pred_boxes,leader_local_gt_boxes,rsu_fused_pred_boxes,rsu_fused_gt_boxes
2026_07_15_02_33_21,000060,23,19,31,29,29,29
2026_07_15_02_33_21,000062,23,20,32,30,30,30
2026_07_15_02_33_21,000064,23,19,29,32,29,32
2026_07_15_02_33_21,000066,23,19,30,32,30,32
2026_07_15_02_33_21,000068,23,19,29,32,29,32
2026_07_15_02_33_21,000070,23,19,30,32,30,32
2026_07_15_02_33_21,000072,23,20,29,32,29,32
2026_07_15_02_33_21,000074,23,19,29,32,28,32
2026_07_15_02_33_21,000076,23,19,28,32,28,32
2026_07_15_02_33_21,000078,23,19,29,32,28,32
2026_07_15_02_33_21,000080,23,18,30,32,30,32
