scenario_id,timestamp,method,budget,selected_count,non_ego_selected_count,selected_agents,pred_count,gt_count
2026_07_15_02_33_21,000060,random,5,5,4,1;10;2;12;11,31,61
2026_07_15_02_33_21,000060,random,10,10,9,1;7;16;12;5;6;20;14;18;17,37,64
2026_07_15_02_33_21,000062,random,5,5,4,1;5;11;7;17,34,48
2026_07_15_02_33_21,000062,random,10,10,9,1;4;11;10;8;2;13;9;18;3,38,65
2026_07_15_02_33_21,000064,random,5,5,4,1;7;3;16;4,29,50
2026_07_15_02_33_21,000064,random,10,10,9,1;9;17;19;8;3;13;5;7;6,39,69
2026_07_15_02_33_21,000066,random,5,5,4,1;13;2;12;18,16,54
2026_07_15_02_33_21,000066,random,10,10,9,1;2;14;19;13;4;15;17;11;18,38,65
2026_07_15_02_33_21,000068,random,5,5,4,1;10;5;20;11,35,59
2026_07_15_02_33_21,000068,random,10,10,9,1;4;6;2;17;9;3;12;18;13,36,70
2026_07_15_02_33_21,000070,random,5,5,4,1;15;20;17;4,34,53
2026_07_15_02_33_21,000070,random,10,10,9,1;2;20;6;9;5;15;18;8;16,46,70
2026_07_15_02_33_21,000072,random,5,5,4,1;8;20;12;2,21,56
2026_07_15_02_33_21,000072,random,10,10,9,1;14;6;9;12;15;20;17;16;5,36,68
2026_07_15_02_33_21,000074,random,5,5,4,1;12;5;16;4,26,53
2026_07_15_02_33_21,000074,random,10,10,9,1;4;12;20;16;10;7;19;13;14,33,56
2026_07_15_02_33_21,000076,random,5,5,4,1;6;11;2;5,31,59
2026_07_15_02_33_21,000076,random,10,10,9,1;4;19;5;17;12;10;13;3;16,33,56
2026_07_15_02_33_21,000078,random,5,5,4,1;20;16;7;18,23,40
2026_07_15_02_33_21,000078,random,10,10,9,1;15;12;19;7;20;16;17;5;9,43,59
2026_07_15_02_33_21,000080,random,5,5,4,1;19;10;16;20,25,53
2026_07_15_02_33_21,000080,random,10,10,9,1;13;8;3;5;16;18;14;4;10,36,59
