method,budget,frames,selected_mean,non_ego_selected_mean,non_ego_packet_total,byte_proxy_total,ap_03,ap_05,ap_07,gt_total,pred_samples
random,5,11,5.000000,4.000000,44,440000,0.378293,0.359425,0.201416,586,305
random,10,11,10.000000,9.000000,99,990000,0.538708,0.521181,0.275563,701,415
