label,trace_path,ap_03,ap_05,ap_07,raw_lidar_mbps,total_mbps,frame_count,trace_rows,detector_calls_total,detector_calls_per_frame,detector_calls_per_frame_p95,mean_source_cavs_per_call,mean_uploaded_cavs_per_call,mean_selected_grids_per_call,mean_input_points_per_call,mean_input_points_per_frame,mean_pred_boxes_per_call,mean_pred_boxes_per_frame,mean_raw_bytes_per_call,mean_frame_comm_time_ms_per_call_row,calibrated_gflops_per_forward,profiled_detector_gflops_per_frame,profiled_detector_gflops_per_second_at_10hz,input_adjusted_detector_gflops_per_frame,input_adjusted_point_feature_gflops_per_frame
FullPerception-PCS,docs\doc_workspace\SGCP\artifacts\protocol_40mhz_10ch_20260721\pcs_single_41f_trace.csv,0.23,0.17,0.06,53.551485,53.551485,41,820,820,20.000,20.000,1.454,0.454,21.298,6975.3,139506.2,14.996,299.927,33469.7,43.929,89.411751,1788.235028,17882.350280,1788.628046,1.616974
EdgeCooper V2V protocol adaptation,docs\doc_workspace\SGCP\artifacts\protocol_40mhz_10ch_20260721\edgecooper_global_d60_41f_trace.csv,0.54,0.48,0.25,275.937186,275.937186,41,820,820,20.000,20.000,3.524,2.524,103.137,15662.2,313245.0,24.699,493.976,172460.7,9.592,89.411751,1788.235028,17882.350280,1790.287557,3.276485
