line_no,frame_index,trace_layer,event,request_id,source_node,target_node,tb_size,subchannel_start,subchannel_num,slot,harq_id,sinr,tbler,reason,raw_event,timestamp,area_id,upload_type,plan_index,pkt_id,matched
1472,1,HARQ,HARQ_NACK,83,2,1,,,,,2,,,,[NRSL_HARQ_EVENT] event=HARQ_NACK request_ids=83 txRnti=2 sender_l2_id=2 receiver_l2_id=1 rxRnti=1 harq_id=2 bwp_id=0,000062,15_3,leader_to_rsu,83,83,1
1638,1,PHY,PSSCH_DECODE_FAIL,65,13,4,4069,,,,1,0.797448,1,decode_fail,[NRSL_PHY_EVENT] event=PSSCH_DECODE_FAIL request_ids=65 txRnti=13 sender_l2_id=13 receiver_l2_id=4 harq_id=1 tb_size=4069 tbler=1 sinr=0.797448 sinrMin=0.449219 reason=decode_fail,000062,13_2,member_to_leader,65,65,1
1639,1,HARQ,HARQ_NACK,65,13,4,,,,,1,,,,[NRSL_HARQ_EVENT] event=HARQ_NACK request_ids=65 txRnti=13 sender_l2_id=13 receiver_l2_id=4 rxRnti=4 harq_id=1 bwp_id=0,000062,13_2,member_to_leader,65,65,1
1796,1,PHY,PSSCH_DECODE_FAIL,116,6,1,2083,,,,0,0.186885,1,sci2_decode_fail,[NRSL_PHY_EVENT] event=PSSCH_DECODE_FAIL request_ids=116 txRnti=6 sender_l2_id=6 receiver_l2_id=1 harq_id=0 tb_size=2083 tbler=1 sinr=0.186885 sinrMin=0.116252 reason=sci2_decode_fail,000062,9_6,leader_to_rsu,116,116,1
1892,1,PHY,PSSCH_DECODE_FAIL,112,14,1,2083,,,,7,0.155267,1,sci2_decode_fail,[NRSL_PHY_EVENT] event=PSSCH_DECODE_FAIL request_ids=112 txRnti=14 sender_l2_id=14 receiver_l2_id=1 harq_id=7 tb_size=2083 tbler=1 sinr=0.155267 sinrMin=0.0990326 reason=sci2_decode_fail,000062,12_7,leader_to_rsu,112,112,1
1894,1,PHY,PSSCH_DECODE_FAIL,69,3,21,4069,,,,5,90.5426,1,decode_fail,[NRSL_PHY_EVENT] event=PSSCH_DECODE_FAIL request_ids=69 txRnti=3 sender_l2_id=3 receiver_l2_id=21 harq_id=5 tb_size=4069 tbler=1 sinr=90.5426 sinrMin=2.35287 reason=decode_fail,000062,11_7,member_to_leader,69,69,1
1895,1,HARQ,HARQ_NACK,69,3,21,,,,,5,,,,[NRSL_HARQ_EVENT] event=HARQ_NACK request_ids=69 txRnti=3 sender_l2_id=3 receiver_l2_id=21 rxRnti=21 harq_id=5 bwp_id=0,000062,11_7,member_to_leader,69,69,1
2045,1,PHY,PSSCH_DECODE_FAIL,91,21,3,4069,,,,5,10.813,1,decode_fail,[NRSL_PHY_EVENT] event=PSSCH_DECODE_FAIL request_ids=91 txRnti=21 sender_l2_id=21 receiver_l2_id=3 harq_id=5 tb_size=4069 tbler=1 sinr=10.813 sinrMin=1.88619 reason=decode_fail,000062,11_5,member_to_leader,91,91,1
2046,1,HARQ,HARQ_NACK,91,21,3,,,,,5,,,,[NRSL_HARQ_EVENT] event=HARQ_NACK request_ids=91 txRnti=21 sender_l2_id=21 receiver_l2_id=3 rxRnti=3 harq_id=5 bwp_id=0,000062,11_5,member_to_leader,91,91,1
2172,1,PHY,PSSCH_DECODE_FAIL,98,2,1,2083,,,,4,7.94796,1,decode_fail,[NRSL_PHY_EVENT] event=PSSCH_DECODE_FAIL request_ids=98 txRnti=2 sender_l2_id=2 receiver_l2_id=1 harq_id=4 tb_size=2083 tbler=1 sinr=7.94796 sinrMin=6.72016 reason=decode_fail,000062,15_2,leader_to_rsu,98,98,1
2173,1,HARQ,HARQ_NACK,98,2,1,,,,,4,,,,[NRSL_HARQ_EVENT] event=HARQ_NACK request_ids=98 txRnti=2 sender_l2_id=2 receiver_l2_id=1 rxRnti=1 harq_id=4 bwp_id=0,000062,15_2,leader_to_rsu,98,98,1
2175,1,PHY,PSSCH_DECODE_FAIL,69,3,21,4069,,,,8,3.89971,1,decode_fail,[NRSL_PHY_EVENT] event=PSSCH_DECODE_FAIL request_ids=69 txRnti=3 sender_l2_id=3 receiver_l2_id=21 harq_id=8 tb_size=4069 tbler=1 sinr=3.89971 sinrMin=2.68997 reason=decode_fail,000062,11_7,member_to_leader,69,69,1
2176,1,HARQ,HARQ_NACK,69,3,21,,,,,8,,,,[NRSL_HARQ_EVENT] event=HARQ_NACK request_ids=69 txRnti=3 sender_l2_id=3 receiver_l2_id=21 rxRnti=21 harq_id=8 bwp_id=0,000062,11_7,member_to_leader,69,69,1
2315,1,PHY,PSSCH_DECODE_FAIL,99,21,12,4069,,,,3,11.2792,1,decode_fail,[NRSL_PHY_EVENT] event=PSSCH_DECODE_FAIL request_ids=99 txRnti=21 sender_l2_id=21 receiver_l2_id=12 harq_id=3 tb_size=4069 tbler=1 sinr=11.2792 sinrMin=0.454532 reason=decode_fail,000062,11_8,member_to_leader,99,99,1
2316,1,HARQ,HARQ_NACK,99,21,12,,,,,3,,,,[NRSL_HARQ_EVENT] event=HARQ_NACK request_ids=99 txRnti=21 sender_l2_id=21 receiver_l2_id=12 rxRnti=12 harq_id=3 bwp_id=0,000062,11_8,member_to_leader,99,99,1
2450,1,PHY,PSSCH_DECODE_FAIL,120,21,1,2083,,,,4,2.081,1,decode_fail,[NRSL_PHY_EVENT] event=PSSCH_DECODE_FAIL request_ids=120 txRnti=21 sender_l2_id=21 receiver_l2_id=1 harq_id=4 tb_size=2083 tbler=1 sinr=2.081 sinrMin=1.42305 reason=decode_fail,000062,11_6,leader_to_rsu,120,120,1
2451,1,HARQ,HARQ_NACK,120,21,1,,,,,4,,,,[NRSL_HARQ_EVENT] event=HARQ_NACK request_ids=120 txRnti=21 sender_l2_id=21 receiver_l2_id=1 rxRnti=1 harq_id=4 bwp_id=0,000062,11_6,leader_to_rsu,120,120,1
2453,1,PHY,PSSCH_DECODE_FAIL,95,16,5,4069,,,,6,5.48382,1,decode_fail,[NRSL_PHY_EVENT] event=PSSCH_DECODE_FAIL request_ids=95 txRnti=16 sender_l2_id=16 receiver_l2_id=5 harq_id=6 tb_size=4069 tbler=1 sinr=5.48382 sinrMin=4.56586 reason=decode_fail,000062,16_8,member_to_leader,95,95,1
2454,1,HARQ,HARQ_NACK,95,16,5,,,,,6,,,,[NRSL_HARQ_EVENT] event=HARQ_NACK request_ids=95 txRnti=16 sender_l2_id=16 receiver_l2_id=5 rxRnti=5 harq_id=6 bwp_id=0,000062,16_8,member_to_leader,95,95,1
