objective,delta_g,instances,mean_relative_gap,median_relative_gap,p90_relative_gap,max_relative_gap,mean_absolute_gap
O1_confidence_only,0.050000,11,0.049030,0.050468,0.052639,0.053657,0.043888
O1_confidence_only,0.075000,11,0.063452,0.064071,0.066516,0.066665,0.056798
O1_confidence_only,0.100000,11,0.068748,0.064128,0.084891,0.093525,0.061609
O1_confidence_only,0.125000,11,0.109864,0.113279,0.117836,0.117895,0.098306
O2_confidence_minus_size,0.050000,11,0.034831,0.036184,0.038233,0.039755,0.030114
O2_confidence_minus_size,0.075000,11,0.047666,0.048150,0.051154,0.051216,0.041205
O2_confidence_minus_size,0.100000,11,0.052629,0.048199,0.068291,0.075165,0.045562
O2_confidence_minus_size,0.125000,11,0.092049,0.095387,0.100414,0.100445,0.079531
