method,role,checkpoint,late_fusion,clustering,resource_allocation,receiver_policy,num_channels,bandwidth_mhz,communication_deadline_ms,selective_frame_deadline_ms,channel_estimator,ns3_tb_size_bytes,ns3_slot_duration_ms,ns3_subchannel_prbs,ns3_symbols_per_slot,ns3_mcs,ap_03,ap_05,ap_07,aggregate_ap_scope,evaluated_samples,trace_rows,receiver_samples_per_frame,traffic_type,uses_sgcp_clustering,uses_inter_cluster_late_fusion,uses_raw_lidar_early_fusion,payload_bytes,raw_lidar_mbps,box_bytes,box_mbps,total_mbps,mbps,box_sharing_mode,avg_comm_bytes_per_trace_row,avg_source_cavs,avg_selected_grids,log_path,trace_path,notes
Pure late current-protocol,local prediction + common global box aggregation reference,attentive,prediction_nms,singleton,local_detection,all-cavs,10,40.0,60.0,,ns3,899,0.5,10,12,28,0.82,0.76,0.37,pooled evaluator over evaluated samples,41,820,20,box/prediction overhead,no,yes,no,0,0.000000,378800,0.739122,0.739122,0.739122,broadcast_boxes,0.00,1.00,0.00,docs\doc_workspace\SGCP\artifacts\table2_current_protocol_20260722\pure_late_41f.log,docs\doc_workspace\SGCP\artifacts\table2_current_protocol_20260722\pure_late_41f_trace.csv,Prediction-box sharing reference; no raw-LiDAR payload. Current-protocol diagnostic; attentive; 40MHz/10 target subchannels/60ms deadline; ns3 tb899 slot0.5 prb10 mcs28 symbols12.
FullPerception-PCS + global box current-protocol,PCS raw-LiDAR adaptation with common scene-level box aggregation,attentive,global_box_nms,singleton,fullperception_pcs,all-cavs,10,40.0,60.0,,ns3,899,0.5,10,12,28,0.83,0.77,0.38,pooled evaluator over evaluated samples,41,820,20,raw LiDAR + box overhead,no,yes,yes,27441680,53.544741,511360,0.997776,54.542517,54.542517,broadcast_boxes,33465.46,1.45,21.28,docs\doc_workspace\SGCP\artifacts\table6_current_protocol_20260722\pcs_global_box_41f.log,docs\doc_workspace\SGCP\artifacts\table6_current_protocol_20260722\pcs_global_box_41f_trace.csv,All 20 CAVs are potential receivers under singleton clustering; the PCS schedule is evaluated with common scene-level box NMS. Current-protocol diagnostic; attentive; 40MHz/10 target subchannels/60ms deadline; ns3 tb899 slot0.5 prb10 mcs28 symbols12.
EdgeCooper V2V + global box current-protocol,deadline-constrained EdgeCooper V2V adaptation with common scene-level box aggregation,attentive,global_box_nms,singleton,selective_edgecooper_global,all-cavs,10,40.0,60.0,60.0,ns3,899,0.5,10,12,28,0.84,0.79,0.37,pooled evaluator over evaluated samples,41,820,20,raw LiDAR + box overhead,no,yes,yes,26091536,50.910314,469136,0.915387,51.825701,51.825701,broadcast_boxes,31818.95,1.42,17.01,docs\doc_workspace\SGCP\artifacts\table6_current_protocol_20260722\edgecooper_global_box_41f.log,docs\doc_workspace\SGCP\artifacts\table6_current_protocol_20260722\edgecooper_global_box_41f_trace.csv,"Uses singleton receiver universe, original EdgeCooper-style greedy endpoint-disjoint matching, and one shared 60ms frame budget. Current-protocol diagnostic; attentive; 40MHz/10 target subchannels/60ms deadline; ns3 tb899 slot0.5 prb10 mcs28 symbols12."
SGCP-PAPG strict current-protocol,proposed clustered early fusion + inter-cluster box aggregation,attentive,inter_cluster_nms,coalition_game,perception_aware_potential_game,all-cluster-heads,10,40.0,60.0,,ns3,899,0.5,10,12,28,0.64,0.60,0.25,pooled evaluator over evaluated samples,41,246,6,raw LiDAR + box overhead,yes,yes,yes,18802688,36.688172,183328,0.357713,37.045885,37.045885,broadcast_boxes,76433.69,2.00,37.00,docs\doc_workspace\SGCP\artifacts\table3_current_protocol_20260722\papg_41f.log,docs\doc_workspace\SGCP\artifacts\table3_current_protocol_20260722\papg_41f_trace.csv,Strict default PAPG current-protocol diagnostic; not the final paper operating point until N_max/budget decision is resolved. Current-protocol diagnostic; attentive; 40MHz/10 target subchannels/60ms deadline; ns3 tb899 slot0.5 prb10 mcs28 symbols12.
Full 20-CAV early fusion current-protocol,full raw-sharing upper reference,attentive,none,all_in_one,full_sharing,all-cluster-heads,10,40.0,60.0,,ns3,899,0.5,10,12,28,0.85,0.83,0.48,pooled evaluator over evaluated samples,41,41,1,raw LiDAR,no,no,yes,60838528,118.709323,0,0.000000,118.709323,118.709323,none,1483866.54,20.00,0.00,docs\doc_workspace\SGCP\artifacts\table2_current_protocol_20260722\one_cluster_full_early_41f.log,docs\doc_workspace\SGCP\artifacts\table2_current_protocol_20260722\one_cluster_full_early_41f_trace.csv,Full raw-sharing upper reference; not a baseline algorithm. Current-protocol diagnostic; attentive; 40MHz/10 target subchannels/60ms deadline; ns3 tb899 slot0.5 prb10 mcs28 symbols12.
