frame_index,timestamp,request_id,source_node,target_node,area_id,upload_type,plan_index,planned_bytes,tx_events,rx_events,drop_events,tx_bytes,rx_bytes,drop_bytes,matched,has_rlc_tx,has_rlc_rx,has_rlc_drop,rlc_complete,rlc_partial,rlc_no_rx
0,000060,57,4,12,16_6,member_to_leader,57,10000,0,0,0,0,0,0,1,0,0,0,0,0,0
0,000060,58,12,21,16_6,leader_to_rsu,58,2000,0,0,0,0,0,0,1,0,0,0,0,0,0
0,000060,59,12,4,15_7,member_to_leader,59,10000,0,0,0,0,0,0,1,0,0,0,0,0,0
0,000060,60,4,21,15_7,leader_to_rsu,60,2000,0,0,0,0,0,0,1,0,0,0,0,0,0
0,000060,61,10,9,11_6,member_to_leader,61,10000,0,0,0,0,0,0,1,0,0,0,0,0,0
0,000060,62,9,21,11_6,leader_to_rsu,62,2000,0,0,0,0,0,0,1,0,0,0,0,0,0
1,000062,1,20,5,12_9,member_to_leader,63,10000,4,1,0,10089,6,0,1,1,1,0,0,1,0
1,000062,2,5,21,12_9,leader_to_rsu,64,2000,1,0,0,2083,0,0,1,1,0,0,0,0,1
1,000062,3,2,11,13_2,member_to_leader,65,10000,4,1,0,10089,6,0,1,1,1,0,0,1,0
1,000062,4,11,21,13_2,leader_to_rsu,66,2000,1,0,0,2083,0,0,1,1,0,0,0,0,1
1,000062,5,2,21,13_0,leader_to_rsu,67,2000,1,0,0,2083,0,0,1,1,0,0,0,0,1
1,000062,6,1,21,14_1,leader_to_rsu,68,2000,1,1,0,2083,2083,0,1,1,1,0,1,0,0
1,000062,7,10,9,11_7,member_to_leader,69,10000,3,0,0,12207,0,0,1,1,0,0,0,0,1
1,000062,8,9,21,11_7,leader_to_rsu,70,2000,1,0,0,2083,0,0,1,1,0,0,0,0,1
1,000062,9,11,21,13_3,leader_to_rsu,71,2000,1,0,0,2083,0,0,1,1,0,0,0,0,1
1,000062,10,20,7,14_11,member_to_leader,72,10000,4,1,0,10089,6,0,1,1,1,0,0,1,0
1,000062,11,7,21,14_11,leader_to_rsu,73,2000,1,0,0,2083,0,0,1,1,0,0,0,0,1
1,000062,12,1,8,14_3,member_to_leader,74,10000,3,0,0,12207,0,0,1,1,0,0,0,0,1
1,000062,13,8,21,14_3,leader_to_rsu,75,2000,1,0,0,2083,0,0,1,1,0,0,0,0,1
1,000062,14,4,12,18_7,member_to_leader,76,10000,3,0,0,12207,0,0,1,1,0,0,0,0,1
1,000062,15,12,21,18_7,leader_to_rsu,77,2000,1,0,0,2083,0,0,1,1,0,0,0,0,1
1,000062,16,8,21,15_4,leader_to_rsu,78,2000,1,0,0,2083,0,0,1,1,0,0,0,0,1
1,000062,17,10,21,12_4,leader_to_rsu,79,2000,1,0,0,2083,0,0,1,1,0,0,0,0,1
1,000062,18,12,4,17_5,member_to_leader,80,10000,3,0,0,12207,0,0,1,1,0,0,0,0,1
1,000062,19,4,21,17_5,leader_to_rsu,81,2000,1,0,0,2083,0,0,1,1,0,0,0,0,1
1,000062,20,8,1,15_3,member_to_leader,82,10000,3,0,0,12207,0,0,1,1,0,0,0,0,1
1,000062,21,1,21,15_3,leader_to_rsu,83,2000,1,0,0,2083,0,0,1,1,0,0,0,0,1
1,000062,22,12,21,16_7,leader_to_rsu,84,2000,1,0,0,2083,0,0,1,1,0,0,0,0,1
1,000062,23,7,21,14_9,leader_to_rsu,85,2000,1,0,0,2083,0,0,1,1,0,0,0,0,1
1,000062,24,20,16,12_10,member_to_leader,86,10000,4,1,0,10089,6,0,1,1,1,0,0,1,0
1,000062,25,16,21,12_10,leader_to_rsu,87,2000,1,0,0,2083,0,0,1,1,0,0,0,0,1
1,000062,26,7,21,14_10,leader_to_rsu,88,2000,1,0,0,2083,0,0,1,1,0,0,0,0,1
1,000062,27,10,21,12_5,leader_to_rsu,89,2000,1,0,0,2083,0,0,1,1,0,0,0,0,1
1,000062,28,4,21,15_6,leader_to_rsu,90,2000,1,0,0,2083,0,0,1,1,0,0,0,0,1
1,000062,29,9,10,11_5,member_to_leader,91,10000,4,1,0,10089,6,0,1,1,1,0,0,1,0
1,000062,30,10,21,11_5,leader_to_rsu,92,2000,1,0,0,2083,0,0,1,1,0,0,0,0,1
1,000062,31,7,20,13_9,member_to_leader,93,10000,4,0,0,10089,0,0,1,1,0,0,0,0,1
