frame_index,timestamp,request_id,source_node,target_node,area_id,upload_type,planned_bytes,rlc_tx_count,rlc_rx_count,rlc_drop_count,phy_schedule_count,pscch_ok_count,pscch_fail_count,pssch_ok_count,pssch_fail_count,harq_ack_count,harq_nack_count,harq_timeout_count,cam_received,terminal_state,slot_index,stage,scheduled_delay_ms,sc_start,sc_num
0,000060,39,4,21,15_8,leader_to_rsu,2000,5,5,0,0,0,0,5,0,0,0,0,0,rlc_rx_only,4,leader_to_rsu,50.000000,2,1
0,000060,40,12,21,16_4,leader_to_rsu,2000,6,6,0,0,0,0,6,0,0,0,0,1,application_received,4,leader_to_rsu,50.000000,3,1
0,000060,41,4,21,16_5,leader_to_rsu,2000,5,5,0,0,0,0,5,0,0,0,0,1,application_received,4,leader_to_rsu,50.000000,4,1
0,000060,42,12,21,16_7,leader_to_rsu,2000,5,5,0,0,0,0,5,0,0,0,0,1,application_received,4,leader_to_rsu,50.000000,5,1
0,000060,43,4,21,16_8,leader_to_rsu,2000,6,6,0,0,0,0,6,0,0,0,0,1,application_received,4,leader_to_rsu,50.000000,6,1
0,000060,44,12,21,17_5,leader_to_rsu,2000,5,5,0,0,0,0,5,0,0,0,0,1,application_received,4,leader_to_rsu,50.000000,7,1
0,000060,45,12,21,17_7,leader_to_rsu,2000,5,5,0,0,0,0,5,0,0,0,0,1,application_received,4,leader_to_rsu,50.000000,8,1
0,000060,46,12,21,18_7,leader_to_rsu,2000,7,7,0,0,0,0,7,0,0,0,0,1,application_received,4,leader_to_rsu,50.000000,9,1
1,000062,47,20,5,12_9,member_to_leader,13184,35,32,0,0,0,0,32,0,0,0,0,0,rlc_rx_only,0,member_to_leader,10.000000,0,1
1,000062,48,20,16,12_10,member_to_leader,12112,32,27,0,0,0,0,27,0,0,0,0,0,rlc_rx_only,0,member_to_leader,10.000000,1,1
1,000062,49,9,19,11_8,member_to_leader,6320,18,17,0,0,0,0,17,0,0,0,0,0,rlc_rx_only,0,member_to_leader,10.000000,2,1
1,000062,50,8,1,15_3,member_to_leader,4112,11,3,0,0,0,0,3,0,0,0,0,0,rlc_rx_only,0,member_to_leader,10.000000,3,1
1,000062,51,4,12,16_8,member_to_leader,3120,10,1,0,0,0,0,1,0,0,0,0,0,rlc_rx_only,0,member_to_leader,10.000000,4,1
1,000062,52,9,10,11_5,member_to_leader,3072,9,7,0,0,0,0,7,0,0,0,0,0,rlc_rx_only,0,member_to_leader,10.000000,5,1
