label,ap_03,ap_05,ap_07,aggregate_ap_scope,evaluated_samples,trace_rows,unique_timestamps,receiver_policy,inter_cluster_late_fusion,fusion_method,resource_allocation,clustering,upload_mode,grid_selection_mode,grid_score_mode,cluster_count_mode,payload_bytes,mbps,avg_comm_bytes_per_trace_row,avg_source_cavs,avg_selected_grids,log_path,trace_path,notes
RandomBudget,0.77,0.73,0.38,pooled evaluator over evaluated samples,41,246,41,all-cluster-heads,yes,early,selective_random,coalition_game,grid,,,6,31613424,61.68472975609755,128509.85,3.33,103.20,docs\doc_workspace\SGCP\artifacts\random_forced_3m117g_41f_stdout.log,docs\doc_workspace\SGCP\artifacts\random_forced_3m117g_41f_trace.csv,P3 SGCP-compatible scheduler comparison manifest
DensityGreedy,0.80,0.76,0.40,pooled evaluator over evaluated samples,41,246,41,all-cluster-heads,yes,early,selective_density,coalition_game,grid,,,6,37710864,73.58217365853659,153296.20,3.33,102.18,docs\doc_workspace\SGCP\artifacts\selective_high_budget_41f\density_m3_g117_stdout.log,docs\doc_workspace\SGCP\artifacts\selective_high_budget_41f\density_m3_g117_trace.csv,P3 SGCP-compatible scheduler comparison manifest
LinkAwareDensity,0.80,0.76,0.40,pooled evaluator over evaluated samples,41,246,41,all-cluster-heads,yes,early,selective_communication_aware,coalition_game,grid,,,6,37710864,73.58217365853659,153296.20,3.33,102.18,docs\doc_workspace\SGCP\artifacts\selective_high_budget_41f\communication_aware_m3_g117_stdout.log,docs\doc_workspace\SGCP\artifacts\selective_high_budget_41f\communication_aware_m3_g117_trace.csv,P3 SGCP-compatible scheduler comparison manifest
PACP_LiDAR,0.81,0.79,0.42,pooled evaluator over evaluated samples,41,246,41,all-cluster-heads,yes,early,selective_pacp_lidar,coalition_game,grid,,,6,44361424,86.55887609756095,180330.99,3.33,104.93,docs\doc_workspace\SGCP\artifacts\scheduler_comparison_20260719\pacp_lidar_3m117g_41f.log,docs\doc_workspace\SGCP\artifacts\scheduler_comparison_20260719\pacp_lidar_3m117g_41f_trace.csv,P3 SGCP-compatible scheduler comparison manifest
EdgeCooperHD,0.81,0.78,0.42,pooled evaluator over evaluated samples,41,246,41,all-cluster-heads,yes,early,selective_edgecooper_global_hd,coalition_game,grid,,,6,33519040,65.40300487804878,136256.26,3.00,89.02,docs\doc_workspace\SGCP\artifacts\repeat_check_20260718\edgecooper_hd_41f_r1.log,docs\doc_workspace\SGCP\artifacts\repeat_check_20260718\edgecooper_hd_41f_r1_trace.csv,P3 SGCP-compatible scheduler comparison manifest
SGCP_PAPG,0.81,0.78,0.39,pooled evaluator over evaluated samples,41,246,41,all-cluster-heads,yes,early,perception_aware_potential_game,coalition_game,grid,utility,utility,6,32049872,62.53633560975609,130284.03,2.67,97.22,docs\doc_workspace\SGCP\artifacts\repeat_check_20260718\papg_41f_r1.log,docs\doc_workspace\SGCP\artifacts\repeat_check_20260718\papg_41f_r1_trace.csv,P3 SGCP-compatible scheduler comparison manifest
