timestamp,area_id,source_id,target_id,upload_type,bytes,original_bytes,byte_source,raw_point_count,slice_point_count,slice_ratio,sc_start,sc_num,schedule_status,schedule_reason
000070,11_8,9,19,member_to_leader,6320,10000,raw_lidar_slice,5102,395,0.077421,2,1,scheduled,single_slot_capacity
000070,11_5,9,10,member_to_leader,3072,10000,raw_lidar_slice,5102,192,0.037632,3,1,scheduled,single_slot_capacity
000070,15_2,8,1,member_to_leader,2992,10000,raw_lidar_slice,5127,187,0.036474,4,1,scheduled,single_slot_capacity
000070,11_7,10,9,member_to_leader,2784,10000,raw_lidar_slice,5104,174,0.034091,5,1,scheduled,single_slot_capacity
000070,15_8,7,4,member_to_leader,2544,10000,raw_lidar_slice,5176,159,0.030719,6,1,scheduled,single_slot_capacity
000070,11_4,10,RSU,leader_to_rsu,2000,2000,fixed_original,,,,7,1,scheduled,single_slot_capacity
000070,11_5,10,RSU,leader_to_rsu,2000,2000,fixed_original,,,,8,1,scheduled,single_slot_capacity
000070,11_7,9,RSU,leader_to_rsu,2000,2000,fixed_original,,,,9,1,scheduled,single_slot_capacity
000072,12_9,20,5,member_to_leader,13184,10000,raw_lidar_slice,5179,824,0.159104,0,1,scheduled,single_slot_capacity
000072,12_11,16,20,member_to_leader,12000,10000,raw_lidar_slice,5236,750,0.143239,1,1,scheduled,single_slot_capacity
000072,16_8,12,4,member_to_leader,8400,10000,raw_lidar_slice,5227,525,0.100440,2,1,scheduled,single_slot_capacity
000072,11_8,9,19,member_to_leader,6320,10000,raw_lidar_slice,5102,395,0.077421,3,1,scheduled,single_slot_capacity
000072,15_3,8,1,member_to_leader,4112,10000,raw_lidar_slice,5126,257,0.050137,4,1,scheduled,single_slot_capacity
000072,11_5,9,10,member_to_leader,3040,10000,raw_lidar_slice,5102,190,0.037240,5,1,scheduled,single_slot_capacity
000072,11_7,10,9,member_to_leader,2992,10000,raw_lidar_slice,5101,187,0.036659,6,1,scheduled,single_slot_capacity
000072,11_4,10,RSU,leader_to_rsu,2000,2000,fixed_original,,,,7,1,scheduled,single_slot_capacity
000072,11_5,10,RSU,leader_to_rsu,2000,2000,fixed_original,,,,8,1,scheduled,single_slot_capacity
000072,11_7,9,RSU,leader_to_rsu,2000,2000,fixed_original,,,,9,1,scheduled,single_slot_capacity
000074,12_9,20,5,member_to_leader,13184,10000,raw_lidar_slice,5179,824,0.159104,0,1,scheduled,single_slot_capacity
000074,11_8,9,19,member_to_leader,6320,10000,raw_lidar_slice,5101,395,0.077436,1,1,scheduled,single_slot_capacity
000074,15_3,8,1,member_to_leader,4112,10000,raw_lidar_slice,5125,257,0.050146,2,1,scheduled,single_slot_capacity
000074,11_7,10,9,member_to_leader,3152,10000,raw_lidar_slice,5112,197,0.038537,3,1,scheduled,single_slot_capacity
000074,11_5,9,10,member_to_leader,3072,10000,raw_lidar_slice,5101,192,0.037640,4,1,scheduled,single_slot_capacity
000074,15_2,8,1,member_to_leader,2992,10000,raw_lidar_slice,5125,187,0.036488,5,1,scheduled,single_slot_capacity
000074,15_8,7,4,member_to_leader,2928,10000,raw_lidar_slice,5172,183,0.035383,6,1,scheduled,single_slot_capacity
000074,11_4,10,RSU,leader_to_rsu,2000,2000,fixed_original,,,,7,1,scheduled,single_slot_capacity
000074,11_5,10,RSU,leader_to_rsu,2000,2000,fixed_original,,,,8,1,scheduled,single_slot_capacity
000074,11_7,9,RSU,leader_to_rsu,2000,2000,fixed_original,,,,9,1,scheduled,single_slot_capacity
