line_no,channel,status,tx_rnti,dst_l2_id,harq_id,tb_size,tbler,sinr_avg,sinr_min,reason,frame,subframe,slot
2034,PSSCH,OK,14,17,3,400,0,-nan,100000000000.0,,,,
2105,PSSCH,OK,21,3,4,355,0,-nan,100000000000.0,,,,
2107,PSSCH,OK,14,9,4,400,0,-nan,100000000000.0,,,,
2109,PSSCH,OK,5,16,4,400,0,-nan,100000000000.0,,,,
2180,PSSCH,OK,21,12,5,400,0,-nan,100000000000.0,,,,
2182,PSSCH,OK,5,16,5,400,0,-nan,100000000000.0,,,,
2184,PSSCH,OK,14,17,5,400,0,-nan,100000000000.0,,,,
2255,PSSCH,OK,14,9,6,400,0,-nan,100000000000.0,,,,
2257,PSSCH,OK,21,12,6,400,0,-nan,100000000000.0,,,,
2259,PSSCH,OK,5,16,6,400,0,-nan,100000000000.0,,,,
2330,PSSCH,OK,21,12,7,400,0,-nan,100000000000.0,,,,
2332,PSSCH,OK,5,16,7,400,0,-nan,100000000000.0,,,,
2334,PSSCH,OK,14,17,7,400,0,-nan,100000000000.0,,,,
2407,PSSCH,OK,14,9,8,400,0,-nan,100000000000.0,,,,
2409,PSSCH,OK,21,12,8,400,0,-nan,100000000000.0,,,,
2411,PSSCH,OK,5,16,8,400,0,-nan,100000000000.0,,,,
2482,PSSCH,OK,21,12,9,400,0,-nan,100000000000.0,,,,
2484,PSSCH,OK,5,16,9,400,0,-nan,100000000000.0,,,,
2486,PSSCH,OK,14,17,9,400,0,-nan,100000000000.0,,,,
2568,PSSCH,OK,14,9,10,400,0,-nan,100000000000.0,,,,
2570,PSSCH,OK,21,12,10,400,0,-nan,100000000000.0,,,,
2572,PSSCH,OK,5,16,10,400,0,-nan,100000000000.0,,,,
2657,PSSCH,OK,20,2,8,16,0,-nan,100000000000.0,,,,
2659,PSSCH,OK,21,12,11,400,0,-nan,100000000000.0,,,,
2661,PSSCH,OK,5,16,11,400,0,-nan,100000000000.0,,,,
2663,PSSCH,OK,14,17,11,400,0,-nan,100000000000.0,,,,
2740,PSSCH,OK,14,9,12,400,0,-nan,100000000000.0,,,,
2742,PSSCH,OK,21,12,12,400,0,-nan,100000000000.0,,,,
2744,PSSCH,OK,5,16,12,400,0,-nan,100000000000.0,,,,
2815,PSSCH,OK,21,12,13,400,0,-nan,100000000000.0,,,,
2817,PSSCH,OK,5,16,13,400,0,-nan,100000000000.0,,,,
2819,PSSCH,OK,14,17,13,400,0,-nan,100000000000.0,,,,
2900,PSSCH,OK,3,1,11,22,0,-nan,100000000000.0,,,,
2902,PSSCH,OK,14,9,14,400,0,-nan,100000000000.0,,,,
2904,PSSCH,OK,21,12,14,3,0,-nan,100000000000.0,,,,
2906,PSSCH,OK,5,16,14,400,0,-nan,100000000000.0,,,,
2963,PSSCH,OK,5,16,15,400,0,-nan,100000000000.0,,,,
2965,PSSCH,OK,14,17,15,400,0,-nan,100000000000.0,,,,
3011,PSSCH,OK,14,9,0,400,0,-nan,100000000000.0,,,,
3013,PSSCH,OK,5,16,0,38,0,-nan,100000000000.0,,,,
3041,PSSCH,OK,14,17,1,400,0,-nan,100000000000.0,,,,
3074,PSSCH,OK,14,9,2,400,0,-nan,100000000000.0,,,,
3119,PSSCH,OK,21,1,15,12,0.0005,-nan,100000000000.0,,,,
3121,PSSCH,OK,14,17,3,400,0,-nan,100000000000.0,,,,
3154,PSSCH,OK,14,9,4,400,0,-nan,100000000000.0,,,,
3181,PSSCH,OK,14,17,5,400,0,-nan,100000000000.0,,,,
3214,PSSCH,OK,14,9,6,400,0,-nan,100000000000.0,,,,
3259,PSSCH,OK,21,3,0,16,0,-nan,100000000000.0,,,,
3261,PSSCH,OK,14,17,7,400,0,-nan,100000000000.0,,,,
3289,PSSCH,OK,14,9,8,400,0,-nan,100000000000.0,,,,
3316,PSSCH,OK,14,17,9,400,0,-nan,100000000000.0,,,,
3343,PSSCH,OK,14,9,10,400,0,-nan,100000000000.0,,,,
3370,PSSCH,OK,14,17,11,400,0,-nan,100000000000.0,,,,
3397,PSSCH,OK,14,9,12,400,0,-nan,100000000000.0,,,,
