frame_index,timestamp,planned_requests,observed_cam_received,bridge_observed_delivery_ratio,planned_bytes,observed_bytes,avg_delay_ms,p95_delay_ms,max_delay_ms
0,000060,10,9,0.9,56432,53360,22.0,42.0,42.0
1,000062,10,9,0.9,50912,47840,21.0,43.0,43.0
2,000064,10,6,0.6,39648,28496,18.833333333333332,28.0,28.0
