upload_type,planned_requests,observed_cam_received,bridge_observed_delivery_ratio,planned_bytes,observed_bytes,avg_delay_ms,p95_delay_ms,max_delay_ms
leader_to_rsu,9,9,1.0,18000,18000,13.222222222222221,19.0,19.0
member_to_leader,21,15,0.7142857142857143,128992,111696,25.4,42.0,43.0
