scenario_id,timestamp,method,budget,planned_areas,selected_agents,non_ego_agents,non_ego_count,area_agent_rows,slice_points,slice_bytes
2026_07_15_02_33_21,000060,full,5,23,1;10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,19,437,24119,385904
2026_07_15_02_33_21,000060,random,5,23,1;11;12;15;9,11;12;15;9,4,92,4979,79664
2026_07_15_02_33_21,000060,confidence_topk,5,23,1;12;4;13;10,12;4;13;10,4,92,6403,102448
2026_07_15_02_33_21,000060,comm_aware_topk,5,23,1;4;12;11;10,4;12;11;10,4,92,7897,126352
2026_07_15_02_33_21,000060,area_aware_union,5,23,1;12;10;20;11,12;10;20;11,4,92,8510,136160
2026_07_15_02_33_21,000060,full,10,23,1;10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,19,437,24119,385904
2026_07_15_02_33_21,000060,random,10,23,1;8;13;2;9;14;11;7;12;19,8;13;2;9;14;11;7;12;19,9,207,12554,200864
2026_07_15_02_33_21,000060,confidence_topk,10,23,1;12;4;13;10;7;20;9;16;11,12;4;13;10;7;20;9;16;11,9,207,15378,246048
2026_07_15_02_33_21,000060,comm_aware_topk,10,23,1;4;12;11;10;13;7;9;20;8,4;12;11;10;13;7;9;20;8,9,207,17706,283296
2026_07_15_02_33_21,000060,area_aware_union,10,23,1;12;10;20;11;13;7;14;8;4,12;10;20;11;13;7;14;8;4,9,207,16466,263456
2026_07_15_02_33_21,000062,full,5,23,1;10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,19,437,24151,386416
2026_07_15_02_33_21,000062,random,5,23,1;7;15;14;2,7;15;14;2,4,92,3614,57824
2026_07_15_02_33_21,000062,confidence_topk,5,23,1;12;4;13;10,12;4;13;10,4,92,6185,98960
2026_07_15_02_33_21,000062,comm_aware_topk,5,23,1;4;12;11;10,4;12;11;10,4,92,7726,123616
2026_07_15_02_33_21,000062,area_aware_union,5,23,1;12;10;20;11,12;10;20;11,4,92,8377,134032
2026_07_15_02_33_21,000062,full,10,23,1;10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,19,437,24151,386416
2026_07_15_02_33_21,000062,random,10,23,1;9;12;16;19;15;17;18;3;2,9;12;16;19;15;17;18;3;2,9,207,6071,97136
2026_07_15_02_33_21,000062,confidence_topk,10,23,1;12;4;13;10;20;7;9;16;11,12;4;13;10;20;7;9;16;11,9,207,15146,242336
