variant,checkpoint,late_fusion,clustering,resource_allocation,ap_03,ap_05,ap_07,mbps,payload_bytes,evaluated_samples,trace_rows,receiver_policy,num_channels,bandwidth_mhz,communication_deadline_ms,channel_estimator,ns3_tb_size_bytes,ns3_slot_duration_ms,ns3_subchannel_prbs,ns3_symbols_per_slot,ns3_mcs,traffic_type,interpretation,log_path,trace_path,raw_lidar_mbps,box_mbps,total_mbps,box_sharing_mode,notes
Singleton pure late reference,attentive,prediction_nms,singleton,local_detection,0.82,0.76,0.37,0.739122,0,41,820,all-cluster-heads,10,40.0,60.0,ns3,899,0.5,10,12,28,box/prediction overhead,Prediction-sharing reference; not a raw-LiDAR clustering baseline.,docs\doc_workspace\SGCP\artifacts\table2_current_protocol_20260722\pure_late_41f.log,docs\doc_workspace\SGCP\artifacts\table2_current_protocol_20260722\pure_late_41f_trace.csv,0.000000,0.739122,0.739122,broadcast_boxes,P12 current-protocol Table5 diagnostic; 40MHz/10ch/60ms NS3-calibrated estimator. Not paper-facing final until the strict-budget PAPG operating point/narrative is resolved.
Random balanced clusters,attentive,inter_cluster_nms,random_balanced,perception_aware_potential_game,0.52,0.47,0.24,31.156574,15805248,41,205,all-cluster-heads,10,40.0,60.0,ns3,899,0.5,10,12,28,raw LiDAR + box,"Deterministic random balanced clusters; same PAPG and late fusion as SGCP, replacing only clustering.",docs\doc_workspace\SGCP\artifacts\table5_current_protocol_20260722\random_balanced_41f.log,docs\doc_workspace\SGCP\artifacts\table5_current_protocol_20260722\random_balanced_41f_trace.csv,30.839508,0.317065,31.156574,broadcast_boxes,P12 current-protocol Table5 diagnostic; 40MHz/10ch/60ms NS3-calibrated estimator. Not paper-facing final until the strict-budget PAPG operating point/narrative is resolved.
Distance-greedy clusters,attentive,inter_cluster_nms,distance_greedy,perception_aware_potential_game,0.55,0.53,0.31,31.246798,15868400,41,205,all-cluster-heads,10,40.0,60.0,ns3,899,0.5,10,12,28,raw LiDAR + box,"Proximity/communication-style greedy clusters; same PAPG and late fusion as SGCP, replacing only clustering.",docs\doc_workspace\SGCP\artifacts\table5_current_protocol_20260722\distance_greedy_41f.log,docs\doc_workspace\SGCP\artifacts\table5_current_protocol_20260722\distance_greedy_41f_trace.csv,30.962732,0.284066,31.246798,broadcast_boxes,P12 current-protocol Table5 diagnostic; 40MHz/10ch/60ms NS3-calibrated estimator. Not paper-facing final until the strict-budget PAPG operating point/narrative is resolved.
Mobility-stability greedy clusters,attentive,inter_cluster_nms,mobility_stability_greedy,perception_aware_potential_game,0.60,0.54,0.27,31.221011,15818480,41,205,all-cluster-heads,10,40.0,60.0,ns3,899,0.5,10,12,28,raw LiDAR + box,"MASS/C-MASS-inspired mobility-aware grouping; same PAPG and late fusion as SGCP, replacing only clustering.",docs\doc_workspace\SGCP\artifacts\table5_current_protocol_20260722\mobility_stability_greedy_41f.log,docs\doc_workspace\SGCP\artifacts\table5_current_protocol_20260722\mobility_stability_greedy_41f_trace.csv,30.865327,0.355684,31.221011,broadcast_boxes,P12 current-protocol Table5 diagnostic; 40MHz/10ch/60ms NS3-calibrated estimator. Not paper-facing final until the strict-budget PAPG operating point/narrative is resolved.
Density/quality-greedy clusters,attentive,inter_cluster_nms,density_greedy_cluster,perception_aware_potential_game,0.62,0.56,0.36,31.239024,15826000,41,205,all-cluster-heads,10,40.0,60.0,ns3,899,0.5,10,12,28,raw LiDAR + box,"Sensing-density greedy clusters; same PAPG and late fusion as SGCP, replacing only clustering.",docs\doc_workspace\SGCP\artifacts\table5_current_protocol_20260722\density_greedy_cluster_41f.log,docs\doc_workspace\SGCP\artifacts\table5_current_protocol_20260722\density_greedy_cluster_41f_trace.csv,30.880000,0.359024,31.239024,broadcast_boxes,P12 current-protocol Table5 diagnostic; 40MHz/10ch/60ms NS3-calibrated estimator. Not paper-facing final until the strict-budget PAPG operating point/narrative is resolved.
Fixed first-frame clusters,attentive,inter_cluster_nms,fixed_first_frame,perception_aware_potential_game,0.63,0.56,0.22,37.105701,18837280,41,246,all-cluster-heads,10,40.0,60.0,ns3,899,0.5,10,12,28,raw LiDAR + box,Same PAPG and late fusion as SGCP but cluster membership frozen from the first frame.,docs\doc_workspace\SGCP\artifacts\table5_current_protocol_20260722\fixed_first_frame_41f.log,docs\doc_workspace\SGCP\artifacts\table5_current_protocol_20260722\fixed_first_frame_41f_trace.csv,36.755668,0.350033,37.105701,broadcast_boxes,P12 current-protocol Table5 diagnostic; 40MHz/10ch/60ms NS3-calibrated estimator. Not paper-facing final until the strict-budget PAPG operating point/narrative is resolved.
Dynamic coalition clusters (SGCP),attentive,inter_cluster_nms,coalition_game,perception_aware_potential_game,0.64,0.60,0.25,37.045885,18802688,41,246,all-cluster-heads,10,40.0,60.0,ns3,899,0.5,10,12,28,raw LiDAR + box,Proposed dynamic coalition formation plus PAPG scheduling and inter-cluster NMS under strict current protocol.,docs\doc_workspace\SGCP\artifacts\table3_current_protocol_20260722\papg_41f.log,docs\doc_workspace\SGCP\artifacts\table3_current_protocol_20260722\papg_41f_trace.csv,36.688172,0.357713,37.045885,broadcast_boxes,P12 current-protocol Table5 diagnostic; 40MHz/10ch/60ms NS3-calibrated estimator. Not paper-facing final until the strict-budget PAPG operating point/narrative is resolved.
All-in-one full raw sharing,attentive,identity_single_cluster,all_in_one,full_cluster,0.85,0.83,0.48,118.709323,60838528,41,41,all-cluster-heads,10,40.0,60.0,ns3,899,0.5,10,12,28,raw LiDAR + box,No clustering; full 20-CAV raw-sharing upper reference.,docs\doc_workspace\SGCP\artifacts\table2_current_protocol_20260722\one_cluster_full_early_41f.log,docs\doc_workspace\SGCP\artifacts\table2_current_protocol_20260722\one_cluster_full_early_41f_trace.csv,118.709323,0.000000,118.709323,none,P12 current-protocol Table5 diagnostic; 40MHz/10ch/60ms NS3-calibrated estimator. Not paper-facing final until the strict-budget PAPG operating point/narrative is resolved.
