upload_type,planned_requests,observed_cam_received,bridge_observed_delivery_ratio,planned_bytes,observed_bytes,avg_delay_ms,p95_delay_ms,max_delay_ms
leader_to_rsu,440,17,0.038636363636363635,880000,34000,75.47058823529412,115.0,211.0
member_to_leader,236,14,0.059322033898305086,2360000,140000,151.14285714285714,209.0,209.0
