stage,scope,frames,rows_or_areas,bytes_per_frame,mean_bytes_per_area,ratio_vs_raw_member_area23,ratio_vs_comm_aware_area23_slice,coverage_ratio,sample_ratio,head_score_max,pred_boxes,ap_05,ap_07,paper_safe_use,source
raw_member_area_slice,area23_11f_mean,11,23.000000,47985.454545,,1.000000,0.189568,,,,,,,baseline raw member-upload byte reference,docs/doc_workspace/LGCP/experiments/hierarchy_plan/20260718_lgcp_carla_feature_slice_area23_11f/feature_slice_summary.csv
flat_comm_aware_area_slice,area23_11f_mean,11,10_agents_on_23_areas,253130.181818,,5.275144,1.000000,,,,,,,strong flat area-slice byte reference,docs/doc_workspace/LGCP/experiments/ablation/20260718_lgcp_local_to_global_ablation_alignment/unified_area_slice_accounting_summary.csv
pointpillar_feature_crop,top23_1f,1,23,810688.000000,35247.304348,16.894453,3.202652,,,,,,,feature crop feasibility and unoptimized byte proxy,docs/doc_workspace/LGCP/experiments/hierarchy_plan/20260718_lgcp_pointpillar_feature_slice_export_area23_1f/feature_slice_summary.csv
leader_scatter_fusion,top23_1f,1,23,936298.000000,40708.608696,19.512121,3.698879,,,,,,,leader-local deterministic feature fusion smoke,docs/doc_workspace/LGCP/experiments/hierarchy_plan/20260718_lgcp_pointpillar_leader_feature_fusion_area23_1f/leader_feature_summary.csv
rsu_index_canvas,top23_1f,1,23,82974.000000,,1.729149,0.327792,0.033161,,,,,,RSU canvas interface smoke; not coordinate-valid AP,docs/doc_workspace/LGCP/experiments/hierarchy_plan/20260718_lgcp_pointpillar_rsu_feature_assembly_area23_1f/rsu_feature_summary.csv
coordinate_warp_nearest,top23_1f_ref1,1,23,110883.000000,,2.310763,0.438047,0.060724,1.000000,0.893363,30,0.010000,0.000000,negative AP boundary for uncalibrated nearest warp,docs/doc_workspace/LGCP/experiments/hierarchy_plan/20260718_lgcp_pointpillar_coordinate_warp_ap_probe_area23_1f_ref1/warp_ap_summary.csv
coordinate_warp_bilinear,top23_1f_ref1,1,23,149700.000000,,3.119695,0.591395,0.060625,0.998363,0.815208,29,0.011364,0.003472,negative AP boundary for uncalibrated bilinear warp,docs/doc_workspace/LGCP/experiments/hierarchy_plan/20260718_lgcp_pointpillar_coordinate_warp_bilinear_ap_probe_area23_1f_ref1/warp_ap_summary.csv
