rho_th,communication_deadline_ms,ap_03,ap_05,ap_07,trace_rows,unique_timestamps,raw_mbps,avg_source_cavs,avg_selected_grids,max_link_time_ms,log_path,trace_path
0.5,,0.84,0.79,0.56,284,41,52.538318048780475,1.0,31.52112676056338,99.99555061179089,C:\Workspace\2026-7-papers\infocom\SGCP\experiment-0729-dense-ver\sgcp_40mhz_budget120_nmax5_rho0p5_41f\run.out,C:\Workspace\2026-7-papers\infocom\SGCP\experiment-0729-dense-ver\sgcp_40mhz_budget120_nmax5_rho0p5_41f\trace.csv
1,,0.85,0.8,0.59,279,41,67.51372487804878,1.0,30.870967741935484,99.99555061179089,C:\Workspace\2026-7-papers\infocom\SGCP\experiment-0729-dense-ver\sgcp_40mhz_budget120_nmax5_rho1_41f\run.out,C:\Workspace\2026-7-papers\infocom\SGCP\experiment-0729-dense-ver\sgcp_40mhz_budget120_nmax5_rho1_41f\trace.csv
2,,0.84,0.79,0.57,272,41,73.36101463414633,1.0,28.33823529411765,99.99555061179089,C:\Workspace\2026-7-papers\infocom\SGCP\experiment-0729-dense-ver\sgcp_40mhz_budget120_nmax5_rho2_41f\run.out,C:\Workspace\2026-7-papers\infocom\SGCP\experiment-0729-dense-ver\sgcp_40mhz_budget120_nmax5_rho2_41f\trace.csv
3,,0.85,0.8,0.57,272,41,77.59884487804878,1.0,21.952205882352942,99.99555061179089,C:\Workspace\2026-7-papers\infocom\SGCP\experiment-0729-dense-ver\sgcp_40mhz_budget120_nmax5_rho3_41f\run.out,C:\Workspace\2026-7-papers\infocom\SGCP\experiment-0729-dense-ver\sgcp_40mhz_budget120_nmax5_rho3_41f\trace.csv
5,,0.83,0.77,0.56,272,41,81.02462439024389,1.0,14.419117647058824,99.99555061179089,C:\Workspace\2026-7-papers\infocom\SGCP\experiment-0729-dense-ver\sgcp_40mhz_budget120_nmax5_rho5_41f\run.out,C:\Workspace\2026-7-papers\infocom\SGCP\experiment-0729-dense-ver\sgcp_40mhz_budget120_nmax5_rho5_41f\trace.csv
