scenario_id,timestamp,receiver_id,receiver_policy,resource_allocation,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,selective_frame_deadline_ms,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,frame_comm_time_ms,num_channels,bandwidth_mhz,communication_deadline_ms,channel_estimator,ns3_tb_size_bytes,ns3_slot_duration_ms,ns3_subchannel_prbs,ns3_symbols_per_slot,ns3_mcs,pcs_rounds_requested,pcs_rounds_accepted,pcs_round_comm_time_ms_json,pcs_round_comm_bytes_json,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_15_01_26_56,000066,1,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,60.0,1;2;8;11,1;11,11,"{""11"": 39}","{""1"": 4922, ""11"": 4563}",73008,4.060511679644049,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,11,16,30,
2026_07_15_01_26_56,000066,12,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,60.0,4;7;12,12;8,8,"{""8"": 53}","{""8"": 4802, ""12"": 4884}",76832,4.273192436040045,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,8,6,33,
2026_07_15_01_26_56,000066,15,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,60.0,6;15,15;6,6,"{""6"": 57}","{""6"": 4507, ""15"": 4740}",72112,4.010678531701891,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,6,12,17,
2026_07_15_01_26_56,000066,16,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,60.0,5;16;20,16;5,5,"{""5"": 39}","{""5"": 4519, ""16"": 4854}",72304,4.021357063403782,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,5,6,28,
2026_07_15_01_26_56,000066,17,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,60.0,3;14;17;18,17;18,18,"{""18"": 53}","{""17"": 4984, ""18"": 4977}",79632,4.428921023359289,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,18,0,10,
2026_07_15_01_26_56,000066,19,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,60.0,9;10;13;19,19;10,10,"{""10"": 39}","{""10"": 4877, ""19"": 4818}",78032,4.339933259176863,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,10,6,32,
2026_07_15_01_26_56,000068,1,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,60.0,1;2;8;11,1;8,8,"{""8"": 39}","{""1"": 4924, ""8"": 4351}",69616,3.871857619577308,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,8,10,31,
2026_07_15_01_26_56,000068,4,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,60.0,4;9;12,4;12,12,"{""12"": 53}","{""4"": 4848, ""12"": 2293}",36688,2.040489432703003,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,12,11,35,
2026_07_15_01_26_56,000068,13,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,60.0,10;13;14;19,13;9,9,"{""9"": 39}","{""9"": 3771, ""13"": 4795}",60336,3.3557285873192435,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,9,4,26,
2026_07_15_01_26_56,000068,15,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,60.0,6;15,15;6,6,"{""6"": 59}","{""6"": 4514, ""15"": 4743}",72224,4.016907675194661,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,6,12,16,
