scenario_id,timestamp,receiver_id,receiver_policy,resource_allocation,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,selective_frame_deadline_ms,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,frame_comm_time_ms,num_channels,bandwidth_mhz,communication_deadline_ms,channel_estimator,ns3_tb_size_bytes,ns3_slot_duration_ms,ns3_subchannel_prbs,ns3_symbols_per_slot,ns3_mcs,pcs_rounds_requested,pcs_rounds_accepted,pcs_round_comm_time_ms_json,pcs_round_comm_bytes_json,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_15_01_26_56,000064,17,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,60.0,3;14;17;18,17;18;3;14,18;3;14,"{""3"": 39, ""14"": 39, ""18"": 39}","{""3"": 2743, ""14"": 2504, ""17"": 4966, ""18"": 4706}",159248,8.856952169076752,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,18;3;14,3,16,
2026_07_15_01_26_56,000064,19,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,60.0,9;10;13;19,19;9;10;13,9;10;13,"{""9"": 39, ""10"": 39, ""13"": 39}","{""9"": 3832, ""10"": 3986, ""13"": 3441, ""19"": 4819}",180144,10.019132369299221,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,9;10;13,7,36,
2026_07_15_01_26_56,000066,1,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,60.0,1;2;8;11,1;8;11;2,8;11;2,"{""2"": 39, ""8"": 39, ""11"": 39}","{""1"": 4922, ""2"": 3935, ""8"": 4161, ""11"": 2750}",173536,9.651612903225807,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,8;11;2,20,47,
2026_07_15_01_26_56,000066,12,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,60.0,4;7;12,12;7;4,7;4,"{""4"": 57, ""7"": 55}","{""4"": 3279, ""7"": 4864, ""12"": 4884}",130288,7.246273637374862,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,7;4,12,42,
2026_07_15_01_26_56,000066,15,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,60.0,6;15,15;6,6,"{""6"": 57}","{""6"": 4507, ""15"": 4740}",72112,4.010678531701891,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,6,12,17,
2026_07_15_01_26_56,000066,16,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,60.0,5;16;20,16;5;20,5;20,"{""5"": 49, ""20"": 48}","{""5"": 4532, ""16"": 4854, ""20"": 3146}",122848,6.832480533926585,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,5;20,10,29,
2026_07_15_01_26_56,000066,17,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,60.0,3;14;17;18,17;18;14;3,18;14;3,"{""3"": 39, ""14"": 39, ""18"": 39}","{""3"": 1543, ""14"": 3183, ""17"": 4984, ""18"": 4637}",149808,8.331924360400444,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,18;14;3,0,16,
2026_07_15_01_26_56,000066,19,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,60.0,9;10;13;19,19;10;13;9,10;13;9,"{""9"": 39, ""10"": 39, ""13"": 39}","{""9"": 2209, ""10"": 4164, ""13"": 2734, ""19"": 4818}",145712,8.104115684093436,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,10;13;9,3,37,
2026_07_15_01_26_56,000068,1,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,60.0,1;2;8;11,1;2;11;8,2;11;8,"{""2"": 39, ""8"": 39, ""11"": 39}","{""1"": 4924, ""2"": 3822, ""8"": 773, ""11"": 3167}",124192,6.9072302558398215,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,2;11;8,20,46,
2026_07_15_01_26_56,000068,4,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,60.0,4;9;12,4;9;12,9;12,"{""9"": 50, ""12"": 53}","{""4"": 4848, ""9"": 4856, ""12"": 2293}",114384,6.361735261401557,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,9;12,11,43,
