delta_g,instances,mean_relative_gap,median_relative_gap,p90_relative_gap,max_relative_gap,mean_absolute_gap
0.050000,11,0.128788,0.000000,0.250000,0.666667,0.454545
0.075000,11,0.022727,0.000000,0.000000,0.250000,0.090909
0.100000,11,0.022727,0.000000,0.000000,0.250000,0.090909
0.125000,11,0.022727,0.000000,0.000000,0.250000,0.090909
