upload_type,planned_byte_bin,planned_requests,planned_bytes,requests_with_rlc_tx,requests_with_rlc_rx,requests_with_pssch_ok,requests_with_pssch_fail,requests_with_cam_received,rlc_rx_ratio,pssch_ok_ratio,cam_received_ratio
leader_to_rsu,2000-4000,90,180000,90,84,84,0,39,0.933333,0.933333,0.433333
member_to_leader,0-1000,7,4944,5,4,4,0,0,0.571429,0.571429,0.000000
member_to_leader,1000-2000,9,15392,7,4,4,0,1,0.444444,0.444444,0.111111
member_to_leader,2000-4000,21,55200,19,8,8,0,1,0.380952,0.380952,0.047619
member_to_leader,4000-8000,4,23072,4,4,4,0,1,1.000000,1.000000,0.250000
member_to_leader,8000-16000,6,73792,5,5,5,0,2,0.833333,0.833333,0.333333
