stage,planned_requests,planned_bytes,requests_with_rlc_tx,requests_with_rlc_rx,requests_with_pssch_ok,requests_with_pssch_fail,requests_with_cam_received,rlc_rx_ratio,pssch_ok_ratio,cam_received_ratio
leader_to_rsu,90,180000,90,84,84,0,39,0.933333,0.933333,0.433333
member_to_leader,47,172400,40,25,25,0,5,0.531915,0.531915,0.106383
