timestamp,sample_seed,agent_count,area_count,group_count,delta_g,total_group_load,greedy_max_load,optimal_max_load,absolute_gap,relative_gap,greedy_loads,optimal_loads,greedy_assignments,optimal_assignments
000078,23,5,3,3,0.050000,4,4,2,2.000000,1.000000,-1:4;11:0;20:0;7:0;9:0,-1:2;11:0;20:0;7:0;9:2,11_9:-1;13_7:-1;9_3:-1,11_9:-1;13_7:-1;9_3:9
000078,23,5,3,3,0.075000,4,4,2,2.000000,1.000000,-1:4;11:0;20:0;7:0;9:0,-1:2;11:0;20:0;7:0;9:2,11_9:-1;13_7:-1;9_3:-1,11_9:-1;13_7:-1;9_3:9
000078,23,5,3,3,0.100000,3,3,3,0.000000,0.000000,-1:3;11:0;20:0;7:0;9:0,-1:3;11:0;20:0;7:0;9:0,11_9:-1;13_7:-1;9_3:-1,11_9:-1;13_7:-1;9_3:-1
000078,23,5,3,3,0.125000,3,3,3,0.000000,0.000000,-1:3;11:0;20:0;7:0;9:0,-1:3;11:0;20:0;7:0;9:0,11_9:-1;13_7:-1;9_3:-1,11_9:-1;13_7:-1;9_3:-1
000078,37,5,3,3,0.050000,3,3,3,0.000000,0.000000,11:0;13:0;20:3;4:0;7:0,11:0;13:0;20:3;4:0;7:0,11_10:20;11_9:20;13_7:20,11_10:20;11_9:20;13_7:20
000078,37,5,3,3,0.075000,3,3,3,0.000000,0.000000,11:0;13:0;20:3;4:0;7:0,11:0;13:0;20:3;4:0;7:0,11_10:20;11_9:20;13_7:20,11_10:20;11_9:20;13_7:20
000078,37,5,3,3,0.100000,3,3,3,0.000000,0.000000,11:0;13:0;20:3;4:0;7:0,11:0;13:0;20:3;4:0;7:0,11_10:20;11_9:20;13_7:20,11_10:20;11_9:20;13_7:20
000078,37,5,3,3,0.125000,3,3,3,0.000000,0.000000,11:0;13:0;20:3;4:0;7:0,11:0;13:0;20:3;4:0;7:0,11_10:20;11_9:20;13_7:20,11_10:20;11_9:20;13_7:20
000080,7,5,3,3,0.050000,3,2,2,0.000000,0.000000,-1:2;13:1;20:0;7:0;9:0,-1:2;13:1;20:0;7:0;9:0,11_0:-1;13_5:-1;9_3:13,11_0:-1;13_5:-1;9_3:13
000080,7,5,3,3,0.075000,3,2,2,0.000000,0.000000,-1:2;13:1;20:0;7:0;9:0,-1:2;13:1;20:0;7:0;9:0,11_0:-1;13_5:-1;9_3:13,11_0:-1;13_5:-1;9_3:13
