timestamp,sample_seed,agent_count,area_count,delta_g,objective,greedy_value,optimal_value,absolute_gap,relative_gap,greedy_mean_conf,optimal_mean_conf,greedy_packet_count,optimal_packet_count,greedy_max_load,optimal_max_load,candidate_combinations
000064,11,5,3,0.100000,O3_confidence_latency_ratio,0.651341,0.688823,0.037482,0.054414,0.944444,0.964352,3,4,3,2,15625
000064,11,5,3,0.125000,O3_confidence_latency_ratio,0.651341,0.688823,0.037482,0.054414,0.944444,0.964352,3,4,3,2,15625
000064,23,5,3,0.050000,O3_confidence_latency_ratio,0.546751,0.673333,0.126583,0.187994,0.929476,0.841667,6,3,4,1,15625
000064,23,5,3,0.075000,O3_confidence_latency_ratio,0.587077,0.673333,0.086256,0.128103,0.909970,0.841667,5,3,3,1,15625
000064,23,5,3,0.100000,O3_confidence_latency_ratio,0.630407,0.673333,0.042927,0.063752,0.882569,0.841667,4,3,2,1,15625
000064,23,5,3,0.125000,O3_confidence_latency_ratio,0.673333,0.673333,0.000000,0.000000,0.841667,0.841667,3,3,1,1,15625
000064,37,5,3,0.050000,O3_confidence_latency_ratio,0.689655,0.740741,0.051086,0.068966,1.000000,1.000000,3,3,3,2,15625
000064,37,5,3,0.075000,O3_confidence_latency_ratio,0.689655,0.740741,0.051086,0.068966,1.000000,1.000000,3,3,3,2,15625
000064,37,5,3,0.100000,O3_confidence_latency_ratio,0.689655,0.740741,0.051086,0.068966,1.000000,1.000000,3,3,3,2,15625
000064,37,5,3,0.125000,O3_confidence_latency_ratio,0.689655,0.740741,0.051086,0.068966,1.000000,1.000000,3,3,3,2,15625
000066,7,5,3,0.050000,O3_confidence_latency_ratio,0.699157,0.709877,0.010720,0.015101,0.978819,0.958333,4,3,2,2,15625
000066,7,5,3,0.075000,O3_confidence_latency_ratio,0.709877,0.709877,0.000000,0.000000,0.958333,0.958333,3,3,2,2,15625
000066,7,5,3,0.100000,O3_confidence_latency_ratio,0.709877,0.709877,0.000000,0.000000,0.958333,0.958333,3,3,2,2,15625
000066,7,5,3,0.125000,O3_confidence_latency_ratio,0.709877,0.709877,0.000000,0.000000,0.958333,0.958333,3,3,2,2,15625
000066,11,5,3,0.050000,O3_confidence_latency_ratio,0.709877,0.709877,0.000000,0.000000,0.958333,0.958333,3,3,2,2,15625
000066,11,5,3,0.075000,O3_confidence_latency_ratio,0.709877,0.709877,0.000000,0.000000,0.958333,0.958333,3,3,2,2,15625
000066,11,5,3,0.100000,O3_confidence_latency_ratio,0.709877,0.709877,0.000000,0.000000,0.958333,0.958333,3,3,2,2,15625
000066,11,5,3,0.125000,O3_confidence_latency_ratio,0.709877,0.709877,0.000000,0.000000,0.958333,0.958333,3,3,2,2,15625
000066,23,5,3,0.050000,O3_confidence_latency_ratio,0.585269,0.626389,0.041120,0.065646,0.936431,0.908264,6,5,3,2,15625
000066,23,5,3,0.075000,O3_confidence_latency_ratio,0.585269,0.626389,0.041120,0.065646,0.936431,0.908264,6,5,3,2,15625
000066,23,5,3,0.100000,O3_confidence_latency_ratio,0.626389,0.626389,0.000000,0.000000,0.908264,0.908264,5,5,2,2,15625
000066,23,5,3,0.125000,O3_confidence_latency_ratio,0.626389,0.626389,0.000000,0.000000,0.908264,0.908264,5,5,2,2,15625
000066,37,5,3,0.050000,O3_confidence_latency_ratio,0.678161,0.766667,0.088506,0.115442,0.983333,0.958333,3,3,3,1,15625
000066,37,5,3,0.075000,O3_confidence_latency_ratio,0.678161,0.766667,0.088506,0.115442,0.983333,0.958333,3,3,3,1,15625
000066,37,5,3,0.100000,O3_confidence_latency_ratio,0.678161,0.766667,0.088506,0.115442,0.983333,0.958333,3,3,3,1,15625
000066,37,5,3,0.125000,O3_confidence_latency_ratio,0.678161,0.766667,0.088506,0.115442,0.983333,0.958333,3,3,3,1,15625
000068,7,5,3,0.050000,O3_confidence_latency_ratio,0.547003,0.631812,0.084810,0.134232,0.929904,0.884537,6,4,4,2,15625
000068,7,5,3,0.075000,O3_confidence_latency_ratio,0.587430,0.631812,0.044382,0.070246,0.910516,0.884537,5,4,3,2,15625
000068,7,5,3,0.100000,O3_confidence_latency_ratio,0.631812,0.631812,0.000000,0.000000,0.884537,0.884537,4,4,2,2,15625
000068,7,5,3,0.125000,O3_confidence_latency_ratio,0.631812,0.631812,0.000000,0.000000,0.884537,0.884537,4,4,2,2,15625
000068,11,5,3,0.050000,O3_confidence_latency_ratio,0.732510,0.732510,0.000000,0.000000,0.988889,0.988889,3,3,2,2,15625
000068,11,5,3,0.075000,O3_confidence_latency_ratio,0.732510,0.732510,0.000000,0.000000,0.988889,0.988889,3,3,2,2,15625
000068,11,5,3,0.100000,O3_confidence_latency_ratio,0.732510,0.732510,0.000000,0.000000,0.988889,0.988889,3,3,2,2,15625
000068,11,5,3,0.125000,O3_confidence_latency_ratio,0.732510,0.732510,0.000000,0.000000,0.988889,0.988889,3,3,2,2,15625
000068,23,5,3,0.050000,O3_confidence_latency_ratio,0.740741,0.740741,0.000000,0.000000,1.000000,1.000000,3,3,2,2,15625
000068,23,5,3,0.075000,O3_confidence_latency_ratio,0.740741,0.740741,0.000000,0.000000,1.000000,1.000000,3,3,2,2,15625
000068,23,5,3,0.100000,O3_confidence_latency_ratio,0.740741,0.740741,0.000000,0.000000,1.000000,1.000000,3,3,2,2,15625
000068,23,5,3,0.125000,O3_confidence_latency_ratio,0.740741,0.740741,0.000000,0.000000,1.000000,1.000000,3,3,2,2,15625
000068,37,5,3,0.050000,O3_confidence_latency_ratio,0.702381,0.702381,0.000000,0.000000,0.983333,0.983333,4,4,2,2,15625
000068,37,5,3,0.075000,O3_confidence_latency_ratio,0.702381,0.702381,0.000000,0.000000,0.983333,0.983333,4,4,2,2,15625
000068,37,5,3,0.100000,O3_confidence_latency_ratio,0.702381,0.702381,0.000000,0.000000,0.983333,0.983333,4,4,2,2,15625
000068,37,5,3,0.125000,O3_confidence_latency_ratio,0.701646,0.702381,0.000735,0.001046,0.947222,0.983333,3,4,2,2,15625
000070,7,5,3,0.050000,O3_confidence_latency_ratio,0.683697,0.744445,0.060747,0.081601,0.957176,0.930556,4,3,2,1,15625
