scenario_id,timestamp,receiver_id,receiver_policy,resource_allocation,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_15_01_26_56,000080,1,all-cluster-heads,perception_aware_potential_game,full_cluster,utility,utility,none,0,0,,all_in_one,1,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,{},"{""1"": 4933, ""2"": 4849, ""3"": 4937, ""4"": 4847, ""5"": 4916, ""6"": 4637, ""7"": 4919, ""8"": 4839, ""9"": 4858, ""10"": 4924, ""11"": 4908, ""12"": 4905, ""13"": 4772, ""14"": 5031, ""15"": 4751, ""16"": 4897, ""17"": 4990, ""18"": 4986, ""19"": 4821, ""20"": 4907}",1483104,3>1:1;17>1:0,2;4;5;6;7;8;9;10;11;12;13;14;15;16;18;19;20,65,71,
2026_07_15_01_26_56,000082,1,all-cluster-heads,perception_aware_potential_game,full_cluster,utility,utility,none,0,0,,all_in_one,1,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,{},"{""1"": 4932, ""2"": 4863, ""3"": 4948, ""4"": 4841, ""5"": 4913, ""6"": 4653, ""7"": 4912, ""8"": 4838, ""9"": 4859, ""10"": 4925, ""11"": 4909, ""12"": 4915, ""13"": 4801, ""14"": 4993, ""15"": 4758, ""16"": 4908, ""17"": 4970, ""18"": 4961, ""19"": 4822, ""20"": 4906}",1483120,3>1:1;17>1:0,2;4;5;6;7;8;9;10;11;12;13;14;15;16;18;19;20,62,71,
2026_07_15_01_26_56,000084,1,all-cluster-heads,perception_aware_potential_game,full_cluster,utility,utility,none,0,0,,all_in_one,1,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,{},"{""1"": 4932, ""2"": 4867, ""3"": 4935, ""4"": 4841, ""5"": 4932, ""6"": 4670, ""7"": 4915, ""8"": 4837, ""9"": 4858, ""10"": 4914, ""11"": 4909, ""12"": 4926, ""13"": 4788, ""14"": 4994, ""15"": 4766, ""16"": 4906, ""17"": 4976, ""18"": 4972, ""19"": 4822, ""20"": 4904}",1483712,3>1:1;17>1:0,2;4;5;6;7;8;9;10;11;12;13;14;15;16;18;19;20,63,71,
2026_07_15_01_26_56,000086,1,all-cluster-heads,perception_aware_potential_game,full_cluster,utility,utility,none,0,0,,all_in_one,1,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,{},"{""1"": 4932, ""2"": 4863, ""3"": 4939, ""4"": 4844, ""5"": 4915, ""6"": 4676, ""7"": 4928, ""8"": 4837, ""9"": 4858, ""10"": 4926, ""11"": 4910, ""12"": 4938, ""13"": 4773, ""14"": 5015, ""15"": 4762, ""16"": 4917, ""17"": 4971, ""18"": 4982, ""19"": 4822, ""20"": 4905}",1484496,3>1:1;17>1:0,2;4;5;6;7;8;9;10;11;12;13;14;15;16;18;19;20,61,71,
2026_07_15_01_26_56,000088,1,all-cluster-heads,perception_aware_potential_game,full_cluster,utility,utility,none,0,0,,all_in_one,1,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,{},"{""1"": 4930, ""2"": 4862, ""3"": 4952, ""4"": 4844, ""5"": 4933, ""6"": 4643, ""7"": 4929, ""8"": 4838, ""9"": 4856, ""10"": 4929, ""11"": 4912, ""12"": 4937, ""13"": 4764, ""14"": 4998, ""15"": 4772, ""16"": 4929, ""17"": 4985, ""18"": 4954, ""19"": 4823, ""20"": 4903}",1484208,3>1:1;17>1:0,2;4;5;6;7;8;9;10;11;12;13;14;15;16;18;19;20,62,71,
2026_07_15_01_26_56,000090,1,all-cluster-heads,perception_aware_potential_game,full_cluster,utility,utility,none,0,0,,all_in_one,1,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,{},"{""1"": 4930, ""2"": 4862, ""3"": 4955, ""4"": 4843, ""5"": 4919, ""6"": 4653, ""7"": 4928, ""8"": 4837, ""9"": 4855, ""10"": 4929, ""11"": 4910, ""12"": 4954, ""13"": 4769, ""14"": 4961, ""15"": 4768, ""16"": 4936, ""17"": 5007, ""18"": 4954, ""19"": 4824, ""20"": 4905}",1484304,3>1:1;17>1:0,2;4;5;6;7;8;9;10;11;12;13;14;15;16;18;19;20,61,72,
2026_07_15_01_26_56,000092,1,all-cluster-heads,perception_aware_potential_game,full_cluster,utility,utility,none,0,0,,all_in_one,1,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,{},"{""1"": 4928, ""2"": 4860, ""3"": 4961, ""4"": 4846, ""5"": 4934, ""6"": 4665, ""7"": 4924, ""8"": 4838, ""9"": 4855, ""10"": 4929, ""11"": 4908, ""12"": 4963, ""13"": 4781, ""14"": 4963, ""15"": 4770, ""16"": 4936, ""17"": 5000, ""18"": 4954, ""19"": 4823, ""20"": 4905}",1485040,3>1:1;17>1:0,2;4;5;6;7;8;9;10;11;12;13;14;15;16;18;19;20,62,72,
2026_07_15_01_26_56,000094,1,all-cluster-heads,perception_aware_potential_game,full_cluster,utility,utility,none,0,0,,all_in_one,1,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,{},"{""1"": 4929, ""2"": 4864, ""3"": 4964, ""4"": 4848, ""5"": 4943, ""6"": 4670, ""7"": 4922, ""8"": 4839, ""9"": 4854, ""10"": 4929, ""11"": 4907, ""12"": 4976, ""13"": 4805, ""14"": 4947, ""15"": 4772, ""16"": 4936, ""17"": 4995, ""18"": 4954, ""19"": 4823, ""20"": 4905}",1485648,3>1:1;17>1:0,2;4;5;6;7;8;9;10;11;12;13;14;15;16;18;19;20,63,72,
2026_07_15_01_26_56,000096,1,all-cluster-heads,perception_aware_potential_game,full_cluster,utility,utility,none,0,0,,all_in_one,1,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,{},"{""1"": 4928, ""2"": 4866, ""3"": 4970, ""4"": 4848, ""5"": 4933, ""6"": 4667, ""7"": 4921, ""8"": 4839, ""9"": 4853, ""10"": 4930, ""11"": 4909, ""12"": 4975, ""13"": 4751, ""14"": 4923, ""15"": 4777, ""16"": 4944, ""17"": 4995, ""18"": 4942, ""19"": 4823, ""20"": 4902}",1484288,3>1:1;17>1:0,2;4;5;6;7;8;9;10;11;12;13;14;15;16;18;19;20,61,72,
2026_07_15_01_26_56,000098,1,all-cluster-heads,perception_aware_potential_game,full_cluster,utility,utility,none,0,0,,all_in_one,1,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,{},"{""1"": 4927, ""2"": 4855, ""3"": 4974, ""4"": 4850, ""5"": 4929, ""6"": 4670, ""7"": 4921, ""8"": 4838, ""9"": 4853, ""10"": 4930, ""11"": 4908, ""12"": 4968, ""13"": 4779, ""14"": 4872, ""15"": 4783, ""16"": 4950, ""17"": 4986, ""18"": 4946, ""19"": 4824, ""20"": 4903}",1483824,3>1:0;17>1:1,2;4;5;6;7;8;9;10;11;12;13;14;15;16;18;19;20,64,72,
2026_07_15_01_26_56,000100,1,all-cluster-heads,perception_aware_potential_game,full_cluster,utility,utility,none,0,0,,all_in_one,1,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,{},"{""1"": 4928, ""2"": 4859, ""3"": 4983, ""4"": 4850, ""5"": 4916, ""6"": 4673, ""7"": 4921, ""8"": 4837, ""9"": 4851, ""10"": 4928, ""11"": 4909, ""12"": 4970, ""13"": 4758, ""14"": 4874, ""15"": 4775, ""16"": 4946, ""17"": 4995, ""18"": 4944, ""19"": 4823, ""20"": 4903}",1483440,3>1:0;17>1:1,2;4;5;6;7;8;9;10;11;12;13;14;15;16;18;19;20,62,72,
2026_07_15_01_26_56,000102,1,all-cluster-heads,perception_aware_potential_game,full_cluster,utility,utility,none,0,0,,all_in_one,1,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,{},"{""1"": 4929, ""2"": 4850, ""3"": 5003, ""4"": 4850, ""5"": 4958, ""6"": 4681, ""7"": 4920, ""8"": 4837, ""9"": 4851, ""10"": 4929, ""11"": 4907, ""12"": 4965, ""13"": 4787, ""14"": 4826, ""15"": 4798, ""16"": 4975, ""17"": 4990, ""18"": 4936, ""19"": 4823, ""20"": 4902}",1484608,16>1:1;17>1:0,2;3;4;5;6;7;8;9;10;11;12;13;14;15;18;19;20,61,72,
2026_07_15_01_26_56,000104,1,all-cluster-heads,perception_aware_potential_game,full_cluster,utility,utility,none,0,0,,all_in_one,1,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,{},"{""1"": 4929, ""2"": 4849, ""3"": 4979, ""4"": 4850, ""5"": 4936, ""6"": 4701, ""7"": 4920, ""8"": 4837, ""9"": 4851, ""10"": 4930, ""11"": 4907, ""12"": 4988, ""13"": 4747, ""14"": 4840, ""15"": 4777, ""16"": 4958, ""17"": 4979, ""18"": 4929, ""19"": 4823, ""20"": 4900}",1483216,3>1:1;17>1:0,2;4;5;6;7;8;9;10;11;12;13;14;15;16;18;19;20,61,72,
2026_07_15_01_26_56,000106,1,all-cluster-heads,perception_aware_potential_game,full_cluster,utility,utility,none,0,0,,all_in_one,1,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,{},"{""1"": 4928, ""2"": 4856, ""3"": 4995, ""4"": 4852, ""5"": 4951, ""6"": 4708, ""7"": 4920, ""8"": 4836, ""9"": 4852, ""10"": 4930, ""11"": 4908, ""12"": 4987, ""13"": 4753, ""14"": 4815, ""15"": 4779, ""16"": 4954, ""17"": 4994, ""18"": 4912, ""19"": 4823, ""20"": 4900}",1483600,3>1:1;17>1:0,2;4;5;6;7;8;9;10;11;12;13;14;15;16;18;19;20,55,71,
2026_07_15_01_26_56,000108,1,all-cluster-heads,perception_aware_potential_game,full_cluster,utility,utility,none,0,0,,all_in_one,1,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,{},"{""1"": 4928, ""2"": 4859, ""3"": 4982, ""4"": 4850, ""5"": 4929, ""6"": 4713, ""7"": 4919, ""8"": 4837, ""9"": 4853, ""10"": 4928, ""11"": 4911, ""12"": 4997, ""13"": 4757, ""14"": 4804, ""15"": 4792, ""16"": 4980, ""17"": 4998, ""18"": 4916, ""19"": 4825, ""20"": 4899}",1483984,16>1:1;17>1:0,2;3;4;5;6;7;8;9;10;11;12;13;14;15;18;19;20,60,71,
2026_07_15_01_26_56,000110,1,all-cluster-heads,perception_aware_potential_game,full_cluster,utility,utility,none,0,0,,all_in_one,1,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,{},"{""1"": 4928, ""2"": 4860, ""3"": 4993, ""4"": 4850, ""5"": 4921, ""6"": 4713, ""7"": 4919, ""8"": 4834, ""9"": 4854, ""10"": 4929, ""11"": 4911, ""12"": 4997, ""13"": 4738, ""14"": 4841, ""15"": 4814, ""16"": 4974, ""17"": 5003, ""18"": 4900, ""19"": 4826, ""20"": 4898}",1484400,16>1:1;17>1:0,2;3;4;5;6;7;8;9;10;11;12;13;14;15;18;19;20,60,70,
2026_07_15_01_26_56,000112,1,all-cluster-heads,perception_aware_potential_game,full_cluster,utility,utility,none,0,0,,all_in_one,1,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,{},"{""1"": 4926, ""2"": 4859, ""3"": 4983, ""4"": 4850, ""5"": 4910, ""6"": 4686, ""7"": 4917, ""8"": 4834, ""9"": 4855, ""10"": 4928, ""11"": 4912, ""12"": 5013, ""13"": 4707, ""14"": 4813, ""15"": 4776, ""16"": 4976, ""17"": 4995, ""18"": 4899, ""19"": 4827, ""20"": 4898}",1482208,16>1:1;17>1:0,2;3;4;5;6;7;8;9;10;11;12;13;14;15;18;19;20,57,69,
2026_07_15_01_26_56,000114,1,all-cluster-heads,perception_aware_potential_game,full_cluster,utility,utility,none,0,0,,all_in_one,1,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,{},"{""1"": 4926, ""2"": 4858, ""3"": 4978, ""4"": 4851, ""5"": 4909, ""6"": 4680, ""7"": 4919, ""8"": 4834, ""9"": 4854, ""10"": 4928, ""11"": 4911, ""12"": 5019, ""13"": 4726, ""14"": 4823, ""15"": 4789, ""16"": 4987, ""17"": 5006, ""18"": 4917, ""19"": 4828, ""20"": 4899}",1483456,16>1:1;17>1:0,2;3;4;5;6;7;8;9;10;11;12;13;14;15;18;19;20,57,69,
2026_07_15_01_26_56,000116,1,all-cluster-heads,perception_aware_potential_game,full_cluster,utility,utility,none,0,0,,all_in_one,1,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,{},"{""1"": 4926, ""2"": 4858, ""3"": 4990, ""4"": 4849, ""5"": 4920, ""6"": 4710, ""7"": 4918, ""8"": 4836, ""9"": 4853, ""10"": 4925, ""11"": 4911, ""12"": 4999, ""13"": 4746, ""14"": 4826, ""15"": 4804, ""16"": 4994, ""17"": 5014, ""18"": 4888, ""19"": 4829, ""20"": 4899}",1484304,16>1:0;17>1:1,2;3;4;5;6;7;8;9;10;11;12;13;14;15;18;19;20,60,69,
2026_07_15_01_26_56,000118,1,all-cluster-heads,perception_aware_potential_game,full_cluster,utility,utility,none,0,0,,all_in_one,1,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,{},"{""1"": 4927, ""2"": 4868, ""3"": 4987, ""4"": 4849, ""5"": 4904, ""6"": 4718, ""7"": 4916, ""8"": 4838, ""9"": 4853, ""10"": 4926, ""11"": 4914, ""12"": 5018, ""13"": 4711, ""14"": 4863, ""15"": 4815, ""16"": 4998, ""17"": 5023, ""18"": 4898, ""19"": 4828, ""20"": 4899}",1485216,16>1:0;17>1:1,2;3;4;5;6;7;8;9;10;11;12;13;14;15;18;19;20,57,69,
2026_07_15_01_26_56,000120,1,all-cluster-heads,perception_aware_potential_game,full_cluster,utility,utility,none,0,0,,all_in_one,1,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,{},"{""1"": 4928, ""2"": 4867, ""3"": 4986, ""4"": 4848, ""5"": 4901, ""6"": 4711, ""7"": 4915, ""8"": 4837, ""9"": 4854, ""10"": 4927, ""11"": 4913, ""12"": 5020, ""13"": 4704, ""14"": 4863, ""15"": 4811, ""16"": 4996, ""17"": 5031, ""18"": 4887, ""19"": 4830, ""20"": 4901}",1484832,16>1:0;17>1:1,2;3;4;5;6;7;8;9;10;11;12;13;14;15;18;19;20,60,69,
2026_07_15_01_26_56,000122,1,all-cluster-heads,perception_aware_potential_game,full_cluster,utility,utility,none,0,0,,all_in_one,1,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,{},"{""1"": 4925, ""2"": 4867, ""3"": 4990, ""4"": 4847, ""5"": 4902, ""6"": 4722, ""7"": 4915, ""8"": 4838, ""9"": 4851, ""10"": 4927, ""11"": 4911, ""12"": 5019, ""13"": 4698, ""14"": 4861, ""15"": 4812, ""16"": 4999, ""17"": 5030, ""18"": 4895, ""19"": 4826, ""20"": 4897}",1484912,16>1:0;17>1:1,2;3;4;5;6;7;8;9;10;11;12;13;14;15;18;19;20,58,69,
