method,structure,frames,budget_label,ap_05,ap_07,raw_bytes_per_frame,raw_byte_ratio_vs_comm_aware10,ap05_ratio_vs_comm_aware10,ap07_ratio_vs_comm_aware10,byte_accounting,source
comm_aware_topk_10,flat_selective_sharing,11,10_agents,0.686146,0.545736,741029.818182,1.000000,1.000000,1.000000,raw_full_selected_agent_pcd,docs/doc_workspace/LGCP/experiments/ablation/20260718_lgcp_flat_raw_byte_accounting_11f/flat_raw_byte_summary.csv
area_aware_union_10,flat_selective_sharing,11,10_agents,0.676678,0.538273,743892.363636,1.003863,0.986201,0.986324,raw_full_selected_agent_pcd,docs/doc_workspace/LGCP/experiments/ablation/20260718_lgcp_flat_raw_byte_accounting_11f/flat_raw_byte_summary.csv
confidence_topk_10,flat_selective_sharing,11,10_agents,0.624088,0.436000,743357.090909,1.003140,0.909553,0.798920,raw_full_selected_agent_pcd,docs/doc_workspace/LGCP/experiments/ablation/20260718_lgcp_flat_raw_byte_accounting_11f/flat_raw_byte_summary.csv
random_10,flat_selective_sharing,11,10_agents,0.598993,0.380556,738430.545455,0.996492,0.873000,0.697323,raw_full_selected_agent_pcd,docs/doc_workspace/LGCP/experiments/ablation/20260718_lgcp_flat_raw_byte_accounting_11f/flat_raw_byte_summary.csv
lgcp_top23_box_late_fusion,local_to_global_hierarchy,11,23_areas,0.554762,0.460461,93985.454545,0.126831,0.808520,0.843741,raw_member_slice_plus_leader_result_estimate,docs/doc_workspace/LGCP/experiments/hierarchy_plan/20260718_lgcp_carla_hierarchy_late_fusion_top23_11f/rsu_global_eval_summary.csv
lgcp_top30_box_late_fusion,local_to_global_hierarchy,11,30_areas,0.602748,0.506345,119415.272727,0.161148,0.878456,0.927823,scheduled_raw_slice_plan,docs/doc_workspace/LGCP/experiments/hierarchy_plan/20260718_lgcp_carla_hierarchy_late_fusion_top30_11f/rsu_global_eval_summary.csv
full_sharing,flat_full_sharing,11,20_agents,0.839868,0.526521,1560446.545455,2.105782,1.224029,0.964784,raw_full_selected_agent_pcd,docs/doc_workspace/LGCP/experiments/ablation/20260718_lgcp_flat_raw_byte_accounting_11f/flat_raw_byte_summary.csv
