method,structure,frames,selection_budget,ap_03,ap_05,ap_07,gt_total,pred_samples,byte_proxy_type,total_bytes,bytes_per_frame,extra_metrics,source
full,flat_full_sharing,11,20_agents,0.851209,0.839868,0.526521,782,674,fixed_10kb_per_non_ego_agent,2090000,190000.000000,selected_mean=20.000000,docs/doc_workspace/LGCP/experiments/ablation/20260715_lgcp_carla_comm_aware_baseline_11f/ablation_summary.csv
random,flat_selective_sharing,11,10_agents,0.611342,0.598993,0.380556,730,482,fixed_10kb_per_non_ego_agent,990000,90000.000000,selected_mean=10.000000,docs/doc_workspace/LGCP/experiments/ablation/20260715_lgcp_carla_comm_aware_baseline_11f/ablation_summary.csv
confidence_topk,flat_selective_sharing,11,10_agents,0.629379,0.624088,0.436000,692,476,fixed_10kb_per_non_ego_agent,990000,90000.000000,selected_mean=10.000000,docs/doc_workspace/LGCP/experiments/ablation/20260715_lgcp_carla_comm_aware_baseline_11f/ablation_summary.csv
comm_aware_topk,flat_selective_sharing,11,10_agents,0.688703,0.686146,0.545736,709,510,fixed_10kb_per_non_ego_agent,990000,90000.000000,selected_mean=10.000000,docs/doc_workspace/LGCP/experiments/ablation/20260715_lgcp_carla_comm_aware_baseline_11f/ablation_summary.csv
area_aware_union,flat_selective_sharing,11,10_agents,0.678388,0.676678,0.538273,691,502,fixed_10kb_per_non_ego_agent,990000,90000.000000,selected_mean=10.000000,docs/doc_workspace/LGCP/experiments/ablation/20260715_lgcp_carla_comm_aware_baseline_11f/ablation_summary.csv
lgcp_top20_box_late_fusion,local_to_global_hierarchy,11,20_areas,0.538594,0.538594,0.440331,319,289,raw_slice_budget_estimate,872160,79287.272727,selected_gt_ratio=0.738288;group_inference_calls=194,docs/doc_workspace/LGCP/experiments/hierarchy_plan/20260718_lgcp_carla_hierarchy_late_fusion_top20_11f/rsu_global_eval_summary.csv
lgcp_top23_box_late_fusion,local_to_global_hierarchy,11,23_areas,0.554762,0.554762,0.460461,347,320,raw_member_slice_plus_leader_result_estimate,1033840,93985.454545,raw_member_bytes_per_frame=47985.454545;leader_result_bytes_per_frame=46000.000000;group_inference_calls=210,docs/doc_workspace/LGCP/experiments/hierarchy_plan/20260718_lgcp_carla_hierarchy_late_fusion_top23_11f/rsu_global_eval_summary.csv
lgcp_top30_box_late_fusion,local_to_global_hierarchy,11,30_areas,0.602748,0.602748,0.506345,408,384,scheduled_raw_slice_plan,1313568,119415.272727,selected_gt_ratio=0.953193;mean_frame_latency_ms=50.000000;group_inference_calls=245,docs/doc_workspace/LGCP/experiments/hierarchy_plan/20260718_lgcp_carla_hierarchy_late_fusion_top30_11f/rsu_global_eval_summary.csv
