scope,confidence,quality,samples,pearson,spearman
area_frame,confidence_mean,recall_03,354,0.215539,0.182359
area_frame,confidence_mean,recall_05,354,0.231715,0.194415
area_frame,confidence_mean,recall_07,354,0.282210,0.225361
area_frame,confidence_max,recall_03,354,0.144469,0.543890
area_frame,confidence_max,recall_05,354,0.234455,0.551243
area_frame,confidence_max,recall_07,354,0.224363,0.479768
area_frame,confidence_noisy_or,recall_03,354,0.152073,0.543297
area_frame,confidence_noisy_or,recall_05,354,0.251009,0.550885
area_frame,confidence_noisy_or,recall_07,354,0.234241,0.480238
area_frame,density_distance_mean,recall_03,354,0.222236,0.174957
area_frame,density_distance_mean,recall_05,354,0.244830,0.187712
area_frame,density_distance_mean,recall_07,354,0.291686,0.227604
area_frame,density_distance_max,recall_03,354,0.138490,0.097961
area_frame,density_distance_max,recall_05,354,0.214778,0.109257
area_frame,density_distance_max,recall_07,354,0.186828,0.095488
area_frame,score_mean,recall_03,321,0.069112,0.009699
area_frame,score_mean,recall_05,321,0.096849,0.030593
area_frame,score_mean,recall_07,321,0.147013,0.074988
area_frame,score_max,recall_03,321,0.122819,0.043008
area_frame,score_max,recall_05,321,0.145166,0.059804
area_frame,score_max,recall_07,321,0.182354,0.095169
area_frame,score_top2_mean,recall_03,321,0.077310,0.014873
area_frame,score_top2_mean,recall_05,321,0.104660,0.034842
area_frame,score_top2_mean,recall_07,321,0.154598,0.082778
area_frame,score_top3_mean,recall_03,321,0.069112,0.009699
area_frame,score_top3_mean,recall_05,321,0.096849,0.030593
area_frame,score_top3_mean,recall_07,321,0.147013,0.074988
area_accumulated,confidence_mean,ap_03,36,0.359126,0.363449
area_accumulated,confidence_mean,ap_05,36,0.366386,0.374775
area_accumulated,confidence_mean,ap_07,36,0.443438,0.428571
area_accumulated,confidence_max,ap_03,36,0.308962,0.288031
area_accumulated,confidence_max,ap_05,36,0.426572,0.302703
area_accumulated,confidence_max,ap_07,36,0.373709,0.312227
area_accumulated,confidence_noisy_or,ap_03,36,0.300524,0.301158
area_accumulated,confidence_noisy_or,ap_05,36,0.405850,0.314543
area_accumulated,confidence_noisy_or,ap_07,36,0.336477,0.321750
area_accumulated,density_distance_mean,ap_03,36,0.356860,0.363192
area_accumulated,density_distance_mean,ap_05,36,0.393103,0.379408
area_accumulated,density_distance_mean,ap_07,36,0.463103,0.427542
area_accumulated,density_distance_max,ap_03,36,0.330104,0.229601
area_accumulated,density_distance_max,ap_05,36,0.472810,0.252252
area_accumulated,density_distance_max,ap_07,36,0.390813,0.107593
area_accumulated,score_mean,ap_03,36,0.264729,0.385071
area_accumulated,score_mean,ap_05,36,0.299734,0.396911
area_accumulated,score_mean,ap_07,36,0.338175,0.391506
area_accumulated,score_max,ap_03,36,0.285162,0.352124
area_accumulated,score_max,ap_05,36,0.311902,0.363707
area_accumulated,score_max,ap_07,36,0.340611,0.362677
area_accumulated,score_top2_mean,ap_03,36,0.274440,0.378378
area_accumulated,score_top2_mean,ap_05,36,0.308909,0.390219
area_accumulated,score_top2_mean,ap_07,36,0.349758,0.396654
area_accumulated,score_top3_mean,ap_03,36,0.264729,0.385071
area_accumulated,score_top3_mean,ap_05,36,0.299734,0.396911
area_accumulated,score_top3_mean,ap_07,36,0.338175,0.391506
