scenario_id,timestamp,receiver_id,receiver_policy,coperception_yaml,resource_allocation,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,selective_frame_deadline_ms,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,frame_comm_time_ms,num_channels,bandwidth_mhz,communication_deadline_ms,sgcp_frame_mbps_budget,sgcp_frame_budget_bytes,sgcp_frame_budget_original_bytes,sgcp_frame_budget_admitted_bytes,max_senders_per_receiver,channel_estimator,ns3_tb_size_bytes,ns3_slot_duration_ms,ns3_subchannel_prbs,ns3_symbols_per_slot,ns3_mcs,pcs_rounds_requested,pcs_rounds_accepted,pcs_round_comm_time_ms_json,pcs_round_comm_bytes_json,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_15_01_26_56,000072,1,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,1;2;8;11,1;2,2,"{""2"": 4}","{""1"": 4928, ""2"": 781}",12496,6.949944382647385,10,40.0,200.0,1.0,12500,734064,12496,1,ns3,899,0.5,10,12,28,,,[],[],2>1:0,,17,31,
2026_07_15_01_26_56,000072,4,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,4;9;12,4,,{},"{""4"": 4868}",0,0.0,10,40.0,200.0,1.0,12500,734064,12496,1,ns3,899,0.5,10,12,28,,,[],[],,,13,27,
2026_07_15_01_26_56,000072,13,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,10;13;14;19,13,,{},"{""13"": 4800}",0,0.0,10,40.0,200.0,1.0,12500,734064,12496,1,ns3,899,0.5,10,12,28,,,[],[],,,3,10,
2026_07_15_01_26_56,000072,15,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,6;15,15,,{},"{""15"": 4748}",0,0.0,10,40.0,200.0,1.0,12500,734064,12496,1,ns3,899,0.5,10,12,28,,,[],[],,,12,9,
2026_07_15_01_26_56,000072,16,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,5;7;16;20,16,,{},"{""16"": 4868}",0,0.0,10,40.0,200.0,1.0,12500,734064,12496,1,ns3,899,0.5,10,12,28,,,[],[],,,14,23,
2026_07_15_01_26_56,000072,17,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,3;17;18,17,,{},"{""17"": 4977}",0,0.0,10,40.0,200.0,1.0,12500,734064,12496,1,ns3,899,0.5,10,12,28,,,[],[],,,7,9,
2026_07_15_01_26_56,000074,1,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,1;2;8;11,1;2,2,"{""2"": 4}","{""1"": 4931, ""2"": 781}",12496,6.949944382647385,10,40.0,200.0,1.0,12500,743840,12496,1,ns3,899,0.5,10,12,28,,,[],[],2>1:0,,17,30,
2026_07_15_01_26_56,000074,12,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,4;7;12,12,,{},"{""12"": 4881}",0,0.0,10,40.0,200.0,1.0,12500,743840,12496,1,ns3,899,0.5,10,12,28,,,[],[],,,8,19,
2026_07_15_01_26_56,000074,13,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,10;13;14;19,13,,{},"{""13"": 4800}",0,0.0,10,40.0,200.0,1.0,12500,743840,12496,1,ns3,899,0.5,10,12,28,,,[],[],,,3,11,
2026_07_15_01_26_56,000074,15,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,6;15,15,,{},"{""15"": 4753}",0,0.0,10,40.0,200.0,1.0,12500,743840,12496,1,ns3,899,0.5,10,12,28,,,[],[],,,13,9,
