timestamp,area_id,source_id,target_id,upload_type,bytes,original_bytes,byte_source,raw_point_count,slice_point_count,slice_ratio
000062,12_10,20,16,member_to_leader,12112,10000,raw_lidar_slice,5179,757,0.146167
000062,12_10,16,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000062,14_10,7,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000062,12_5,10,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000062,15_6,4,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000062,11_5,9,10,member_to_leader,3072,10000,raw_lidar_slice,5098,192,0.037662
000062,11_5,10,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000062,13_9,7,20,member_to_leader,2320,10000,raw_lidar_slice,5175,145,0.028019
000062,13_9,20,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000062,16_8,4,12,member_to_leader,3120,10000,raw_lidar_slice,5146,195,0.037894
000062,16_8,12,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000062,15_2,8,1,member_to_leader,2992,10000,raw_lidar_slice,5125,187,0.036488
000062,15_2,1,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000062,11_8,9,19,member_to_leader,6320,10000,raw_lidar_slice,5098,395,0.077481
000062,11_8,19,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000062,11_4,10,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000062,15_9,7,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000062,12_3,11,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000062,17_7,12,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000062,16_5,12,4,member_to_leader,2736,10000,raw_lidar_slice,5218,171,0.032771
000062,16_5,4,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000062,15_8,7,4,member_to_leader,2000,10000,raw_lidar_slice,5175,125,0.024155
000062,15_8,4,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000064,12_9,20,5,member_to_leader,13184,10000,raw_lidar_slice,5179,824,0.159104
000064,12_9,5,RSU,leader_to_rsu,2000,2000,fixed_original,,,
000064,13_2,2,11,member_to_leader,2048,10000,raw_lidar_slice,5067,128,0.025261
