method,budget,frames,ap_03,ap_05,ap_07,gt_total,pred_samples
area_aware_union,5,11,0.405018,0.396807,0.251957,573,321
area_aware_union,10,11,0.678388,0.676678,0.538273,691,502
confidence_topk,5,11,0.358450,0.345556,0.221396,573,263
confidence_topk,10,11,0.629379,0.624088,0.435861,692,476
full,5,11,0.852487,0.841146,0.527546,782,675
full,10,11,0.852487,0.841146,0.526237,782,675
random,5,11,0.331922,0.314671,0.165521,586,287
random,10,11,0.611342,0.598993,0.380538,730,482
