method,budget,frames,selected_mean,non_ego_selected_mean,non_ego_packet_total,byte_proxy_total,ap_03,ap_05,ap_07,gt_total,pred_samples
area_aware_union,5,11,5.000000,4.000000,44,440000,0.405018,0.396807,0.251957,573,321
area_aware_union,10,11,10.000000,9.000000,99,990000,0.678388,0.676678,0.538273,691,502
confidence_topk,5,11,5.000000,4.000000,44,440000,0.358450,0.345556,0.221396,573,263
confidence_topk,10,11,10.000000,9.000000,99,990000,0.629379,0.624088,0.435861,692,476
full,5,11,20.000000,19.000000,209,2090000,0.851209,0.839868,0.526419,782,674
full,10,11,20.000000,19.000000,209,2090000,0.851209,0.839868,0.526567,782,674
random,5,11,5.000000,4.000000,44,440000,0.331922,0.314671,0.165521,586,287
random,10,11,10.000000,9.000000,99,990000,0.611342,0.598993,0.380556,730,482
