scope,confidence,quality,samples,pearson,spearman
area_frame,confidence_mean,recall_03,500,0.261233,0.222690
area_frame,confidence_mean,recall_05,500,0.260395,0.220359
area_frame,confidence_mean,recall_07,500,0.249572,0.218086
area_frame,confidence_max,recall_03,500,0.200392,0.472176
area_frame,confidence_max,recall_05,500,0.278592,0.475460
area_frame,confidence_max,recall_07,500,0.258575,0.407781
area_frame,confidence_noisy_or,recall_03,500,0.202084,0.472668
area_frame,confidence_noisy_or,recall_05,500,0.254815,0.475952
area_frame,confidence_noisy_or,recall_07,500,0.249741,0.408480
area_frame,density_distance_mean,recall_03,500,0.254472,0.215021
area_frame,density_distance_mean,recall_05,500,0.263647,0.219416
area_frame,density_distance_mean,recall_07,500,0.259664,0.222625
area_frame,density_distance_max,recall_03,500,0.138775,-0.005206
area_frame,density_distance_max,recall_05,500,0.200370,0.007285
area_frame,density_distance_max,recall_07,500,0.160409,-0.008246
area_frame,score_mean,recall_03,403,0.110837,-0.009091
area_frame,score_mean,recall_05,403,0.151016,0.018000
area_frame,score_mean,recall_07,403,0.189598,0.076584
area_frame,score_max,recall_03,403,0.111213,-0.009385
area_frame,score_max,recall_05,403,0.151461,0.017674
area_frame,score_max,recall_07,403,0.190300,0.076519
area_frame,score_top2_mean,recall_03,403,0.110837,-0.009091
area_frame,score_top2_mean,recall_05,403,0.151016,0.018000
area_frame,score_top2_mean,recall_07,403,0.189598,0.076584
area_frame,score_top3_mean,recall_03,403,0.110837,-0.009091
area_frame,score_top3_mean,recall_05,403,0.151016,0.018000
area_frame,score_top3_mean,recall_07,403,0.189598,0.076584
area_accumulated,confidence_mean,ap_03,53,0.263232,0.176907
area_accumulated,confidence_mean,ap_05,53,0.240187,0.164490
area_accumulated,confidence_mean,ap_07,53,0.247571,0.228028
area_accumulated,confidence_max,ap_03,53,0.411678,0.180616
area_accumulated,confidence_max,ap_05,53,0.522596,0.212224
area_accumulated,confidence_max,ap_07,53,0.496788,0.076681
area_accumulated,confidence_noisy_or,ap_03,53,0.384555,0.182309
area_accumulated,confidence_noisy_or,ap_05,53,0.454054,0.213836
area_accumulated,confidence_noisy_or,ap_07,53,0.501785,0.077488
area_accumulated,density_distance_mean,ap_03,53,0.279902,0.202871
area_accumulated,density_distance_mean,ap_05,53,0.299920,0.197791
area_accumulated,density_distance_mean,ap_07,53,0.316375,0.283180
area_accumulated,density_distance_max,ap_03,53,0.388197,0.168441
area_accumulated,density_distance_max,ap_05,53,0.521629,0.196581
area_accumulated,density_distance_max,ap_07,53,0.469675,0.087647
area_accumulated,score_mean,ap_03,53,0.326724,0.385180
area_accumulated,score_mean,ap_05,53,0.340895,0.363570
area_accumulated,score_mean,ap_07,53,0.387890,0.370424
area_accumulated,score_max,ap_03,53,0.326691,0.385019
area_accumulated,score_max,ap_05,53,0.341030,0.364135
area_accumulated,score_max,ap_07,53,0.388450,0.372198
area_accumulated,score_top2_mean,ap_03,53,0.326724,0.385180
area_accumulated,score_top2_mean,ap_05,53,0.340895,0.363570
area_accumulated,score_top2_mean,ap_07,53,0.387890,0.370424
area_accumulated,score_top3_mean,ap_03,53,0.326724,0.385180
area_accumulated,score_top3_mean,ap_05,53,0.340895,0.363570
area_accumulated,score_top3_mean,ap_07,53,0.387890,0.370424
