timestamp,areas,slice_rows,slice_points_total,member_upload_points,leader_self_points,member_upload_bytes,leader_self_bytes
000060,30,46,25300,4118,21182,65888,338912
000062,30,46,25312,3841,21471,61456,343536
000064,30,45,23640,2816,20824,45056,333184
000066,30,45,24244,2848,21396,45568,342336
000068,30,45,23935,2846,21089,45536,337424
000070,30,45,23893,3580,20313,57280,325008
000072,30,46,23688,4228,19460,67648,311360
000074,30,45,23975,3282,20693,52512,331088
000076,30,46,24551,4167,20384,66672,326144
000078,30,47,25083,4517,20566,72272,329056
000080,30,48,24483,4605,19878,73680,318048
