scenario_id,timestamp,receiver_id,receiver_policy,resource_allocation,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,selective_frame_deadline_ms,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,frame_comm_time_ms,num_channels,bandwidth_mhz,channel_estimator,ns3_tb_size_bytes,ns3_slot_duration_ms,ns3_subchannel_prbs,ns3_symbols_per_slot,ns3_mcs,pcs_rounds_requested,pcs_rounds_accepted,pcs_round_comm_time_ms_json,pcs_round_comm_bytes_json,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_15_01_26_56,000128,3,all-cavs,fullperception_pcs,grid,utility,utility,none,0,0,,singleton,20,,3;18;19,3;19;18,19;18,"{""18"": 44, ""19"": 62}","{""3"": 5008, ""18"": 1232, ""19"": 4829}",96976,59.995550611790875,10,40.0,ns3,899,0.5,10,12,28,6,2,"[43.98665183537263, 16.008898776418242]","[676416, 96464]",18>3:0;19>3:7,,16,23,
2026_07_15_01_26_56,000128,4,all-cavs,fullperception_pcs,grid,utility,utility,none,0,0,,singleton,20,,4;14,4,,{},"{""4"": 4851}",0,59.995550611790875,10,40.0,ns3,899,0.5,10,12,28,6,2,"[43.98665183537263, 16.008898776418242]","[676416, 96464]",,,10,25,
2026_07_15_01_26_56,000128,5,all-cavs,fullperception_pcs,grid,utility,utility,none,0,0,,singleton,20,,2;5;16,5,,{},"{""5"": 4864}",0,59.995550611790875,10,40.0,ns3,899,0.5,10,12,28,6,2,"[43.98665183537263, 16.008898776418242]","[676416, 96464]",,,14,13,
2026_07_15_01_26_56,000128,6,all-cavs,fullperception_pcs,grid,utility,utility,none,0,0,,singleton,20,,6;9,6,,{},"{""6"": 4741}",0,59.995550611790875,10,40.0,ns3,899,0.5,10,12,28,6,2,"[43.98665183537263, 16.008898776418242]","[676416, 96464]",,,11,16,
2026_07_15_01_26_56,000128,7,all-cavs,fullperception_pcs,grid,utility,utility,none,0,0,,singleton,20,,7;18;19,7,,{},"{""7"": 4910}",0,59.995550611790875,10,40.0,ns3,899,0.5,10,12,28,6,2,"[43.98665183537263, 16.008898776418242]","[676416, 96464]",,,14,13,
2026_07_15_01_26_56,000128,8,all-cavs,fullperception_pcs,grid,utility,utility,none,0,0,,singleton,20,,8;15,8,,{},"{""8"": 4840}",0,59.995550611790875,10,40.0,ns3,899,0.5,10,12,28,6,2,"[43.98665183537263, 16.008898776418242]","[676416, 96464]",,,13,20,
2026_07_15_01_26_56,000128,9,all-cavs,fullperception_pcs,grid,utility,utility,none,0,0,,singleton,20,,6;9,9;6,6,"{""6"": 37}","{""6"": 4427, ""9"": 4853}",70832,59.995550611790875,10,40.0,ns3,899,0.5,10,12,28,6,2,"[43.98665183537263, 16.008898776418242]","[676416, 96464]",6>9:0,,13,16,
2026_07_15_01_26_56,000128,10,all-cavs,fullperception_pcs,grid,utility,utility,none,0,0,,singleton,20,,10,10,,{},"{""10"": 4923}",0,59.995550611790875,10,40.0,ns3,899,0.5,10,12,28,6,2,"[43.98665183537263, 16.008898776418242]","[676416, 96464]",,,20,25,
2026_07_15_01_26_56,000128,11,all-cavs,fullperception_pcs,grid,utility,utility,none,0,0,,singleton,20,,11;12;15,11;12,12,"{""12"": 46}","{""11"": 4912, ""12"": 4892}",78272,59.995550611790875,10,40.0,ns3,899,0.5,10,12,28,6,2,"[43.98665183537263, 16.008898776418242]","[676416, 96464]",12>11:8,,16,26,
2026_07_15_01_26_56,000128,12,all-cavs,fullperception_pcs,grid,utility,utility,none,0,0,,singleton,20,,11;12;13,12,,{},"{""12"": 4996}",0,59.995550611790875,10,40.0,ns3,899,0.5,10,12,28,6,2,"[43.98665183537263, 16.008898776418242]","[676416, 96464]",,,6,11,
