upload_type,planned_requests,observed_cam_received,bridge_observed_delivery_ratio,planned_bytes,observed_bytes,avg_delay_ms,p95_delay_ms,max_delay_ms
leader_to_rsu,90,52,0.5777777777777777,180000,104000,68.26923076923077,202.0,202.0
member_to_leader,47,2,0.0425531914893617,172400,16176,70.0,105.0,105.0
