line_no,channel,status,tx_rnti,dst_l2_id,harq_id,tb_size,tbler,sinr_avg,sinr_min,reason,frame,subframe,slot
3415,PSSCH,OK,20,1,11,400,0,-nan,100000000000.0,,,,
3417,PSSCH,OK,3,1,8,400,0,-nan,100000000000.0,,,,
3419,PSSCH,OK,21,12,8,400,0,-nan,100000000000.0,,,,
3421,PSSCH,OK,5,16,8,400,0,-nan,100000000000.0,,,,
3599,PSSCH,OK,4,1,10,400,0,-nan,100000000000.0,,,,
3601,PSSCH,OK,19,1,11,400,0,-nan,100000000000.0,,,,
3603,PSSCH,OK,20,1,12,400,0,-nan,100000000000.0,,,,
3605,PSSCH,OK,3,1,9,400,0,-nan,100000000000.0,,,,
3607,PSSCH,OK,14,9,9,400,0,-nan,100000000000.0,,,,
3609,PSSCH,OK,21,12,9,400,0,-nan,100000000000.0,,,,
3755,PSSCH,OK,17,1,6,12,0.0005,-nan,100000000000.0,,,,
3757,PSSCH,OK,19,1,12,400,0,-nan,100000000000.0,,,,
3759,PSSCH,OK,20,1,13,83,0.0001,-nan,100000000000.0,,,,
3761,PSSCH,OK,3,1,10,332,0,-nan,100000000000.0,,,,
3763,PSSCH,OK,5,16,10,400,0,-nan,100000000000.0,,,,
3892,PSSCH,OK,4,1,12,400,0,-nan,100000000000.0,,,,
3894,PSSCH,OK,14,1,11,400,0,-nan,100000000000.0,,,,
3896,PSSCH,OK,21,12,11,400,0,-nan,100000000000.0,,,,
3898,PSSCH,OK,5,16,11,400,0,-nan,100000000000.0,,,,
4024,PSSCH,OK,19,1,14,400,0,-nan,100000000000.0,,,,
4026,PSSCH,OK,14,9,12,400,0,-nan,100000000000.0,,,,
4028,PSSCH,OK,21,12,12,400,0,-nan,100000000000.0,,,,
4030,PSSCH,OK,5,16,12,400,0,-nan,100000000000.0,,,,
4154,PSSCH,OK,4,1,14,400,0,-nan,100000000000.0,,,,
4156,PSSCH,OK,19,1,15,400,0,-nan,100000000000.0,,,,
4158,PSSCH,OK,21,12,13,400,0,-nan,100000000000.0,,,,
4160,PSSCH,OK,5,16,13,400,0,-nan,100000000000.0,,,,
4162,PSSCH,OK,14,17,13,400,0,-nan,100000000000.0,,,,
4279,PSSCH,OK,4,1,15,400,0,-nan,100000000000.0,,,,
4281,PSSCH,OK,19,1,0,400,0,-nan,100000000000.0,,,,
4283,PSSCH,OK,14,1,14,400,0,-nan,100000000000.0,,,,
4285,PSSCH,OK,21,12,14,3,0,-nan,100000000000.0,,,,
4287,PSSCH,OK,5,16,14,400,0,-nan,100000000000.0,,,,
4394,PSSCH,OK,19,1,1,400,0,-nan,100000000000.0,,,,
4396,PSSCH,OK,14,9,15,400,0,-nan,100000000000.0,,,,
4398,PSSCH,OK,5,16,15,400,0,-nan,100000000000.0,,,,
4483,PSSCH,OK,19,1,2,400,0,-nan,100000000000.0,,,,
4485,PSSCH,OK,5,16,0,38,0,-nan,100000000000.0,,,,
4487,PSSCH,OK,14,17,0,400,0,-nan,100000000000.0,,,,
4563,PSSCH,OK,2,1,12,400,0,-nan,100000000000.0,,,,
4565,PSSCH,OK,19,1,3,400,0,-nan,100000000000.0,,,,
4567,PSSCH,OK,14,1,1,400,0,-nan,100000000000.0,,,,
4638,PSSCH,OK,2,1,13,400,0,-nan,100000000000.0,,,,
4640,PSSCH,OK,19,1,4,400,0,-nan,100000000000.0,,,,
4642,PSSCH,OK,14,9,2,400,0,-nan,100000000000.0,,,,
4719,PSSCH,OK,2,1,14,400,0,-nan,100000000000.0,,,,
4721,PSSCH,OK,19,1,5,400,0,-nan,100000000000.0,,,,
4723,PSSCH,OK,14,17,3,400,0,-nan,100000000000.0,,,,
4800,PSSCH,OK,2,1,15,249,0,-nan,100000000000.0,,,,
4802,PSSCH,OK,19,1,6,400,0,-nan,100000000000.0,,,,
4804,PSSCH,OK,14,1,4,400,0,-nan,100000000000.0,,,,
4851,PSSCH,OK,19,1,7,249,0,-nan,100000000000.0,,,,
4853,PSSCH,OK,14,9,5,400,0,-nan,100000000000.0,,,,
4878,PSSCH,OK,14,17,6,400,0,-nan,100000000000.0,,,,
4964,PSSCH,OK,14,1,7,83,0.0001,-nan,100000000000.0,,,,
5023,PSSCH,OK,21,3,0,16,0,-nan,100000000000.0,,,,
5025,PSSCH,OK,14,9,8,400,0,-nan,100000000000.0,,,,
5113,PSSCH,OK,16,1,7,400,0,-nan,100000000000.0,,,,
5115,PSSCH,OK,20,1,15,400,0,-nan,100000000000.0,,,,
5117,PSSCH,OK,5,1,1,400,0,-nan,100000000000.0,,,,
5119,PSSCH,OK,14,17,9,400,0,-nan,100000000000.0,,,,
5214,PSSCH,OK,20,1,0,400,0,-nan,100000000000.0,,,,
5216,PSSCH,OK,5,1,2,400,0,-nan,100000000000.0,,,,
5218,PSSCH,OK,14,9,10,400,0,-nan,100000000000.0,,,,
5307,PSSCH,OK,16,1,9,400,0,-nan,100000000000.0,,,,
5309,PSSCH,OK,5,1,3,400,0,-nan,100000000000.0,,,,
5311,PSSCH,OK,14,17,11,400,0,-nan,100000000000.0,,,,
5404,PSSCH,OK,20,1,2,400,0,-nan,100000000000.0,,,,
5406,PSSCH,OK,5,1,4,400,0,-nan,100000000000.0,,,,
5408,PSSCH,OK,14,9,12,400,0,-nan,100000000000.0,,,,
5513,PSSCH,OK,3,1,12,42,0.0001,-nan,100000000000.0,,,,
5515,PSSCH,OK,16,1,11,400,0,-nan,100000000000.0,,,,
5517,PSSCH,OK,5,1,5,400,0,-nan,100000000000.0,,,,
5519,PSSCH,OK,14,17,13,400,0,-nan,100000000000.0,,,,
5610,PSSCH,OK,20,1,4,95,0,-nan,100000000000.0,,,,
5612,PSSCH,OK,5,1,6,400,0,-nan,100000000000.0,,,,
5614,PSSCH,OK,14,9,14,400,0,-nan,100000000000.0,,,,
5690,PSSCH,OK,16,1,13,400,0,-nan,100000000000.0,,,,
5692,PSSCH,OK,5,1,7,400,0,-nan,100000000000.0,,,,
5694,PSSCH,OK,14,17,15,400,0,-nan,100000000000.0,,,,
5771,PSSCH,OK,16,1,14,400,0,-nan,100000000000.0,,,,
5773,PSSCH,OK,5,1,8,400,0,-nan,100000000000.0,,,,
5775,PSSCH,OK,14,9,0,400,0,-nan,100000000000.0,,,,
5860,PSSCH,OK,16,1,15,400,0,-nan,100000000000.0,,,,
5862,PSSCH,OK,5,1,9,400,0,-nan,100000000000.0,,,,
5864,PSSCH,OK,21,12,1,34,0,-nan,100000000000.0,,,,
5866,PSSCH,OK,14,17,1,400,0,-nan,100000000000.0,,,,
5942,PSSCH,OK,16,1,0,400,0,-nan,100000000000.0,,,,
5944,PSSCH,OK,5,1,10,400,0,-nan,100000000000.0,,,,
5946,PSSCH,OK,14,9,2,400,0,-nan,100000000000.0,,,,
6039,PSSCH,OK,4,1,1,22,0,-nan,100000000000.0,,,,
6041,PSSCH,OK,16,1,1,400,0,-nan,100000000000.0,,,,
6043,PSSCH,OK,5,1,11,400,0,-nan,100000000000.0,,,,
6045,PSSCH,OK,14,17,3,400,0,-nan,100000000000.0,,,,
6122,PSSCH,OK,16,1,2,400,0,-nan,100000000000.0,,,,
6124,PSSCH,OK,5,1,12,400,0,-nan,100000000000.0,,,,
6126,PSSCH,OK,14,9,4,400,0,-nan,100000000000.0,,,,
6197,PSSCH,OK,16,1,3,400,0,-nan,100000000000.0,,,,
6199,PSSCH,OK,14,17,5,400,0,-nan,100000000000.0,,,,
6269,PSSCH,OK,16,1,4,400,0,-nan,100000000000.0,,,,
6271,PSSCH,OK,5,1,14,400,0,-nan,100000000000.0,,,,
6273,PSSCH,OK,14,9,6,400,0,-nan,100000000000.0,,,,
6352,PSSCH,OK,16,1,5,400,0,-nan,100000000000.0,,,,
6354,PSSCH,OK,5,1,15,400,0,-nan,100000000000.0,,,,
6356,PSSCH,OK,14,17,7,400,0,-nan,100000000000.0,,,,
6453,PSSCH,OK,2,1,0,32,0,-nan,100000000000.0,,,,
6455,PSSCH,OK,16,1,6,400,0,-nan,100000000000.0,,,,
6457,PSSCH,OK,5,1,0,400,0,-nan,100000000000.0,,,,
6459,PSSCH,OK,14,9,8,400,0,-nan,100000000000.0,,,,
6540,PSSCH,OK,16,1,7,400,0,-nan,100000000000.0,,,,
6542,PSSCH,OK,5,1,1,400,0,-nan,100000000000.0,,,,
6544,PSSCH,OK,14,17,9,400,0,-nan,100000000000.0,,,,
6620,PSSCH,OK,16,1,8,400,0,-nan,100000000000.0,,,,
6622,PSSCH,OK,5,1,2,400,0,-nan,100000000000.0,,,,
6624,PSSCH,OK,14,9,10,400,0,-nan,100000000000.0,,,,
6705,PSSCH,OK,16,1,9,400,0,-nan,100000000000.0,,,,
6707,PSSCH,OK,5,1,3,400,0,-nan,100000000000.0,,,,
6709,PSSCH,OK,14,17,11,400,0,-nan,100000000000.0,,,,
6780,PSSCH,OK,16,1,10,400,0,-nan,100000000000.0,,,,
6782,PSSCH,OK,5,1,4,400,0,-nan,100000000000.0,,,,
6784,PSSCH,OK,14,1,12,12,0.0005,-nan,100000000000.0,,,,
6851,PSSCH,OK,16,1,11,332,0,-nan,100000000000.0,,,,
6853,PSSCH,OK,5,1,5,400,0,-nan,100000000000.0,,,,
6855,PSSCH,OK,14,9,13,400,0,-nan,100000000000.0,,,,
6906,PSSCH,OK,5,1,6,400,0,-nan,100000000000.0,,,,
6908,PSSCH,OK,14,17,14,400,0,-nan,100000000000.0,,,,
6965,PSSCH,OK,5,1,7,400,0,-nan,100000000000.0,,,,
6967,PSSCH,OK,14,9,15,400,0,-nan,100000000000.0,,,,
7017,PSSCH,OK,5,1,8,400,0,-nan,100000000000.0,,,,
7019,PSSCH,OK,14,17,0,400,0,-nan,100000000000.0,,,,
7073,PSSCH,OK,5,1,9,400,0,-nan,100000000000.0,,,,
7075,PSSCH,OK,14,9,1,400,0,-nan,100000000000.0,,,,
7138,PSSCH,OK,5,1,10,400,0,-nan,100000000000.0,,,,
7140,PSSCH,OK,14,17,2,400,0,-nan,100000000000.0,,,,
7186,PSSCH,OK,5,1,11,400,0,-nan,100000000000.0,,,,
7188,PSSCH,OK,14,9,3,275,0,-nan,100000000000.0,,,,
7234,PSSCH,OK,5,1,12,15,0,-nan,100000000000.0,,,,
7236,PSSCH,OK,14,17,4,400,0,-nan,100000000000.0,,,,
7264,PSSCH,OK,14,17,5,400,0,-nan,100000000000.0,,,,
7287,PSSCH,OK,14,17,6,400,0,-nan,100000000000.0,,,,
7310,PSSCH,OK,14,17,7,67,0.0001,-nan,100000000000.0,,,,
7337,PSSCH,OK,16,1,12,42,0.0001,-nan,100000000000.0,,,,
7370,PSSCH,OK,14,9,8,62,0.0001,-nan,100000000000.0,,,,
7393,PSSCH,OK,5,1,13,54,0.0001,-nan,100000000000.0,,,,
7427,PSSCH,OK,14,17,9,68,0.0001,-nan,100000000000.0,,,,
7653,PSSCH,OK,14,9,10,400,0,-nan,100000000000.0,,,,
7784,PSSCH,OK,21,12,3,400,0,-nan,100000000000.0,,,,
7786,PSSCH,OK,14,17,11,400,0,-nan,100000000000.0,,,,
7916,PSSCH,OK,14,9,12,400,0,-nan,100000000000.0,,,,
7918,PSSCH,OK,21,12,4,400,0,-nan,100000000000.0,,,,
8052,PSSCH,OK,14,17,13,400,0,-nan,100000000000.0,,,,
8181,PSSCH,OK,14,9,14,400,0,-nan,100000000000.0,,,,
8183,PSSCH,OK,21,12,6,400,0,-nan,100000000000.0,,,,
8313,PSSCH,OK,21,3,7,400,0,-nan,100000000000.0,,,,
8315,PSSCH,OK,14,17,15,400,0,-nan,100000000000.0,,,,
8441,PSSCH,OK,14,9,0,400,0,-nan,100000000000.0,,,,
8443,PSSCH,OK,21,12,8,400,0,-nan,100000000000.0,,,,
8553,PSSCH,OK,21,3,9,400,0,-nan,100000000000.0,,,,
8555,PSSCH,OK,14,17,1,400,0,-nan,100000000000.0,,,,
8639,PSSCH,OK,20,2,14,400,0,-nan,100000000000.0,,,,
8641,PSSCH,OK,16,5,5,3,0,-nan,100000000000.0,,,,
8643,PSSCH,OK,14,9,2,400,0,-nan,100000000000.0,,,,
8645,PSSCH,OK,21,12,10,400,0,-nan,100000000000.0,,,,
8717,PSSCH,OK,20,2,15,400,0,-nan,100000000000.0,,,,
8719,PSSCH,OK,21,3,11,400,0,-nan,100000000000.0,,,,
8721,PSSCH,OK,14,17,3,400,0,-nan,100000000000.0,,,,
8792,PSSCH,OK,20,2,0,400,0,-nan,100000000000.0,,,,
8794,PSSCH,OK,14,9,4,400,0,-nan,100000000000.0,,,,
8796,PSSCH,OK,21,12,12,400,0,-nan,100000000000.0,,,,
8867,PSSCH,OK,20,2,1,400,0,-nan,100000000000.0,,,,
8869,PSSCH,OK,21,3,13,400,0,-nan,100000000000.0,,,,
8871,PSSCH,OK,14,17,5,400,0,-nan,100000000000.0,,,,
8942,PSSCH,OK,20,2,2,400,0,-nan,100000000000.0,,,,
8944,PSSCH,OK,14,9,6,400,0,-nan,100000000000.0,,,,
8946,PSSCH,OK,21,12,14,400,0,-nan,100000000000.0,,,,
9017,PSSCH,OK,20,2,3,400,0,-nan,100000000000.0,,,,
9019,PSSCH,OK,21,3,15,400,0,-nan,100000000000.0,,,,
9021,PSSCH,OK,14,17,7,400,0,-nan,100000000000.0,,,,
9091,PSSCH,OK,20,2,4,400,0,-nan,100000000000.0,,,,
9093,PSSCH,OK,14,9,8,400,0,-nan,100000000000.0,,,,
9095,PSSCH,OK,21,12,0,400,0,-nan,100000000000.0,,,,
9166,PSSCH,OK,20,2,5,400,0,-nan,100000000000.0,,,,
9168,PSSCH,OK,21,3,1,355,0,-nan,100000000000.0,,,,
9170,PSSCH,OK,14,17,9,400,0,-nan,100000000000.0,,,,
9241,PSSCH,OK,20,2,6,400,0,-nan,100000000000.0,,,,
9243,PSSCH,OK,14,9,10,400,0,-nan,100000000000.0,,,,
9245,PSSCH,OK,21,12,2,400,0,-nan,100000000000.0,,,,
9316,PSSCH,OK,20,2,7,400,0,-nan,100000000000.0,,,,
9318,PSSCH,OK,21,12,3,400,0,-nan,100000000000.0,,,,
9320,PSSCH,OK,14,17,11,400,0,-nan,100000000000.0,,,,
9424,PSSCH,OK,20,2,8,70,0.0001,-nan,100000000000.0,,,,
9426,PSSCH,OK,14,9,12,400,0,-nan,100000000000.0,,,,
9428,PSSCH,OK,21,12,4,400,0,-nan,100000000000.0,,,,
9502,PSSCH,OK,21,12,5,400,0,-nan,100000000000.0,,,,
9504,PSSCH,OK,14,17,13,400,0,-nan,100000000000.0,,,,
9632,PSSCH,OK,14,9,14,400,0,-nan,100000000000.0,,,,
9634,PSSCH,OK,21,12,6,400,0,-nan,100000000000.0,,,,
9752,PSSCH,OK,13,,,,,,,,,,
9755,PSSCH,OK,21,12,7,400,0,-nan,100000000000.0,,,,
9757,PSSCH,OK,5,16,7,400,0,-nan,100000000000.0,,,,
9759,PSSCH,OK,14,17,15,400,0,-nan,100000000000.0,,,,
9879,PSSCH,OK,13,,,,,,,,,,
9882,PSSCH,OK,21,12,8,400,0,-nan,100000000000.0,,,,
9884,PSSCH,OK,19,16,2,400,0,-nan,100000000000.0,,,,
9886,PSSCH,OK,5,16,8,400,0,-nan,100000000000.0,,,,
10004,PSSCH,OK,14,9,1,400,0,-nan,100000000000.0,,,,
10006,PSSCH,OK,21,12,9,400,0,-nan,100000000000.0,,,,
10008,PSSCH,OK,19,16,3,400,0,-nan,100000000000.0,,,,
10010,PSSCH,OK,5,16,9,400,0,-nan,100000000000.0,,,,
10124,PSSCH,OK,13,,,,,,,,,,
10127,PSSCH,OK,21,12,10,3,0,-nan,100000000000.0,,,,
10129,PSSCH,OK,5,16,10,35,0,-nan,100000000000.0,,,,
10131,PSSCH,OK,14,17,2,400,0,-nan,100000000000.0,,,,
10215,PSSCH,OK,13,,,,,,,,,,
10218,PSSCH,OK,19,16,5,83,0.0001,-nan,100000000000.0,,,,
10268,PSSCH,OK,14,9,4,400,0,-nan,100000000000.0,,,,
10310,PSSCH,OK,14,17,5,400,0,-nan,100000000000.0,,,,
10312,PSSCH,OK,2,20,9,16,0,-nan,100000000000.0,,,,
10340,PSSCH,OK,14,19,6,67,0.0001,-nan,100000000000.0,,,,
10367,PSSCH,OK,14,9,7,400,0,-nan,100000000000.0,,,,
10394,PSSCH,OK,14,17,8,400,0,-nan,100000000000.0,,,,
10421,PSSCH,OK,14,9,9,400,0,-nan,100000000000.0,,,,
10448,PSSCH,OK,14,17,10,400,0,-nan,100000000000.0,,,,
10481,PSSCH,OK,14,9,11,400,0,-nan,100000000000.0,,,,
10526,PSSCH,OK,21,3,11,16,0,-nan,100000000000.0,,,,
10528,PSSCH,OK,14,17,12,400,0,-nan,100000000000.0,,,,
10556,PSSCH,OK,14,9,13,400,0,-nan,100000000000.0,,,,
10583,PSSCH,OK,14,17,14,400,0,-nan,100000000000.0,,,,
10614,PSSCH,OK,14,9,15,400,0,-nan,100000000000.0,,,,
10712,PSSCH,OK,20,2,9,38,0,-nan,100000000000.0,,,,
10714,PSSCH,OK,14,17,0,400,0,-nan,100000000000.0,,,,
10770,PSSCH,OK,14,9,1,400,0,-nan,100000000000.0,,,,
10911,PSSCH,OK,12,1,7,400,0,-nan,100000000000.0,,,,
10913,PSSCH,OK,9,1,7,400,0,-nan,100000000000.0,,,,
10915,PSSCH,OK,17,1,7,400,0,-nan,100000000000.0,,,,
10917,PSSCH,OK,4,1,2,400,0,-nan,100000000000.0,,,,
10919,PSSCH,OK,13,,,,,,,,,,
10922,PSSCH,OK,3,1,3,400,0,-nan,100000000000.0,,,,
10924,PSSCH,OK,21,1,12,400,0,-nan,100000000000.0,,,,
11071,PSSCH,OK,17,1,8,400,0,-nan,100000000000.0,,,,
11073,PSSCH,OK,12,1,8,400,0,-nan,100000000000.0,,,,
11075,PSSCH,OK,9,1,8,400,0,-nan,100000000000.0,,,,
11077,PSSCH,OK,13,,,,,,,,,,
11080,PSSCH,OK,3,1,4,400,0,-nan,100000000000.0,,,,
11082,PSSCH,OK,21,1,13,400,0,-nan,100000000000.0,,,,
11232,PSSCH,OK,12,1,9,400,0,-nan,100000000000.0,,,,
11234,PSSCH,OK,9,1,9,400,0,-nan,100000000000.0,,,,
11236,PSSCH,OK,17,1,9,400,0,-nan,100000000000.0,,,,
11238,PSSCH,OK,4,1,4,400,0,-nan,100000000000.0,,,,
11240,PSSCH,OK,13,,,,,,,,,,
11243,PSSCH,OK,3,1,5,400,0,-nan,100000000000.0,,,,
11245,PSSCH,OK,21,1,14,400,0,-nan,100000000000.0,,,,
11394,PSSCH,OK,12,1,10,400,0,-nan,100000000000.0,,,,
11396,PSSCH,OK,9,1,10,400,0,-nan,100000000000.0,,,,
11398,PSSCH,OK,17,1,10,400,0,-nan,100000000000.0,,,,
11400,PSSCH,OK,4,1,5,400,0,-nan,100000000000.0,,,,
11402,PSSCH,OK,13,,,,,,,,,,
11405,PSSCH,OK,3,1,6,400,0,-nan,100000000000.0,,,,
11407,PSSCH,OK,21,1,15,400,0,-nan,100000000000.0,,,,
11570,PSSCH,OK,12,1,11,400,0,-nan,100000000000.0,,,,
11572,PSSCH,OK,9,1,11,400,0,-nan,100000000000.0,,,,
11574,PSSCH,OK,17,1,11,400,0,-nan,100000000000.0,,,,
11576,PSSCH,OK,4,1,6,400,0,-nan,100000000000.0,,,,
11578,PSSCH,OK,13,,,,,,,,,,
11702,PSSCH,OK,12,1,12,83,0.0001,-nan,100000000000.0,,,,
