frame_index,timestamp,planned_requests,observed_cam_received,bridge_observed_delivery_ratio,planned_bytes,observed_bytes,avg_delay_ms,p95_delay_ms,max_delay_ms
0,000060,46,13,0.2826086956521739,125888,26000,40.46153846153846,202.0,202.0
1,000062,46,19,0.41304347826086957,121456,38992,74.26315789473684,202.0,202.0
2,000064,45,22,0.4888888888888889,105056,55184,79.68181818181819,202.0,202.0
