line_no,frame_index,event,rnti,lcid,source_node,target_node,request_id,sn,fi,size,harq_id,bwp_id,layer,vr_ur,vr_uh,timestamp,area_id,upload_type,plan_index,pkt_id,matched
797,2,TX,4,5,4,1,22,3,3,400,3,0,0,,,000064,12_4,leader_to_rsu,114,114,1
801,2,TX,9,5,9,1,21,3,3,400,3,0,0,,,000064,12_3,leader_to_rsu,113,113,1
805,2,TX,12,5,12,1,20,3,3,400,3,0,0,,,000064,12_11,leader_to_rsu,112,112,1
809,2,TX,13,5,13,1,26,3,3,400,3,0,0,,,000064,13_0,leader_to_rsu,118,118,1
813,2,TX,17,5,17,1,25,3,3,400,3,0,0,,,000064,12_9,leader_to_rsu,117,117,1
922,2,RX,1,5,12,1,20,1,3,400,,,,,,000064,12_11,leader_to_rsu,112,112,1
923,2,RX,1,5,17,1,25,1,3,400,,,,,,000064,12_9,leader_to_rsu,117,117,1
924,2,RX,1,5,4,1,22,1,3,400,,,,,,000064,12_4,leader_to_rsu,114,114,1
937,2,TX,3,5,3,21,10,3,3,400,6,0,0,,,000064,12_7,member_to_leader,102,102,1
941,2,TX,5,5,5,16,3,5,3,400,5,0,0,,,000064,11_5,member_to_leader,95,95,1
945,2,TX,14,5,14,9,2,3,3,400,6,0,0,,,000064,11_8,member_to_leader,94,94,1
949,2,TX,16,5,16,5,9,5,3,355,5,0,0,,,000064,13_2,member_to_leader,101,101,1
953,2,TX,19,5,19,14,8,5,3,400,5,0,0,,,000064,15_8,member_to_leader,100,100,1
957,2,TX,20,5,20,2,6,5,3,400,5,0,0,,,000064,16_5,member_to_leader,98,98,1
961,2,TX,21,5,21,12,4,2,3,400,6,0,0,,,000064,15_2,member_to_leader,96,96,1
965,2,TX,4,5,4,1,22,4,3,400,4,0,0,,,000064,12_4,leader_to_rsu,114,114,1
969,2,TX,9,5,9,1,21,4,3,400,4,0,0,,,000064,12_3,leader_to_rsu,113,113,1
973,2,TX,12,5,12,1,20,4,3,400,4,0,0,,,000064,12_11,leader_to_rsu,112,112,1
977,2,TX,13,5,13,1,26,4,3,400,4,0,0,,,000064,13_0,leader_to_rsu,118,118,1
981,2,TX,17,5,17,1,25,4,3,400,4,0,0,,,000064,12_9,leader_to_rsu,117,117,1
1090,2,RX,1,5,13,1,26,2,3,400,,,,,,000064,13_0,leader_to_rsu,118,118,1
1091,2,RX,1,5,9,1,21,2,3,400,,,,,,000064,12_3,leader_to_rsu,113,113,1
1092,2,RX,1,5,4,1,22,2,3,400,,,,,,000064,12_4,leader_to_rsu,114,114,1
1093,2,RX,1,5,3,1,17,1,3,400,,,,,,000064,11_5,leader_to_rsu,109,109,1
1101,2,TX,3,5,3,1,17,3,3,400,7,0,0,,,000064,11_5,leader_to_rsu,109,109,1
1105,2,TX,5,5,5,16,3,6,3,400,6,0,0,,,000064,11_5,member_to_leader,95,95,1
1109,2,TX,14,5,14,17,1,3,3,400,7,0,0,,,000064,12_9,member_to_leader,93,93,1
1113,2,TX,19,5,19,14,8,6,3,19,6,0,0,,,000064,15_8,member_to_leader,100,100,1
1117,2,TX,20,5,20,2,6,6,3,400,6,0,0,,,000064,16_5,member_to_leader,98,98,1
1121,2,TX,21,5,21,3,5,2,3,400,7,0,0,,,000064,16_8,member_to_leader,97,97,1
1125,2,TX,4,5,4,1,22,5,3,83,5,0,0,,,000064,12_4,leader_to_rsu,114,114,1
1129,2,TX,9,5,9,1,21,5,3,83,5,0,0,,,000064,12_3,leader_to_rsu,113,113,1
1133,2,TX,12,5,12,1,20,5,3,83,5,0,0,,,000064,12_11,leader_to_rsu,112,112,1
1137,2,TX,13,5,13,1,26,5,3,83,5,0,0,,,000064,13_0,leader_to_rsu,118,118,1
1141,2,TX,17,5,17,1,25,5,3,83,5,0,0,,,000064,12_9,leader_to_rsu,117,117,1
1250,2,RX,1,5,12,1,20,3,3,400,,,,,,000064,12_11,leader_to_rsu,112,112,1
1251,2,RX,1,5,4,1,22,3,3,400,,,,,,000064,12_4,leader_to_rsu,114,114,1
1266,2,TX,3,5,3,21,10,4,3,400,8,0,0,,,000064,12_7,member_to_leader,102,102,1
1270,2,TX,5,5,5,16,3,7,3,400,7,0,0,,,000064,11_5,member_to_leader,95,95,1
1274,2,TX,14,5,14,9,2,4,3,400,8,0,0,,,000064,11_8,member_to_leader,94,94,1
1278,2,TX,20,5,20,2,6,7,3,275,7,0,0,,,000064,16_5,member_to_leader,98,98,1
1282,2,TX,21,5,21,1,19,2,3,400,8,0,0,,,000064,11_8,leader_to_rsu,111,111,1
1393,2,RX,1,5,13,1,26,4,3,400,,,,,,000064,13_0,leader_to_rsu,118,118,1
1394,2,RX,1,5,12,1,20,4,3,400,,,,,,000064,12_11,leader_to_rsu,112,112,1
1395,2,RX,1,5,9,1,21,4,3,400,,,,,,000064,12_3,leader_to_rsu,113,113,1
1396,2,RX,1,5,3,1,17,2,3,400,,,,,,000064,11_5,leader_to_rsu,109,109,1
1397,2,RX,2,5,20,2,6,5,3,400,,,,,,000064,16_5,member_to_leader,98,98,1
1409,2,TX,3,5,3,1,17,4,3,400,9,0,0,,,000064,11_5,leader_to_rsu,109,109,1
1413,2,TX,5,5,5,16,3,8,3,400,8,0,0,,,000064,11_5,member_to_leader,95,95,1
1417,2,TX,14,5,14,17,1,4,3,400,9,0,0,,,000064,12_9,member_to_leader,93,93,1
1421,2,TX,21,5,21,12,4,3,3,400,9,0,0,,,000064,15_2,member_to_leader,96,96,1
1502,2,RX,1,5,17,1,25,5,3,83,,,,,,000064,12_9,leader_to_rsu,117,117,1
1503,2,RX,1,5,9,1,21,5,3,83,,,,,,000064,12_3,leader_to_rsu,113,113,1
1504,2,RX,2,5,20,2,6,6,3,400,,,,,,000064,16_5,member_to_leader,98,98,1
1505,2,RX,16,5,5,16,3,6,3,400,,,,,,000064,11_5,member_to_leader,95,95,1
1517,2,TX,3,5,3,21,10,5,3,211,10,0,0,,,000064,12_7,member_to_leader,102,102,1
1521,2,TX,5,5,5,16,3,9,3,400,9,0,0,,,000064,11_5,member_to_leader,95,95,1
1525,2,TX,14,5,14,9,2,5,3,400,10,0,0,,,000064,11_8,member_to_leader,94,94,1
1529,2,TX,21,5,21,3,5,3,3,400,10,0,0,,,000064,16_8,member_to_leader,97,97,1
1598,2,RX,1,5,3,1,17,3,3,400,,,,,,000064,11_5,leader_to_rsu,109,109,1
1599,2,RX,2,5,20,2,6,7,3,275,,,,,,000064,16_5,member_to_leader,98,98,1
1600,2,RX,16,5,5,16,3,7,3,400,,,,,,000064,11_5,member_to_leader,95,95,1
1605,2,TX,3,5,3,1,17,5,3,400,11,0,0,,,000064,11_5,leader_to_rsu,109,109,1
1609,2,TX,5,5,5,16,3,10,3,400,10,0,0,,,000064,11_5,member_to_leader,95,95,1
1613,2,TX,14,5,14,17,1,5,3,400,11,0,0,,,000064,12_9,member_to_leader,93,93,1
1617,2,TX,21,5,21,1,19,3,3,400,11,0,0,,,000064,11_8,leader_to_rsu,111,111,1
1686,2,RX,9,5,14,9,2,4,3,400,,,,,,000064,11_8,member_to_leader,94,94,1
1687,2,RX,16,5,5,16,3,8,3,400,,,,,,000064,11_5,member_to_leader,95,95,1
1697,2,TX,3,5,3,1,18,6,3,400,12,0,0,,,000064,11_7,leader_to_rsu,110,110,1
1701,2,TX,5,5,5,16,3,11,3,400,11,0,0,,,000064,11_5,member_to_leader,95,95,1
1705,2,TX,14,5,14,9,2,6,3,400,12,0,0,,,000064,11_8,member_to_leader,94,94,1
1709,2,TX,21,5,21,12,4,4,3,400,12,0,0,,,000064,15_2,member_to_leader,96,96,1
1778,2,RX,1,5,3,1,17,4,3,400,,,,,,000064,11_5,leader_to_rsu,109,109,1
1779,2,RX,12,5,21,12,4,3,3,400,,,,,,000064,15_2,member_to_leader,96,96,1
