timestamp,agent_count,area_count,delta_g,objective,greedy_value,optimal_value,absolute_gap,relative_gap,greedy_mean_conf,optimal_mean_conf,greedy_packet_count,optimal_packet_count,greedy_max_load,optimal_max_load,candidate_combinations
000060,5,3,0.050000,O3_confidence_latency_ratio,0.689655,0.714286,0.024631,0.034483,1.000000,1.000000,3,4,3,2,15625
000060,5,3,0.075000,O3_confidence_latency_ratio,0.689655,0.714286,0.024631,0.034483,1.000000,1.000000,3,4,3,2,15625
000060,5,3,0.100000,O3_confidence_latency_ratio,0.689655,0.714286,0.024631,0.034483,1.000000,1.000000,3,4,3,2,15625
000060,5,3,0.125000,O3_confidence_latency_ratio,0.689655,0.714286,0.024631,0.034483,1.000000,1.000000,3,4,3,2,15625
000062,5,3,0.050000,O3_confidence_latency_ratio,0.689655,0.714286,0.024631,0.034483,1.000000,1.000000,3,4,3,2,15625
000062,5,3,0.075000,O3_confidence_latency_ratio,0.689655,0.714286,0.024631,0.034483,1.000000,1.000000,3,4,3,2,15625
000062,5,3,0.100000,O3_confidence_latency_ratio,0.689655,0.714286,0.024631,0.034483,1.000000,1.000000,3,4,3,2,15625
000062,5,3,0.125000,O3_confidence_latency_ratio,0.689655,0.714286,0.024631,0.034483,1.000000,1.000000,3,4,3,2,15625
000064,5,3,0.050000,O3_confidence_latency_ratio,0.689655,0.714286,0.024631,0.034483,1.000000,1.000000,3,4,3,2,15625
000064,5,3,0.075000,O3_confidence_latency_ratio,0.689655,0.714286,0.024631,0.034483,1.000000,1.000000,3,4,3,2,15625
000064,5,3,0.100000,O3_confidence_latency_ratio,0.689655,0.714286,0.024631,0.034483,1.000000,1.000000,3,4,3,2,15625
000064,5,3,0.125000,O3_confidence_latency_ratio,0.689655,0.714286,0.024631,0.034483,1.000000,1.000000,3,4,3,2,15625
000066,5,3,0.050000,O3_confidence_latency_ratio,0.689655,0.714286,0.024631,0.034483,1.000000,1.000000,3,4,3,2,15625
000066,5,3,0.075000,O3_confidence_latency_ratio,0.689655,0.714286,0.024631,0.034483,1.000000,1.000000,3,4,3,2,15625
