upload_type,planned_byte_bin,planned_requests,planned_bytes,requests_with_rlc_tx,requests_with_rlc_rx,requests_with_pssch_ok,requests_with_pssch_fail,requests_with_cam_received,rlc_rx_ratio,pssch_ok_ratio,cam_received_ratio
leader_to_rsu,2000-4000,90,180000,87,82,82,0,52,0.911111,0.911111,0.577778
member_to_leader,0-1000,7,4944,4,4,4,0,0,0.571429,0.571429,0.000000
member_to_leader,1000-2000,9,15392,5,2,2,0,0,0.222222,0.222222,0.000000
member_to_leader,2000-4000,21,55200,21,12,12,0,1,0.571429,0.571429,0.047619
member_to_leader,4000-8000,4,23072,4,4,4,0,0,1.000000,1.000000,0.000000
member_to_leader,8000-16000,6,73792,6,6,6,0,1,1.000000,1.000000,0.166667
