scenario_id,timestamp,receiver_id,receiver_policy,coperception_yaml,resource_allocation,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,selective_frame_deadline_ms,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,frame_comm_time_ms,num_channels,bandwidth_mhz,communication_deadline_ms,sgcp_frame_mbps_budget,sgcp_frame_budget_bytes,sgcp_frame_budget_original_bytes,sgcp_frame_budget_admitted_bytes,max_senders_per_receiver,channel_estimator,ns3_tb_size_bytes,ns3_slot_duration_ms,ns3_subchannel_prbs,ns3_symbols_per_slot,ns3_mcs,pcs_rounds_requested,pcs_rounds_accepted,pcs_round_comm_time_ms_json,pcs_round_comm_bytes_json,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_15_01_26_56,000062,17,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_pacp_lidar,grid,,,,,,,cov_coalition_game,6,60.0,3;14;17;18,17;18;14;3,18;14;3,"{""3"": 39, ""14"": 39, ""18"": 39}","{""3"": 4810, ""14"": 4982, ""17"": 4985, ""18"": 4941}",235728,13.110567296996663,10,40.0,100.0,,,,,2,ns3,899,0.5,10,12,28,,,[],[],,18;14;3,10,16,
2026_07_15_01_26_56,000062,19,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_pacp_lidar,grid,,,,,,,cov_coalition_game,6,60.0,9;10;13;19,19;9;10;13,9;10;13,"{""9"": 39, ""10"": 39, ""13"": 39}","{""9"": 4842, ""10"": 4919, ""13"": 4745, ""19"": 4823}",232096,12.908565072302558,10,40.0,100.0,,,,,2,ns3,899,0.5,10,12,28,,,[],[],,9;10;13,19,36,
2026_07_15_01_26_56,000064,1,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_pacp_lidar,grid,,,,,,,cov_coalition_game,6,60.0,1;2;8;11,1;8;11;2,8;11;2,"{""2"": 39, ""8"": 39, ""11"": 39}","{""1"": 4921, ""2"": 4803, ""8"": 4776, ""11"": 4850}",230864,12.840044493882091,10,40.0,100.0,,,,,2,ns3,899,0.5,10,12,28,,,[],[],,8;11;2,29,46,
2026_07_15_01_26_56,000064,12,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_pacp_lidar,grid,,,,,,,cov_coalition_game,6,60.0,4;12,12;4,4,"{""4"": 40}","{""4"": 4812, ""12"": 4896}",76992,4.282091212458287,10,40.0,100.0,,,,,2,ns3,899,0.5,10,12,28,,,[],[],,4,16,35,
2026_07_15_01_26_56,000064,15,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_pacp_lidar,grid,,,,,,,cov_coalition_game,6,60.0,6;15,15;6,6,"{""6"": 39}","{""6"": 4507, ""15"": 4750}",72112,4.010678531701891,10,40.0,100.0,,,,,2,ns3,899,0.5,10,12,28,,,[],[],,6,16,17,
2026_07_15_01_26_56,000064,16,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_pacp_lidar,grid,,,,,,,cov_coalition_game,6,60.0,5;7;16;20,16;5;7;20,5;7;20,"{""5"": 39, ""7"": 39, ""20"": 38}","{""5"": 4880, ""7"": 4796, ""16"": 4850, ""20"": 4840}",232256,12.9174638487208,10,40.0,100.0,,,,,2,ns3,899,0.5,10,12,28,,,[],[],,5;7;20,21,32,
2026_07_15_01_26_56,000064,17,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_pacp_lidar,grid,,,,,,,cov_coalition_game,6,60.0,3;14;17;18,17;18;14;3,18;14;3,"{""3"": 39, ""14"": 39, ""18"": 39}","{""3"": 4746, ""14"": 4990, ""17"": 4966, ""18"": 4930}",234656,13.050945494994439,10,40.0,100.0,,,,,2,ns3,899,0.5,10,12,28,,,[],[],,18;14;3,11,16,
2026_07_15_01_26_56,000064,19,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_pacp_lidar,grid,,,,,,,cov_coalition_game,6,60.0,9;10;13;19,19;9;10;13,9;10;13,"{""9"": 39, ""10"": 39, ""13"": 39}","{""9"": 4838, ""10"": 4903, ""13"": 4754, ""19"": 4819}",231920,12.898776418242491,10,40.0,100.0,,,,,2,ns3,899,0.5,10,12,28,,,[],[],,9;10;13,13,36,
2026_07_15_01_26_56,000066,1,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_pacp_lidar,grid,,,,,,,cov_coalition_game,6,60.0,1;2;8;11,1;8;11;2,8;11;2,"{""2"": 38, ""8"": 39, ""11"": 38}","{""1"": 4922, ""2"": 4802, ""8"": 4800, ""11"": 4817}",230704,12.83114571746385,10,40.0,100.0,,,,,2,ns3,899,0.5,10,12,28,,,[],[],,8;11;2,30,47,
2026_07_15_01_26_56,000066,12,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_pacp_lidar,grid,,,,,,,cov_coalition_game,6,60.0,4;7;12,12;7;4,7;4,"{""4"": 38, ""7"": 38}","{""4"": 4798, ""7"": 4812, ""12"": 4884}",153760,8.551724137931036,10,40.0,100.0,,,,,2,ns3,899,0.5,10,12,28,,,[],[],,7;4,23,42,
