scenario_id,timestamp,receiver_id,receiver_policy,coperception_yaml,resource_allocation,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,selective_frame_deadline_ms,selective_global_budget_bytes,selective_global_admitted_bytes,selective_global_candidate_bytes,selective_global_admitted_links,selective_global_candidate_links,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,frame_comm_time_ms,num_channels,bandwidth_mhz,communication_deadline_ms,sgcp_frame_mbps_budget,sgcp_frame_budget_bytes,sgcp_frame_budget_original_bytes,sgcp_frame_budget_admitted_bytes,upload_density_cap_rho,edgecooper_pmax_density_cap_rho,local_preserving_output,local_preserving_extra_calls,local_preserving_extra_point_counts_json,upload_density_cap_seed,max_senders_per_receiver,channel_estimator,ns3_tb_size_bytes,ns3_slot_duration_ms,ns3_subchannel_prbs,ns3_symbols_per_slot,ns3_mcs,pcs_rounds_requested,pcs_rounds_accepted,pcs_round_comm_time_ms_json,pcs_round_comm_bytes_json,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_29_02_32_08,000060,11,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_edgecooper_global_pmax,grid,,,,,,,singleton,20,60.0,1078800,1078800,1507424,49,49,11,11;2;8;9,2;8;9,"{""2"": 12, ""8"": 13, ""9"": 13}","{""2"": 1152, ""8"": 1033, ""9"": 2141, ""11"": 13866}",69216,3.849610678531702,10,40.0,60.0,,,,,2.0,2.0,1,1,"{""11"": 13866}",,2,ns3,899,0.5,10,12,28,,,[],[],,2;8;9,27,57,
2026_07_29_02_32_08,000060,12,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_edgecooper_global_pmax,grid,,,,,,,singleton,20,60.0,1078800,1078800,1507424,49,49,12,12;4;7,4;7,"{""4"": 12, ""7"": 13}","{""4"": 893, ""7"": 1888, ""12"": 13881}",44496,2.4747497219132373,10,40.0,60.0,,,,,2.0,2.0,1,1,"{""12"": 13881}",,2,ns3,899,0.5,10,12,28,,,[],[],,4;7,27,47,
2026_07_29_02_32_08,000060,13,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_edgecooper_global_pmax,grid,,,,,,,singleton,20,60.0,1078800,1078800,1507424,49,49,13,13;5;10;19,5;10;19,"{""5"": 13, ""10"": 12, ""19"": 11}","{""5"": 1610, ""10"": 1327, ""13"": 13569, ""19"": 484}",54736,3.0442714126807564,10,40.0,60.0,,,,,2.0,2.0,1,1,"{""13"": 13569}",,2,ns3,899,0.5,10,12,28,,,[],[],,5;10;19,23,44,
2026_07_29_02_32_08,000060,14,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_edgecooper_global_pmax,grid,,,,,,,singleton,20,60.0,1078800,1078800,1507424,49,49,14,14,,{},"{""14"": 14331}",0,0.0,10,40.0,60.0,,,,,2.0,2.0,0,,{},,2,ns3,899,0.5,10,12,28,,,[],[],,,3,5,
2026_07_29_02_32_08,000060,15,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_edgecooper_global_pmax,grid,,,,,,,singleton,20,60.0,1078800,1078800,1507424,49,49,15,15;6,6,"{""6"": 13}","{""6"": 1908, ""15"": 13458}",30528,1.6978865406006673,10,40.0,60.0,,,,,2.0,2.0,1,1,"{""15"": 13458}",,2,ns3,899,0.5,10,12,28,,,[],[],,6,17,21,
2026_07_29_02_32_08,000060,16,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_edgecooper_global_pmax,grid,,,,,,,singleton,20,60.0,1078800,1078800,1507424,49,49,16,16;3;10;20,3;10;20,"{""3"": 12, ""10"": 13, ""20"": 11}","{""3"": 2000, ""10"": 2070, ""16"": 13819, ""20"": 672}",75872,4.219799777530589,10,40.0,60.0,,,,,2.0,2.0,1,1,"{""16"": 13819}",,2,ns3,899,0.5,10,12,28,,,[],[],,3;10;20,32,60,
2026_07_29_02_32_08,000060,17,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_edgecooper_global_pmax,grid,,,,,,,singleton,20,60.0,1078800,1078800,1507424,49,49,17,17;3;18,3;18,"{""3"": 13, ""18"": 13}","{""3"": 1026, ""17"": 14142, ""18"": 1508}",40544,2.254949944382647,10,40.0,60.0,,,,,2.0,2.0,1,1,"{""17"": 14142}",,2,ns3,899,0.5,10,12,28,,,[],[],,3;18,17,30,
2026_07_29_02_32_08,000060,18,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_edgecooper_global_pmax,grid,,,,,,,singleton,20,60.0,1078800,1078800,1507424,49,49,18,18;3;17,3;17,"{""3"": 13, ""17"": 12}","{""3"": 1953, ""17"": 1659, ""18"": 14258}",57792,3.214238042269188,10,40.0,60.0,,,,,2.0,2.0,1,1,"{""18"": 14258}",,2,ns3,899,0.5,10,12,28,,,[],[],,3;17,17,30,
2026_07_29_02_32_08,000060,19,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_edgecooper_global_pmax,grid,,,,,,,singleton,20,60.0,1078800,1078800,1507424,49,49,19,19;9;13;16,9;13;16,"{""9"": 12, ""13"": 13, ""16"": 13}","{""9"": 774, ""13"": 1078, ""16"": 2444, ""19"": 13725}",68736,3.8229143492769744,10,40.0,60.0,,,,,2.0,2.0,1,1,"{""19"": 13725}",,2,ns3,899,0.5,10,12,28,,,[],[],,9;13;16,22,43,
2026_07_29_02_32_08,000060,20,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_edgecooper_global_pmax,grid,,,,,,,singleton,20,60.0,1078800,1078800,1507424,49,49,20,20;5;9;16,5;9;16,"{""5"": 12, ""9"": 13, ""16"": 12}","{""5"": 739, ""9"": 1612, ""16"": 917, ""20"": 13918}",52288,2.9081201334816464,10,40.0,60.0,,,,,2.0,2.0,1,1,"{""20"": 13918}",,2,ns3,899,0.5,10,12,28,,,[],[],,5;9;16,27,48,
2026_07_29_02_32_08,000062,1,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_edgecooper_global_pmax,grid,,,,,,,singleton,20,60.0,1078800,1078800,1510496,49,49,1,1;2;8;11,2;8;11,"{""2"": 13, ""8"": 12, ""11"": 13}","{""1"": 13948, ""2"": 1199, ""8"": 911, ""11"": 1478}",57408,3.1928809788654062,10,40.0,60.0,,,,,2.0,2.0,1,1,"{""1"": 13948}",,2,ns3,899,0.5,10,12,28,,,[],[],,2;8;11,33,53,
2026_07_29_02_32_08,000062,2,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_edgecooper_global_pmax,grid,,,,,,,singleton,20,60.0,1078800,1078800,1510496,49,49,2,2;1;10;11,1;10;11,"{""1"": 12, ""10"": 13, ""11"": 11}","{""1"": 706, ""2"": 13829, ""10"": 1970, ""11"": 716}",54272,3.018464961067853,10,40.0,60.0,,,,,2.0,2.0,1,1,"{""2"": 13829}",,2,ns3,899,0.5,10,12,28,,,[],[],,1;10;11,31,57,
2026_07_29_02_32_08,000062,3,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_edgecooper_global_pmax,grid,,,,,,,singleton,20,60.0,1078800,1078800,1510496,49,49,3,3;17;18,17;18,"{""17"": 13, ""18"": 13}","{""3"": 14164, ""17"": 1267, ""18"": 1659}",46816,2.603781979977753,10,40.0,60.0,,,,,2.0,2.0,1,1,"{""3"": 14164}",,2,ns3,899,0.5,10,12,28,,,[],[],,17;18,20,31,
2026_07_29_02_32_08,000062,4,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_edgecooper_global_pmax,grid,,,,,,,singleton,20,60.0,1078800,1078800,1510496,49,49,4,4;1;7;12,1;7;12,"{""1"": 13, ""7"": 12, ""12"": 12}","{""1"": 1861, ""4"": 13826, ""7"": 1686, ""12"": 1061}",73728,4.10055617352614,10,40.0,60.0,,,,,2.0,2.0,1,1,"{""4"": 13826}",,2,ns3,899,0.5,10,12,28,,,[],[],,1;7;12,29,57,
2026_07_29_02_32_08,000062,5,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_edgecooper_global_pmax,grid,,,,,,,singleton,20,60.0,1078800,1078800,1510496,49,49,5,5;7;13;20,7;13;20,"{""7"": 13, ""13"": 12, ""20"": 12}","{""5"": 13942, ""7"": 1598, ""13"": 1916, ""20"": 1038}",72832,4.050723025583982,10,40.0,60.0,,,,,2.0,2.0,1,1,"{""5"": 13942}",,2,ns3,899,0.5,10,12,28,,,[],[],,7;13;20,25,43,
2026_07_29_02_32_08,000062,6,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_edgecooper_global_pmax,grid,,,,,,,singleton,20,60.0,1078800,1078800,1510496,49,49,6,6;15,15,"{""15"": 13}","{""6"": 13002, ""15"": 1238}",19808,1.1016685205784205,10,40.0,60.0,,,,,2.0,2.0,1,1,"{""6"": 13002}",,2,ns3,899,0.5,10,12,28,,,[],[],,15,13,21,
2026_07_29_02_32_08,000062,7,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_edgecooper_global_pmax,grid,,,,,,,singleton,20,60.0,1078800,1078800,1510496,49,49,7,7;4;12;20,4;12;20,"{""4"": 13, ""12"": 13, ""20"": 12}","{""4"": 1296, ""7"": 13932, ""12"": 1715, ""20"": 1001}",64192,3.570189098998888,10,40.0,60.0,,,,,2.0,2.0,1,1,"{""7"": 13932}",,2,ns3,899,0.5,10,12,28,,,[],[],,4;12;20,31,44,
2026_07_29_02_32_08,000062,8,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_edgecooper_global_pmax,grid,,,,,,,singleton,20,60.0,1078800,1078800,1510496,49,49,8,8;1;2;4,1;2;4,"{""1"": 12, ""2"": 13, ""4"": 12}","{""1"": 1266, ""2"": 1632, ""4"": 1681, ""8"": 13742}",73264,4.0747497219132365,10,40.0,60.0,,,,,2.0,2.0,1,1,"{""8"": 13742}",,2,ns3,899,0.5,10,12,28,,,[],[],,1;2;4,28,47,
2026_07_29_02_32_08,000062,9,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_edgecooper_global_pmax,grid,,,,,,,singleton,20,60.0,1078800,1078800,1510496,49,49,9,9;5;13;19,5;13;19,"{""5"": 13, ""13"": 12, ""19"": 12}","{""5"": 1458, ""9"": 13818, ""13"": 1029, ""19"": 616}",49648,2.7612903225806456,10,40.0,60.0,,,,,2.0,2.0,1,1,"{""9"": 13818}",,2,ns3,899,0.5,10,12,28,,,[],[],,5;13;19,21,45,
2026_07_29_02_32_08,000062,10,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_edgecooper_global_pmax,grid,,,,,,,singleton,20,60.0,1078800,1078800,1510496,49,49,10,10;8;16;19,8;16;19,"{""8"": 13, ""16"": 12, ""19"": 13}","{""8"": 1363, ""10"": 14074, ""16"": 2159, ""19"": 959}",71696,3.9875417130144606,10,40.0,60.0,,,,,2.0,2.0,1,1,"{""10"": 14074}",,2,ns3,899,0.5,10,12,28,,,[],[],,8;16;19,27,54,
2026_07_29_02_32_08,000062,11,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_edgecooper_global_pmax,grid,,,,,,,singleton,20,60.0,1078800,1078800,1510496,49,49,11,11;2;8;9,2;8;9,"{""2"": 12, ""8"": 13, ""9"": 13}","{""2"": 1144, ""8"": 1035, ""9"": 2141, ""11"": 13869}",69120,3.8442714126807567,10,40.0,60.0,,,,,2.0,2.0,1,1,"{""11"": 13869}",,2,ns3,899,0.5,10,12,28,,,[],[],,2;8;9,27,58,
2026_07_29_02_32_08,000062,12,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_edgecooper_global_pmax,grid,,,,,,,singleton,20,60.0,1078800,1078800,1510496,49,49,12,12;4;7,4;7,"{""4"": 12, ""7"": 13}","{""4"": 823, ""7"": 1885, ""12"": 13882}",43328,2.409788654060067,10,40.0,60.0,,,,,2.0,2.0,1,1,"{""12"": 13882}",,2,ns3,899,0.5,10,12,28,,,[],[],,4;7,21,47,
2026_07_29_02_32_08,000062,13,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_edgecooper_global_pmax,grid,,,,,,,singleton,20,60.0,1078800,1078800,1510496,49,49,13,13;5;10;19,5;10;19,"{""5"": 13, ""10"": 12, ""19"": 11}","{""5"": 1615, ""10"": 1321, ""13"": 13569, ""19"": 474}",54560,3.0344827586206895,10,40.0,60.0,,,,,2.0,2.0,1,1,"{""13"": 13569}",,2,ns3,899,0.5,10,12,28,,,[],[],,5;10;19,24,44,
2026_07_29_02_32_08,000062,14,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_edgecooper_global_pmax,grid,,,,,,,singleton,20,60.0,1078800,1078800,1510496,49,49,14,14,,{},"{""14"": 14313}",0,0.0,10,40.0,60.0,,,,,2.0,2.0,0,,{},,2,ns3,899,0.5,10,12,28,,,[],[],,,3,6,
2026_07_29_02_32_08,000062,15,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_edgecooper_global_pmax,grid,,,,,,,singleton,20,60.0,1078800,1078800,1510496,49,49,15,15;6,6,"{""6"": 13}","{""6"": 1849, ""15"": 13488}",29584,1.6453837597330367,10,40.0,60.0,,,,,2.0,2.0,1,1,"{""15"": 13488}",,2,ns3,899,0.5,10,12,28,,,[],[],,6,16,21,
2026_07_29_02_32_08,000062,16,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_edgecooper_global_pmax,grid,,,,,,,singleton,20,60.0,1078800,1078800,1510496,49,49,16,16;3;10;20,3;10;20,"{""3"": 13, ""10"": 13, ""20"": 12}","{""3"": 2122, ""10"": 2191, ""16"": 13788, ""20"": 685}",79968,4.4476084538375975,10,40.0,60.0,,,,,2.0,2.0,1,1,"{""16"": 13788}",,2,ns3,899,0.5,10,12,28,,,[],[],,3;10;20,34,58,
