scenario_id,timestamp,method,budget,selected_agents,non_ego_agents,non_ego_count,raw_points,raw_bytes
2026_07_15_02_33_21,000068,full,10,1;10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,19,97540,1560640
2026_07_15_02_33_21,000068,random,10,1;16;6;9;19;20;3;2;12;5,16;6;9;19;20;3;2;12;5,9,46134,738144
2026_07_15_02_33_21,000068,confidence_topk,10,1;12;4;13;10;20;7;9;16;11,12;4;13;10;20;7;9;16;11,9,46453,743248
2026_07_15_02_33_21,000068,comm_aware_topk,10,1;4;12;11;10;13;20;7;9;8,4;12;11;10;13;20;7;9;8,9,46322,741152
2026_07_15_02_33_21,000068,area_aware_union,10,1;12;10;20;13;11;14;7;8;4,12;10;20;13;11;14;7;8;4,9,46457,743312
2026_07_15_02_33_21,000070,full,5,1;10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,19,97549,1560784
2026_07_15_02_33_21,000070,random,5,1;9;4;17;14,9;4;17;14,4,20692,331072
2026_07_15_02_33_21,000070,confidence_topk,5,1;12;4;13;10,12;4;13;10,4,20607,329712
2026_07_15_02_33_21,000070,comm_aware_topk,5,1;4;12;10;11,4;12;10;11,4,20597,329552
2026_07_15_02_33_21,000070,area_aware_union,5,1;12;10;20;13,12;10;20;13,4,20641,330256
2026_07_15_02_33_21,000070,full,10,1;10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,19,97549,1560784
2026_07_15_02_33_21,000070,random,10,1;20;4;6;5;15;9;7;12;10,20;4;6;5;15;9;7;12;10,9,45785,732560
2026_07_15_02_33_21,000070,confidence_topk,10,1;12;4;13;10;20;7;9;16;11,12;4;13;10;20;7;9;16;11,9,46451,743216
2026_07_15_02_33_21,000070,comm_aware_topk,10,1;4;12;10;11;13;20;7;9;8,4;12;10;11;13;20;7;9;8,9,46326,741216
2026_07_15_02_33_21,000070,area_aware_union,10,1;12;10;20;13;11;14;7;8;4,12;10;20;13;11;14;7;8;4,9,46474,743584
2026_07_15_02_33_21,000072,full,5,1;10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,10;11;12;13;14;15;16;17;18;19;2;20;3;4;5;6;7;8;9,19,97522,1560352
2026_07_15_02_33_21,000072,random,5,1;3;9;16;11,3;9;16;11,4,20641,330256
2026_07_15_02_33_21,000072,confidence_topk,5,1;12;4;13;10,12;4;13;10,4,20626,330016
