label,trace_path,ap_03,ap_05,ap_07,raw_lidar_mbps,total_mbps,frame_count,trace_rows,detector_calls_total,detector_calls_per_frame,detector_calls_per_frame_p95,mean_source_cavs_per_call,mean_uploaded_cavs_per_call,mean_selected_grids_per_call,mean_input_points_per_call,mean_input_points_per_frame,mean_pred_boxes_per_call,mean_pred_boxes_per_frame,mean_raw_bytes_per_call,mean_frame_comm_time_ms_per_call_row,calibrated_gflops_per_forward,profiled_detector_gflops_per_frame,profiled_detector_gflops_per_second_at_10hz,input_adjusted_detector_gflops_per_frame,input_adjusted_point_feature_gflops_per_frame
rho_sweep_rho0p1,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\dense_dynamic_cv_sensitivity_20260729\rho_sweep_rho0p1\trace.csv,,,,2.073943,2.073943,41,277,277,6.756,7.000,2.480,1.480,33.549,14137.8,95516.6,16.816,113.610,3837.2,2.001,89.411751,604.074516,6040.745156,604.669496,1.008438
rho_sweep_rho0p2,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\dense_dynamic_cv_sensitivity_20260729\rho_sweep_rho0p2\trace.csv,,,,3.966814,3.966814,41,284,284,6.927,7.000,2.444,1.444,39.440,14332.3,99277.3,17.838,123.561,7158.4,3.619,89.411751,619.339937,6193.399365,619.962818,1.046788
rho_sweep_rho0p5,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\dense_dynamic_cv_sensitivity_20260729\rho_sweep_rho0p5\trace.csv,,,,9.273413,9.273413,41,284,284,6.927,7.000,2.444,1.444,49.472,14929.3,103412.8,19.254,133.366,16734.6,7.974,89.411751,619.339937,6193.399365,620.002319,1.086289
rho_sweep_rho1,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\dense_dynamic_cv_sensitivity_20260729\rho_sweep_rho1\trace.csv,,,,16.609967,16.609967,41,278,278,6.780,7.000,2.475,1.475,58.133,15786.1,107037.2,20.173,136.780,30620.9,14.031,89.411751,606.255290,6062.552900,606.959166,1.118827
rho_sweep_rho2,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\dense_dynamic_cv_sensitivity_20260729\rho_sweep_rho2\trace.csv,,,,28.417374,28.417374,41,272,272,6.634,7.000,2.507,1.507,47.945,17212.6,114191.0,19.625,130.195,53543.8,22.508,89.411751,593.170643,5931.706434,593.949726,1.185078
rho_sweep_rho3,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\dense_dynamic_cv_sensitivity_20260729\rho_sweep_rho3\trace.csv,,,,35.574260,35.574260,41,272,272,6.634,7.000,2.507,1.507,32.842,18055.4,119782.4,18.625,123.561,67028.7,27.182,89.411751,593.170643,5931.706434,594.003133,1.238485
rho_sweep_rho4,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\dense_dynamic_cv_sensitivity_20260729\rho_sweep_rho4\trace.csv,,,,40.103305,40.103305,41,272,272,6.634,7.000,2.507,1.507,24.051,18588.8,123320.7,17.699,117.415,75562.3,30.211,89.411751,593.170643,5931.706434,594.036930,1.272282
rho_sweep_rho5,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\dense_dynamic_cv_sensitivity_20260729\rho_sweep_rho5\trace.csv,,,,43.966220,43.966220,41,272,272,6.634,7.000,2.507,1.507,19.537,19043.7,126338.6,17.434,115.659,82840.8,32.891,89.411751,593.170643,5931.706434,594.065756,1.301108
rho_sweep_rho10,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\dense_dynamic_cv_sensitivity_20260729\rho_sweep_rho10\trace.csv,,,,49.573651,49.573651,41,272,272,6.634,7.000,2.507,1.507,8.956,19704.0,130719.4,16.228,107.659,93406.2,36.102,89.411751,593.170643,5931.706434,594.107601,1.342952
