method,budget,frames,selected_mean,non_ego_selected_mean,non_ego_packet_total,byte_proxy_total,ap_03,ap_05,ap_07,gt_total,pred_samples
random,5,11,5.000000,4.000000,44,440000,0.265536,0.242919,0.126871,576,246
random,10,11,10.000000,9.000000,99,990000,0.587075,0.570722,0.317377,736,457
