scenario_id,timestamp,receiver_id,receiver_policy,resource_allocation,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_15_01_26_56,000066,19,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,9;10;13;19,19;10,10,"{""10"": 55}","{""10"": 4902, ""19"": 4818}",78432,,10,6,32,
2026_07_15_01_26_56,000068,1,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,1;2;8;11,1;11,11,"{""11"": 54}","{""1"": 4924, ""11"": 4604}",73664,,11,18,30,
2026_07_15_01_26_56,000068,4,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,4;9;12,4;8,8,"{""8"": 53}","{""4"": 4848, ""8"": 4784}",76544,,8,10,35,
2026_07_15_01_26_56,000068,13,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,10;13;14;19,13;10,10,"{""10"": 54}","{""10"": 4850, ""13"": 4795}",77600,,10,6,31,
2026_07_15_01_26_56,000068,15,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,6;15,15;6,6,"{""6"": 58}","{""6"": 4513, ""15"": 4743}",72208,,6,12,16,
2026_07_15_01_26_56,000068,16,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,5;7;16;20,16;5,5,"{""5"": 49}","{""5"": 4536, ""16"": 4887}",72576,,5,8,27,
2026_07_15_01_26_56,000068,17,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,3;17;18,17;18,18,"{""18"": 55}","{""17"": 4976, ""18"": 4990}",79840,,18,2,10,
2026_07_15_01_26_56,000070,1,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,1;4;12,1;2,2,"{""2"": 53}","{""1"": 4925, ""2"": 4384}",70144,,2,15,32,
2026_07_15_01_26_56,000070,11,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,2;8;9;11,11;8,8,"{""8"": 55}","{""8"": 4751, ""11"": 4909}",76016,,8,15,32,
2026_07_15_01_26_56,000070,13,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,10;13;14;19,13;10,10,"{""10"": 52}","{""10"": 4848, ""13"": 4795}",77568,,10,5,31,
2026_07_15_01_26_56,000070,15,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,6;15,15;6,6,"{""6"": 58}","{""6"": 4509, ""15"": 4740}",72144,,6,12,16,
2026_07_15_01_26_56,000070,16,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,5;7;16;20,16;5,5,"{""5"": 48}","{""5"": 4520, ""16"": 4856}",72320,,5,7,27,
2026_07_15_01_26_56,000070,17,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,3;17;18,17;18,18,"{""18"": 53}","{""17"": 4972, ""18"": 5023}",80368,,18,1,10,
2026_07_15_01_26_56,000072,1,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,1;2;8;11,1;11,11,"{""11"": 53}","{""1"": 4928, ""11"": 4601}",73616,,11,17,30,
2026_07_15_01_26_56,000072,4,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,4;9;12,4;8,8,"{""8"": 54}","{""4"": 4868, ""8"": 4789}",76624,,8,8,34,
2026_07_15_01_26_56,000072,13,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,10;13;14;19,13;10,10,"{""10"": 53}","{""10"": 4846, ""13"": 4800}",77536,,10,6,30,
2026_07_15_01_26_56,000072,15,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,6;15,15;6,6,"{""6"": 55}","{""6"": 4495, ""15"": 4748}",71920,,6,11,18,
2026_07_15_01_26_56,000072,16,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,5;7;16;20,16;5,5,"{""5"": 48}","{""5"": 4528, ""16"": 4868}",72448,,5,7,26,
2026_07_15_01_26_56,000072,17,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,3;17;18,17;18,18,"{""18"": 53}","{""17"": 4977, ""18"": 4982}",79712,,18,0,10,
2026_07_15_01_26_56,000074,1,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,1;2;8;11,1;8,8,"{""8"": 53}","{""1"": 4931, ""8"": 4408}",70528,,8,9,32,
2026_07_15_01_26_56,000074,12,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,4;7;12,12;4,4,"{""4"": 56}","{""4"": 3284, ""12"": 4881}",52544,,4,7,35,
2026_07_15_01_26_56,000074,13,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,10;13;14;19,13;10,10,"{""10"": 54}","{""10"": 4852, ""13"": 4800}",77632,,10,4,30,
2026_07_15_01_26_56,000074,15,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,6;15,15;6,6,"{""6"": 54}","{""6"": 4491, ""15"": 4753}",71856,,6,12,18,
2026_07_15_01_26_56,000074,17,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,3;17;18,17;18,18,"{""18"": 54}","{""17"": 4954, ""18"": 4962}",79392,,18,0,10,
2026_07_15_01_26_56,000074,20,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,5;9;16;20,20;7,7,"{""7"": 58}","{""7"": 4690, ""20"": 4907}",75040,,7,16,26,
2026_07_15_01_26_56,000076,1,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,1;2;8;11,1;8,8,"{""8"": 53}","{""1"": 4934, ""8"": 4408}",70528,,8,9,32,
2026_07_15_01_26_56,000076,4,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,4;9;12,4;7,7,"{""7"": 56}","{""4"": 4853, ""7"": 4791}",76656,,7,13,35,
2026_07_15_01_26_56,000076,13,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,10;13;14;19,13;10,10,"{""10"": 55}","{""10"": 4856, ""13"": 4773}",77696,,10,7,29,
2026_07_15_01_26_56,000076,15,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,6;15,15;6,6,"{""6"": 56}","{""6"": 4513, ""15"": 4754}",72208,,6,11,18,
2026_07_15_01_26_56,000076,16,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,5;7;16;20,16;5,5,"{""5"": 48}","{""5"": 4528, ""16"": 4885}",72448,,5,8,25,
2026_07_15_01_26_56,000076,17,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,3;17;18,17;18,18,"{""18"": 55}","{""17"": 5003, ""18"": 4970}",79520,,18,1,11,
2026_07_15_01_26_56,000078,1,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,1;2;8;11,1;8,8,"{""8"": 53}","{""1"": 4934, ""8"": 4409}",70544,,8,10,32,
2026_07_15_01_26_56,000078,4,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,4;9;12,4;7,7,"{""7"": 57}","{""4"": 4858, ""7"": 4797}",76752,,7,13,36,
2026_07_15_01_26_56,000078,13,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,10;13;14;19,13;10,10,"{""10"": 51}","{""10"": 4836, ""13"": 4778}",77376,,10,7,30,
2026_07_15_01_26_56,000078,15,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,6;15,15;6,6,"{""6"": 54}","{""6"": 4513, ""15"": 4753}",72208,,6,13,19,
2026_07_15_01_26_56,000078,16,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,5;7;16;20,16;5,5,"{""5"": 46}","{""5"": 4514, ""16"": 4880}",72224,,5,7,26,
2026_07_15_01_26_56,000078,17,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,3;17;18,17;18,18,"{""18"": 55}","{""17"": 4995, ""18"": 4993}",79888,,18,3,11,
2026_07_15_01_26_56,000080,1,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,1;2;8;11,1;8,8,"{""8"": 52}","{""1"": 4933, ""8"": 4407}",70512,,8,11,31,
2026_07_15_01_26_56,000080,4,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,4;9;12,4;7,7,"{""7"": 58}","{""4"": 4847, ""7"": 4785}",76560,,7,11,37,
2026_07_15_01_26_56,000080,13,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,10;13;14;19,13;10,10,"{""10"": 54}","{""10"": 4833, ""13"": 4772}",77328,,10,6,31,
2026_07_15_01_26_56,000080,15,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,6;15,15;6,6,"{""6"": 56}","{""6"": 4512, ""15"": 4751}",72192,,6,11,18,
2026_07_15_01_26_56,000080,16,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,5;7;16;20,16;5,5,"{""5"": 48}","{""5"": 4524, ""16"": 4897}",72384,,5,5,25,
2026_07_15_01_26_56,000080,17,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,3;17;18,17;3,3,"{""3"": 58}","{""3"": 3905, ""17"": 4990}",62480,,3,4,17,
2026_07_15_01_26_56,000082,1,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,1;2;8;11,1;8,8,"{""8"": 51}","{""1"": 4932, ""8"": 4406}",70496,,8,9,31,
2026_07_15_01_26_56,000082,12,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,4;7;12,12;7,7,"{""7"": 58}","{""7"": 4888, ""12"": 4915}",78208,,7,12,33,
2026_07_15_01_26_56,000082,13,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,10;13;14;19,13;10,10,"{""10"": 55}","{""10"": 4826, ""13"": 4801}",77216,,10,6,30,
2026_07_15_01_26_56,000082,15,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,6;15,15;6,6,"{""6"": 56}","{""6"": 4527, ""15"": 4758}",72432,,6,13,18,
2026_07_15_01_26_56,000082,17,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,3;16;17;18,17;16,16,"{""16"": 56}","{""16"": 4869, ""17"": 4970}",77904,,16,6,22,
2026_07_15_01_26_56,000082,20,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,5;9;20,20;9,9,"{""9"": 50}","{""9"": 4807, ""20"": 4906}",76912,,9,11,27,
2026_07_15_01_26_56,000084,1,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,1;2;8;11,1;8,8,"{""8"": 51}","{""1"": 4932, ""8"": 4406}",70496,,8,10,31,
2026_07_15_01_26_56,000084,12,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,4;7;12,12;7,7,"{""7"": 58}","{""7"": 4890, ""12"": 4926}",78240,,7,12,29,
