scenario_id,timestamp,receiver_id,receiver_policy,resource_allocation,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,selective_frame_deadline_ms,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,frame_comm_time_ms,num_channels,bandwidth_mhz,communication_deadline_ms,channel_estimator,ns3_tb_size_bytes,ns3_slot_duration_ms,ns3_subchannel_prbs,ns3_symbols_per_slot,ns3_mcs,pcs_rounds_requested,pcs_rounds_accepted,pcs_round_comm_time_ms_json,pcs_round_comm_bytes_json,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_15_01_26_56,000080,1,all-cluster-heads,perception_aware_potential_game,full_cluster,utility,utility,none,0,0,,all_in_one,1,,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,{},"{""1"": 4933, ""2"": 4849, ""3"": 4937, ""4"": 4847, ""5"": 4916, ""6"": 4637, ""7"": 4919, ""8"": 4839, ""9"": 4858, ""10"": 4924, ""11"": 4908, ""12"": 4905, ""13"": 4772, ""14"": 5031, ""15"": 4751, ""16"": 4897, ""17"": 4990, ""18"": 4986, ""19"": 4821, ""20"": 4907}",1483104,44.76974416017798,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],17>1:0,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;18;19;20,65,71,
2026_07_15_01_26_56,000082,1,all-cluster-heads,perception_aware_potential_game,full_cluster,utility,utility,none,0,0,,all_in_one,1,,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,{},"{""1"": 4932, ""2"": 4863, ""3"": 4948, ""4"": 4841, ""5"": 4913, ""6"": 4653, ""7"": 4912, ""8"": 4838, ""9"": 4859, ""10"": 4925, ""11"": 4909, ""12"": 4915, ""13"": 4801, ""14"": 4993, ""15"": 4758, ""16"": 4908, ""17"": 4970, ""18"": 4961, ""19"": 4822, ""20"": 4906}",1483120,44.43159065628476,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],17>1:0,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;18;19;20,62,71,
2026_07_15_01_26_56,000084,1,all-cluster-heads,perception_aware_potential_game,full_cluster,utility,utility,none,0,0,,all_in_one,1,,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,{},"{""1"": 4932, ""2"": 4867, ""3"": 4935, ""4"": 4841, ""5"": 4932, ""6"": 4670, ""7"": 4915, ""8"": 4837, ""9"": 4858, ""10"": 4914, ""11"": 4909, ""12"": 4926, ""13"": 4788, ""14"": 4994, ""15"": 4766, ""16"": 4906, ""17"": 4976, ""18"": 4972, ""19"": 4822, ""20"": 4904}",1483712,44.440489432703004,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],17>1:0,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;18;19;20,63,71,
2026_07_15_01_26_56,000086,1,all-cluster-heads,perception_aware_potential_game,full_cluster,utility,utility,none,0,0,,all_in_one,1,,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,{},"{""1"": 4932, ""2"": 4863, ""3"": 4939, ""4"": 4844, ""5"": 4915, ""6"": 4676, ""7"": 4928, ""8"": 4837, ""9"": 4858, ""10"": 4926, ""11"": 4910, ""12"": 4938, ""13"": 4773, ""14"": 5015, ""15"": 4762, ""16"": 4917, ""17"": 4971, ""18"": 4982, ""19"": 4822, ""20"": 4905}",1484496,44.6273637374861,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],17>1:0,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;18;19;20,61,71,
2026_07_15_01_26_56,000088,1,all-cluster-heads,perception_aware_potential_game,full_cluster,utility,utility,none,0,0,,all_in_one,1,,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,{},"{""1"": 4930, ""2"": 4862, ""3"": 4952, ""4"": 4844, ""5"": 4933, ""6"": 4643, ""7"": 4929, ""8"": 4838, ""9"": 4856, ""10"": 4929, ""11"": 4912, ""12"": 4937, ""13"": 4764, ""14"": 4998, ""15"": 4772, ""16"": 4929, ""17"": 4985, ""18"": 4954, ""19"": 4823, ""20"": 4903}",1484208,44.47608453837597,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],17>1:0,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;18;19;20,62,71,
2026_07_15_01_26_56,000090,1,all-cluster-heads,perception_aware_potential_game,full_cluster,utility,utility,none,0,0,,all_in_one,1,,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,{},"{""1"": 4930, ""2"": 4862, ""3"": 4955, ""4"": 4843, ""5"": 4919, ""6"": 4653, ""7"": 4928, ""8"": 4837, ""9"": 4855, ""10"": 4929, ""11"": 4910, ""12"": 4954, ""13"": 4769, ""14"": 4961, ""15"": 4768, ""16"": 4936, ""17"": 5007, ""18"": 4954, ""19"": 4824, ""20"": 4905}",1484304,44.55617352614016,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],17>1:0,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;18;19;20,61,72,
2026_07_15_01_26_56,000092,1,all-cluster-heads,perception_aware_potential_game,full_cluster,utility,utility,none,0,0,,all_in_one,1,,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,{},"{""1"": 4928, ""2"": 4860, ""3"": 4961, ""4"": 4846, ""5"": 4934, ""6"": 4665, ""7"": 4924, ""8"": 4838, ""9"": 4855, ""10"": 4929, ""11"": 4908, ""12"": 4963, ""13"": 4781, ""14"": 4963, ""15"": 4770, ""16"": 4936, ""17"": 5000, ""18"": 4954, ""19"": 4823, ""20"": 4905}",1485040,44.49388209121246,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],17>1:0,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;18;19;20,62,72,
2026_07_15_01_26_56,000094,1,all-cluster-heads,perception_aware_potential_game,full_cluster,utility,utility,none,0,0,,all_in_one,1,,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,{},"{""1"": 4929, ""2"": 4864, ""3"": 4964, ""4"": 4848, ""5"": 4943, ""6"": 4670, ""7"": 4922, ""8"": 4839, ""9"": 4854, ""10"": 4929, ""11"": 4907, ""12"": 4976, ""13"": 4805, ""14"": 4947, ""15"": 4772, ""16"": 4936, ""17"": 4995, ""18"": 4954, ""19"": 4823, ""20"": 4905}",1485648,44.449388209121246,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],17>1:0,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;18;19;20,63,72,
2026_07_15_01_26_56,000096,1,all-cluster-heads,perception_aware_potential_game,full_cluster,utility,utility,none,0,0,,all_in_one,1,,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,{},"{""1"": 4928, ""2"": 4866, ""3"": 4970, ""4"": 4848, ""5"": 4933, ""6"": 4667, ""7"": 4921, ""8"": 4839, ""9"": 4853, ""10"": 4930, ""11"": 4909, ""12"": 4975, ""13"": 4751, ""14"": 4923, ""15"": 4777, ""16"": 4944, ""17"": 4995, ""18"": 4942, ""19"": 4823, ""20"": 4902}",1484288,44.449388209121246,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],17>1:0,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;18;19;20,61,72,
2026_07_15_01_26_56,000098,1,all-cluster-heads,perception_aware_potential_game,full_cluster,utility,utility,none,0,0,,all_in_one,1,,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,{},"{""1"": 4927, ""2"": 4855, ""3"": 4974, ""4"": 4850, ""5"": 4929, ""6"": 4670, ""7"": 4921, ""8"": 4838, ""9"": 4853, ""10"": 4930, ""11"": 4908, ""12"": 4968, ""13"": 4779, ""14"": 4872, ""15"": 4783, ""16"": 4950, ""17"": 4986, ""18"": 4946, ""19"": 4824, ""20"": 4903}",1483824,44.36929922135707,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],3>1:0,2;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,64,72,
