label,ap_03,ap_05,ap_07,aggregate_ap_scope,evaluated_samples,trace_rows,unique_timestamps,receiver_policy,inter_cluster_late_fusion,fusion_method,resource_allocation,clustering,upload_mode,grid_selection_mode,grid_score_mode,num_channels,bandwidth_mhz,cluster_count_mode,payload_bytes,mbps,avg_comm_bytes_per_trace_row,avg_source_cavs,avg_selected_grids,log_path,trace_path,notes
HeadOnly_attentive,0.42,0.30,0.13,pooled evaluator over evaluated samples,41,246,41,all-cluster-heads,yes,early,perception_aware_potential_game,coalition_game,head_only,utility,utility,10,20,6,0,0.0,0.00,1.00,0.00,docs\doc_workspace\SGCP\artifacts\attentive_protocol_20260719\head_only_attentive_41f.log,docs\doc_workspace\SGCP\artifacts\attentive_protocol_20260719\head_only_attentive_41f_trace.csv,P2 attentive fusion scaffold manifest; 20MHz/10ch; legacy early checkpoint demoted
PureLate_attentive,0.82,0.65,0.28,pooled evaluator over evaluated samples,41,820,41,all-cluster-heads,yes,early,potential_game,singleton,grid,utility,utility,10,20,20,0,0.0,0.00,1.00,0.00,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\pure_late_attentive_41f.stdout.log,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\pure_late_attentive_41f_trace.csv,P2 attentive fusion scaffold manifest; 20MHz/10ch; legacy early checkpoint demoted
OneClusterEarlyOnly_attentive,0.88,0.85,0.45,pooled evaluator over evaluated samples,41,41,41,all-cluster-heads,no,early,perception_aware_potential_game,all_in_one,full_cluster,utility,utility,10,20,1,60838528,118.70932292682924,1483866.54,20.00,0.00,docs\doc_workspace\SGCP\artifacts\attentive_fusion_ablation_20260719\one_cluster_full_early_attentive_41f.log,docs\doc_workspace\SGCP\artifacts\attentive_fusion_ablation_20260719\one_cluster_full_early_attentive_41f_trace.csv,P2 attentive fusion scaffold manifest; 20MHz/10ch; legacy early checkpoint demoted
ClusteredEarlyOnly_attentive,0.51,0.45,0.21,pooled evaluator over evaluated samples,246,246,41,all-cluster-heads,no,early,perception_aware_potential_game,coalition_game,grid,utility,utility,10,20,6,32049872,62.53633560975609,130284.03,2.67,97.22,docs\doc_workspace\SGCP\artifacts\attentive_fusion_ablation_20260719\clustered_early_only_attentive_41f.log,docs\doc_workspace\SGCP\artifacts\attentive_fusion_ablation_20260719\clustered_early_only_attentive_41f_trace.csv,P2 attentive fusion scaffold manifest; 20MHz/10ch; legacy early checkpoint demoted
OneClusterEarlyLate_attentive,0.88,0.85,0.45,pooled evaluator over evaluated samples,41,41,41,all-cluster-heads,identity_single_cluster,early,perception_aware_potential_game,all_in_one,full_cluster,utility,utility,10,20,1,60838528,118.70932292682924,1483866.54,20.00,0.00,docs\doc_workspace\SGCP\artifacts\attentive_fusion_ablation_20260719\one_cluster_full_early_attentive_41f.log,docs\doc_workspace\SGCP\artifacts\attentive_fusion_ablation_20260719\one_cluster_full_early_attentive_41f_trace.csv,P2 attentive fusion scaffold: one-cluster late fusion is identity; shares early-only artifact
FullSGCP_attentive,0.87,0.81,0.36,pooled evaluator over evaluated samples,41,246,41,all-cluster-heads,yes,early,perception_aware_potential_game,coalition_game,grid,utility,utility,10,20,6,32049872,62.53633560975609,130284.03,2.67,97.22,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\sgcp_papg_early_from_attentive_41f.stdout.log,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\sgcp_papg_early_from_attentive_41f_trace.csv,P2 attentive fusion scaffold manifest; 20MHz/10ch; legacy early checkpoint demoted
