frame_index,timestamp,request_id,source_node,target_node,area_id,upload_type,plan_index,tx_events,rx_events,drop_events,matched
1,000062,0,2,1,,unmatched,,114,20,0,0
2,000064,0,16,5,,unmatched,,114,21,0,0
