upload_type,planned_requests,observed_cam_received,bridge_observed_delivery_ratio,planned_bytes,observed_bytes,avg_delay_ms,p95_delay_ms,max_delay_ms
leader_to_rsu,120,3,0.025,240000,6000,11.333333333333334,17.0,17.0
member_to_leader,66,2,0.030303030303030304,660000,20000,23.0,31.0,31.0
