timestamp,total_quality_areas,selected_areas,selected_area_ratio,total_gt_count,selected_gt_count,selected_gt_ratio,mean_area_quality,mean_confidence_weighted_quality,leader_count,leader_max_load,leader_loads
000060,33,10,0.303030,48.000000,22.000000,0.458333,0.800000,0.747102,8,3,1:3;10:1;11:3;2:1;5:2;7:2;8:1;9:2
000062,32,10,0.312500,47.000000,22.000000,0.468085,0.850000,0.798744,8,3,1:1;11:3;12:2;2:1;5:2;7:2;8:3;9:2
000064,32,10,0.312500,47.000000,22.000000,0.468085,0.900000,0.836241,8,3,1:3;10:1;11:3;2:1;5:2;7:2;8:1;9:2
000066,32,10,0.312500,47.000000,22.000000,0.468085,0.900000,0.835919,8,3,1:3;10:1;11:3;2:1;5:2;7:2;8:1;9:2
000068,32,10,0.312500,47.000000,22.000000,0.468085,0.900000,0.769784,9,3,1:1;10:1;11:3;12:2;2:1;5:2;7:2;8:1;9:2
000070,33,10,0.303030,47.000000,22.000000,0.468085,0.750000,0.637628,9,3,1:1;10:1;11:3;12:2;2:1;5:2;7:1;8:1;9:2
000072,32,10,0.312500,46.000000,22.000000,0.478261,0.850000,0.799501,8,3,1:1;10:1;11:3;2:1;5:2;7:1;8:3;9:2
000074,32,10,0.312500,45.000000,22.000000,0.488889,0.916667,0.852492,8,3,1:1;10:1;11:3;2:1;5:2;7:1;8:3;9:2
000076,35,10,0.285714,46.000000,22.000000,0.478261,0.800000,0.744762,9,3,1:1;10:1;11:3;12:2;2:1;5:2;7:1;8:2;9:2
000078,35,10,0.285714,46.000000,22.000000,0.478261,0.766667,0.704328,9,3,1:2;10:1;11:3;12:2;2:1;5:2;7:1;8:1;9:2
000080,35,10,0.285714,46.000000,22.000000,0.478261,0.766667,0.704849,9,3,1:2;10:1;11:3;12:2;2:1;5:2;7:1;8:1;9:2
