timestamp,areas,slice_rows,slice_points_total,member_upload_points,leader_self_points,member_upload_bytes,leader_self_bytes
000060,20,28,19906,2142,17764,34272,284224
000062,20,30,20695,2623,18072,41968,289152
000064,20,29,19699,1628,18071,26048,289136
000066,20,29,19635,1646,17989,26336,287824
000068,20,29,19555,1695,17860,27120,285760
000070,20,30,19571,2560,17011,40960,272176
000072,20,30,20089,3252,16837,52032,269392
000074,20,30,20217,2323,17894,37168,286304
000076,20,29,19967,2548,17419,40768,278704
000078,20,31,21323,3337,17986,53392,287776
000080,20,30,20992,3256,17736,52096,283776
