method,frames,checkpoint,late_fusion,clustering,resource_allocation,range_m,deadline_ms,ap_03,ap_05,ap_07,raw_lidar_bytes,raw_lidar_mbps,ns3_frame,ns3_chunks,ns3_bytes,ns3_callbacks,ns3_avg_delay_ms,ns3_p95_delay_ms,ns3_max_delay_ms,ns3_phy_failures,notes
EdgeCooper V2V exact matching constrained,41,attentive,none,singleton,selective_edgecooper_global,35,60,0.32,0.26,0.11,29257712,57.0882,000060,72,698224,72/72,26.556,53.000,55.000,0,"Exact endpoint-disjoint matching replaces greedy matching; same 35 m candidate range and 60 ms deadline as the constrained EdgeCooper row."
EdgeCooper V2V exact matching expanded range diagnostic,11,attentive,none,singleton,selective_edgecooper_global,100,75,0.23,0.18,0.06,8652816,62.9296,,,,,,,,,"Raises payload but degrades AP; not recommended for paper table."
