timestamp,rank,anchor_channel,feature_x,feature_y,score
000060,1,0,187,36,0.220411
000060,2,0,196,59,0.200373
000060,3,0,176,49,0.199972
000060,4,0,196,54,0.188009
000060,5,0,195,54,0.185106
000060,6,0,176,50,0.143087
000060,7,0,196,60,0.129713
000060,8,1,195,59,0.104077
000060,9,0,197,59,0.098622
000060,10,0,187,37,0.086693
000060,11,0,194,39,0.084404
000060,12,1,195,60,0.077543
000060,13,0,162,51,0.070305
000060,14,0,177,49,0.064838
000060,15,0,163,51,0.064309
000060,16,1,195,61,0.063652
000060,17,0,188,36,0.063314
000060,18,1,184,46,0.059475
000060,19,0,195,39,0.059299
000060,20,0,197,60,0.058809
