label,ap_03,ap_05,ap_07,aggregate_ap_scope,evaluated_samples,trace_rows,unique_timestamps,receiver_policy,inter_cluster_late_fusion,fusion_method,resource_allocation,clustering,upload_mode,grid_selection_mode,grid_score_mode,cluster_count_mode,payload_bytes,mbps,avg_comm_bytes_per_trace_row,avg_source_cavs,avg_selected_grids,log_path,trace_path,notes
Random_m2_g87,0.75,0.70,0.34,pooled evaluator over evaluated samples,41,246,41,all-cluster-heads,yes,early,selective_random,coalition_game,grid,,,6,24772192,48.335984390243894,100699.97,2.81,81.54,docs\doc_workspace\SGCP\artifacts\scheduler_budget_sweep_20260719\random_m2_g87.log,docs\doc_workspace\SGCP\artifacts\scheduler_budget_sweep_20260719\random_m2_g87_trace.csv,"P4 scheduler budget sweep: 41-frame all-cluster-heads inter-cluster late fusion, rho_th=3"
Density_m2_g87,0.78,0.74,0.40,pooled evaluator over evaluated samples,41,246,41,all-cluster-heads,yes,early,selective_density,coalition_game,grid,,,6,31421408,61.310064390243895,127729.30,2.81,81.54,docs\doc_workspace\SGCP\artifacts\scheduler_budget_sweep_20260719\density_m2_g87.log,docs\doc_workspace\SGCP\artifacts\scheduler_budget_sweep_20260719\density_m2_g87_trace.csv,"P4 scheduler budget sweep: 41-frame all-cluster-heads inter-cluster late fusion, rho_th=3"
CommunicationAware_m3_g117,0.80,0.76,0.42,pooled evaluator over evaluated samples,41,246,41,all-cluster-heads,yes,early,selective_communication_aware,coalition_game,grid,,,6,38920592,75.94261853658536,158213.79,3.33,103.20,docs\doc_workspace\SGCP\artifacts\scheduler_budget_sweep_20260719\communication_aware_m3_g117.log,docs\doc_workspace\SGCP\artifacts\scheduler_budget_sweep_20260719\communication_aware_m3_g117_trace.csv,"P4 scheduler budget sweep: 41-frame all-cluster-heads inter-cluster late fusion, rho_th=3"
