scenario_id,timestamp,receiver_id,receiver_policy,resource_allocation,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_15_01_26_56,000066,17,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,3;14;17;18,17;18;3,18;3,"{""3"": 43, ""18"": 44}","{""3"": 2162, ""17"": 4984, ""18"": 4781}",111088,,18;3,2,16,
2026_07_15_01_26_56,000066,19,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,9;10;13;19,19;10;13,10;13,"{""10"": 44, ""13"": 43}","{""10"": 4619, ""13"": 3739, ""19"": 4818}",133728,,10;13,7,35,
2026_07_15_01_26_56,000068,1,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,1;2;8;11,1;11;2,11;2,"{""2"": 43, ""11"": 44}","{""1"": 4924, ""2"": 3577, ""11"": 3382}",111344,,11;2,19,42,
2026_07_15_01_26_56,000068,4,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,4;9;12,4;9;12,9;12,"{""9"": 44, ""12"": 43}","{""4"": 4848, ""9"": 3984, ""12"": 2088}",97152,,9;12,11,43,
2026_07_15_01_26_56,000068,13,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,10;13;14;19,13;10;14,10;14,"{""10"": 44, ""14"": 43}","{""10"": 3962, ""13"": 4795, ""14"": 3338}",116800,,10;14,5,31,
2026_07_15_01_26_56,000068,15,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,6;15,15;6,6,"{""6"": 59}","{""6"": 4514, ""15"": 4743}",72224,,6,12,16,
2026_07_15_01_26_56,000068,16,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,5;7;16;20,16;5;7,5;7,"{""5"": 44, ""7"": 43}","{""5"": 1251, ""7"": 4340, ""16"": 4887}",89456,,5;7,12,29,
2026_07_15_01_26_56,000068,17,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,3;17;18,17;3;18,3;18,"{""3"": 44, ""18"": 43}","{""3"": 1356, ""17"": 4976, ""18"": 4610}",95456,,3;18,3,16,
2026_07_15_01_26_56,000070,1,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,1;4;12,1;4;12,4;12,"{""4"": 44, ""12"": 43}","{""1"": 4925, ""4"": 3472, ""12"": 3715}",114992,,4;12,16,37,
2026_07_15_01_26_56,000070,11,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,2;8;9;11,11;2;8,2;8,"{""2"": 44, ""8"": 43}","{""2"": 2560, ""8"": 4542, ""11"": 4909}",113632,,2;8,19,45,
2026_07_15_01_26_56,000070,13,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,10;13;14;19,13;10;19,10;19,"{""10"": 44, ""19"": 43}","{""10"": 4679, ""13"": 4795, ""19"": 847}",88416,,10;19,5,33,
2026_07_15_01_26_56,000070,15,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,6;15,15;6,6,"{""6"": 59}","{""6"": 4510, ""15"": 4740}",72160,,6,12,16,
2026_07_15_01_26_56,000070,16,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,5;7;16;20,16;5;20,5;20,"{""5"": 44, ""20"": 43}","{""5"": 668, ""16"": 4856, ""20"": 3130}",60768,,5;20,11,28,
2026_07_15_01_26_56,000070,17,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,3;17;18,17;18;3,18;3,"{""3"": 43, ""18"": 44}","{""3"": 1830, ""17"": 4972, ""18"": 4861}",107056,,18;3,2,16,
2026_07_15_01_26_56,000072,1,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,1;2;8;11,1;11;2,11;2,"{""2"": 43, ""11"": 44}","{""1"": 4928, ""2"": 2317, ""11"": 3399}",91456,,11;2,18,41,
2026_07_15_01_26_56,000072,4,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,4;9;12,4;12;9,12;9,"{""9"": 43, ""12"": 44}","{""4"": 4868, ""9"": 4772, ""12"": 2102}",109984,,12;9,10,42,
2026_07_15_01_26_56,000072,13,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,10;13;14;19,13;19;10,19;10,"{""10"": 43, ""19"": 44}","{""10"": 4075, ""13"": 4800, ""19"": 1271}",85536,,19;10,3,32,
2026_07_15_01_26_56,000072,15,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,6;15,15;6,6,"{""6"": 55}","{""6"": 4495, ""15"": 4748}",71920,,6,11,18,
2026_07_15_01_26_56,000072,16,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,5;7;16;20,16;5;20,5;20,"{""5"": 44, ""20"": 43}","{""5"": 4491, ""16"": 4868, ""20"": 3105}",121536,,5;20,10,28,
2026_07_15_01_26_56,000072,17,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,3;17;18,17;18;3,18;3,"{""3"": 43, ""18"": 44}","{""3"": 2193, ""17"": 4977, ""18"": 4707}",110400,,18;3,1,16,
2026_07_15_01_26_56,000074,1,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,1;2;8;11,1;8;11,8;11,"{""8"": 44, ""11"": 43}","{""1"": 4931, ""8"": 4174, ""11"": 4270}",135104,,8;11,17,40,
2026_07_15_01_26_56,000074,12,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,4;7;12,12;7;4,7;4,"{""4"": 43, ""7"": 44}","{""4"": 2111, ""7"": 4045, ""12"": 4881}",98496,,7;4,11,43,
2026_07_15_01_26_56,000074,13,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,10;13;14;19,13;10;19,10;19,"{""10"": 44, ""19"": 43}","{""10"": 3572, ""13"": 4800, ""19"": 1360}",78912,,10;19,5,32,
2026_07_15_01_26_56,000074,15,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,6;15,15;6,6,"{""6"": 54}","{""6"": 4491, ""15"": 4753}",71856,,6,12,18,
2026_07_15_01_26_56,000074,17,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,3;17;18,17;3;18,3;18,"{""3"": 44, ""18"": 43}","{""3"": 2411, ""17"": 4954, ""18"": 4559}",111520,,3;18,2,16,
2026_07_15_01_26_56,000074,20,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,5;9;16;20,20;9;5,9;5,"{""5"": 43, ""9"": 44}","{""5"": 1411, ""9"": 3971, ""20"": 4907}",86112,,9;5,12,31,
2026_07_15_01_26_56,000076,1,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,1;2;8;11,1;8;2,8;2,"{""2"": 43, ""8"": 44}","{""1"": 4934, ""2"": 4311, ""8"": 4237}",136768,,8;2,14,43,
2026_07_15_01_26_56,000076,4,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,4;9;12,4;12;9,12;9,"{""9"": 43, ""12"": 44}","{""4"": 4853, ""9"": 4678, ""12"": 2484}",114592,,12;9,12,42,
2026_07_15_01_26_56,000076,13,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,10;13;14;19,13;19;10,19;10,"{""10"": 43, ""19"": 44}","{""10"": 4193, ""13"": 4773, ""19"": 1341}",88544,,19;10,6,31,
2026_07_15_01_26_56,000076,15,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,6;15,15;6,6,"{""6"": 56}","{""6"": 4513, ""15"": 4754}",72208,,6,11,18,
2026_07_15_01_26_56,000076,16,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,5;7;16;20,16;7;20,7;20,"{""7"": 44, ""20"": 43}","{""7"": 3719, ""16"": 4885, ""20"": 3096}",109040,,7;20,15,28,
2026_07_15_01_26_56,000076,17,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,3;17;18,17;18;3,18;3,"{""3"": 43, ""18"": 44}","{""3"": 2346, ""17"": 5003, ""18"": 4629}",111600,,18;3,4,17,
2026_07_15_01_26_56,000078,1,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,1;2;8;11,1;8;2,8;2,"{""2"": 43, ""8"": 44}","{""1"": 4934, ""2"": 4165, ""8"": 4307}",135552,,8;2,17,42,
2026_07_15_01_26_56,000078,4,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,4;9;12,4;12;9,12;9,"{""9"": 43, ""12"": 44}","{""4"": 4858, ""9"": 2704, ""12"": 2194}",78368,,12;9,10,44,
2026_07_15_01_26_56,000078,13,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,10;13;14;19,13;10;19,10;19,"{""10"": 44, ""19"": 43}","{""10"": 4385, ""13"": 4778, ""19"": 1348}",91728,,10;19,7,31,
2026_07_15_01_26_56,000078,15,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,6;15,15;6,6,"{""6"": 54}","{""6"": 4513, ""15"": 4753}",72208,,6,13,19,
2026_07_15_01_26_56,000078,16,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,5;7;16;20,16;7;20,7;20,"{""7"": 44, ""20"": 43}","{""7"": 3034, ""16"": 4880, ""20"": 3088}",97952,,7;20,10,27,
2026_07_15_01_26_56,000078,17,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,3;17;18,17;18;3,18;3,"{""3"": 43, ""18"": 44}","{""3"": 1830, ""17"": 4995, ""18"": 4549}",102064,,18;3,4,17,
2026_07_15_01_26_56,000080,1,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,1;2;8;11,1;8;2,8;2,"{""2"": 43, ""8"": 44}","{""1"": 4933, ""2"": 3824, ""8"": 4338}",130592,,8;2,20,42,
2026_07_15_01_26_56,000080,4,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,4;9;12,4;9;12,9;12,"{""9"": 44, ""12"": 43}","{""4"": 4847, ""9"": 3829, ""12"": 2563}",102272,,9;12,9,46,
2026_07_15_01_26_56,000080,13,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,10;13;14;19,13;10;14,10;14,"{""10"": 44, ""14"": 43}","{""10"": 4336, ""13"": 4772, ""14"": 2887}",115568,,10;14,6,31,
2026_07_15_01_26_56,000080,15,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,6;15,15;6,6,"{""6"": 56}","{""6"": 4512, ""15"": 4751}",72192,,6,11,18,
2026_07_15_01_26_56,000080,16,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,5;7;16;20,16;20;7,20;7,"{""7"": 43, ""20"": 44}","{""7"": 3318, ""16"": 4897, ""20"": 3129}",103152,,20;7,10,28,
2026_07_15_01_26_56,000080,17,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,3;17;18,17;18;3,18;3,"{""3"": 43, ""18"": 44}","{""3"": 2722, ""17"": 4990, ""18"": 3609}",101296,,18;3,4,18,
2026_07_15_01_26_56,000082,1,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,1;2;8;11,1;2;11,2;11,"{""2"": 44, ""11"": 43}","{""1"": 4932, ""2"": 4177, ""11"": 3492}",122704,,2;11,14,41,
2026_07_15_01_26_56,000082,12,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,4;7;12,12;7;4,7;4,"{""4"": 43, ""7"": 44}","{""4"": 3222, ""7"": 4616, ""12"": 4915}",125408,,7;4,15,42,
2026_07_15_01_26_56,000082,13,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,10;13;14;19,13;14;19,14;19,"{""14"": 44, ""19"": 43}","{""13"": 4801, ""14"": 2518, ""19"": 1160}",58848,,14;19,0,20,
2026_07_15_01_26_56,000082,15,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,6;15,15;6,6,"{""6"": 56}","{""6"": 4527, ""15"": 4758}",72432,,6,13,18,
2026_07_15_01_26_56,000082,17,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,3;16;17;18,17;16;3,16;3,"{""3"": 43, ""16"": 44}","{""3"": 2861, ""16"": 3817, ""17"": 4970}",106848,,16;3,7,26,
2026_07_15_01_26_56,000082,20,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,5;9;20,20;9;5,9;5,"{""5"": 43, ""9"": 44}","{""5"": 1075, ""9"": 4157, ""20"": 4906}",83712,,9;5,14,30,
2026_07_15_01_26_56,000084,1,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,1;2;8;11,1;8;2,8;2,"{""2"": 43, ""8"": 44}","{""1"": 4932, ""2"": 4202, ""8"": 4221}",134768,,8;2,17,42,
2026_07_15_01_26_56,000084,12,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,4;7;12,12;4;7,4;7,"{""4"": 44, ""7"": 43}","{""4"": 1912, ""7"": 4334, ""12"": 4926}",99936,,4;7,12,41,
2026_07_15_01_26_56,000084,13,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,10;13;14;19,13;19;10,19;10,"{""10"": 43, ""19"": 44}","{""10"": 3475, ""13"": 4788, ""19"": 1131}",73696,,19;10,5,33,
2026_07_15_01_26_56,000084,15,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,6;15,15;6,6,"{""6"": 57}","{""6"": 4531, ""15"": 4766}",72496,,6,11,18,
2026_07_15_01_26_56,000084,17,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,3;16;17;18,17;3;16,3;16,"{""3"": 44, ""16"": 43}","{""3"": 3733, ""16"": 4045, ""17"": 4976}",124448,,3;16,8,26,
2026_07_15_01_26_56,000084,20,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,5;9;20,20;5;9,5;9,"{""5"": 44, ""9"": 43}","{""5"": 1427, ""9"": 4408, ""20"": 4904}",93360,,5;9,13,30,
2026_07_15_01_26_56,000086,1,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,1;2;8;11,1;2;11,2;11,"{""2"": 44, ""11"": 43}","{""1"": 4932, ""2"": 3860, ""11"": 4179}",128624,,2;11,20,42,
2026_07_15_01_26_56,000086,12,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,4;7;12,12;7;4,7;4,"{""4"": 43, ""7"": 44}","{""4"": 2234, ""7"": 4468, ""12"": 4938}",107232,,7;4,15,43,
2026_07_15_01_26_56,000086,13,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,10;13;14;19,13;14;10,14;10,"{""10"": 43, ""14"": 44}","{""10"": 3198, ""13"": 4773, ""14"": 3856}",112864,,14;10,10,31,
2026_07_15_01_26_56,000086,15,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,6;15,15;6,6,"{""6"": 55}","{""6"": 4529, ""15"": 4762}",72464,,6,13,19,
2026_07_15_01_26_56,000086,17,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,3;16;17;18,17;16;3,16;3,"{""3"": 43, ""16"": 44}","{""3"": 3609, ""16"": 4802, ""17"": 4971}",134576,,16;3,7,25,
